,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Hakeem Olajuwon,31,HOU,66.0,889.0,1010,0.88,1994
1,David Robinson,28,SAS,24.0,730.0,1010,0.723,1994
2,Scottie Pippen,28,CHI,7.0,390.0,1010,0.386,1994
3,Shaquille O'Neal,21,ORL,3.0,289.0,1010,0.286,1994
4,Patrick Ewing,31,NYK,1.0,255.0,1010,0.252,1994
5,Gary Payton,25,SEA,0.0,20.0,1010,0.02,1994
6,Shawn Kemp,24,SEA,0.0,17.0,1010,0.017,1994
7,Karl Malone,30,UTA,0.0,17.0,1010,0.017,1994
8,Mark Price,29,CLE,0.0,7.0,1010,0.007,1994
9,Charles Barkley,30,PHO,0.0,5.0,1010,0.005,1994
10,Mookie Blaylock,26,ATL,0.0,1.0,1010,0.001,1994
11,Kevin Johnson,27,PHO,0.0,1.0,1010,0.001,1994
12,Dennis Rodman,32,SAS,0.0,1.0,1010,0.001,1994
13,Latrell Sprewell,23,GSW,0.0,1.0,1010,0.001,1994
14,John Stockton,31,UTA,0.0,1.0,1010,0.001,1994
15,Dominique Wilkins,34,TOT,0.0,1.0,1010,0.001,1994
16,Kevin Willis,31,ATL,0.0,1.0,1010,0.001,1994
