,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Kobe Bryant,29,LAL,82.0,1100.0,1260,0.873,2008
1,Chris Paul,22,NOH,28.0,894.0,1260,0.71,2008
2,Kevin Garnett,31,BOS,15.0,670.0,1260,0.532,2008
3,LeBron James,23,CLE,1.0,438.0,1260,0.348,2008
4,Dwight Howard,22,ORL,0.0,60.0,1260,0.048,2008
5,Amar'e Stoudemire,25,PHO,0.0,27.0,1260,0.021,2008
6,Tim Duncan,31,SAS,0.0,25.0,1260,0.02,2008
7,Tracy McGrady,28,HOU,0.0,19.0,1260,0.015,2008
8,Steve Nash,33,PHO,0.0,18.0,1260,0.014,2008
9,Manu Ginóbili,30,SAS,0.0,9.0,1260,0.007,2008
10,Dirk Nowitzki,29,DAL,0.0,5.0,1260,0.004,2008
11,Deron Williams,23,UTA,0.0,4.0,1260,0.003,2008
12,Carmelo Anthony,23,DEN,0.0,3.0,1260,0.002,2008
13,Carlos Boozer,26,UTA,0.0,1.0,1260,0.001,2008
14,Antawn Jamison,31,WAS,0.0,1.0,1260,0.001,2008
15,Paul Pierce,30,BOS,0.0,1.0,1260,0.001,2008
16,Rasheed Wallace,33,DET,0.0,1.0,1260,0.001,2008
