,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Derrick Rose,22,CHI,113.0,1182.0,1210,0.977,2011
1,Dwight Howard,25,ORL,3.0,643.0,1210,0.531,2011
2,LeBron James,26,MIA,4.0,522.0,1210,0.431,2011
3,Kobe Bryant,32,LAL,1.0,428.0,1210,0.354,2011
4,Kevin Durant,22,OKC,0.0,190.0,1210,0.157,2011
5,Dirk Nowitzki,32,DAL,0.0,113.0,1210,0.093,2011
6,Dwyane Wade,29,MIA,0.0,24.0,1210,0.02,2011
7,Manu Ginóbili,33,SAS,0.0,20.0,1210,0.017,2011
8,Amar'e Stoudemire,28,NYK,0.0,9.0,1210,0.007,2011
9,Blake Griffin,21,LAC,0.0,5.0,1210,0.004,2011
10,Rajon Rondo,24,BOS,0.0,5.0,1210,0.004,2011
11,Tony Parker,28,SAS,0.0,3.0,1210,0.002,2011
12,Chris Paul,25,NOH,0.0,2.0,1210,0.002,2011
