,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Nikola Jokić,25,DEN,91.0,971.0,1010,0.961,2021
1,Joel Embiid,26,PHI,1.0,586.0,1010,0.58,2021
2,Stephen Curry,32,GSW,5.0,453.0,1010,0.449,2021
3,Giannis Antetokounmpo,26,MIL,1.0,348.0,1010,0.345,2021
4,Chris Paul,35,PHO,2.0,139.0,1010,0.138,2021
5,Luka Dončić,21,DAL,0.0,42.0,1010,0.042,2021
6,Damian Lillard,30,POR,0.0,38.0,1010,0.038,2021
7,Julius Randle,26,NYK,0.0,20.0,1010,0.02,2021
8,Derrick Rose,32,TOT,1.0,10.0,1010,0.01,2021
9,Rudy Gobert,28,UTA,0.0,8.0,1010,0.008,2021
10,Russell Westbrook,32,WAS,0.0,5.0,1010,0.005,2021
11,Ben Simmons,24,PHI,0.0,3.0,1010,0.003,2021
12,James Harden,31,TOT,0.0,1.0,1010,0.001,2021
13,LeBron James,36,LAL,0.0,1.0,1010,0.001,2021
14,Kawhi Leonard,29,LAC,0.0,1.0,1010,0.001,2021
