,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Larry Bird,27,BOS,52.0,652.0,760,0.858,1984
1,Bernard King,27,NYK,11.0,373.0,760,0.491,1984
2,Magic Johnson,24,LAL,5.0,305.0,760,0.401,1984
3,Kareem Abdul-Jabbar,36,LAL,3.0,153.0,760,0.201,1984
4,Isiah Thomas,22,DET,1.0,115.0,760,0.151,1984
5,Julius Erving,33,PHI,1.0,98.0,760,0.129,1984
6,Adrian Dantley,28,UTA,1.0,88.0,760,0.116,1984
7,Sidney Moncrief,26,MIL,1.0,70.0,760,0.092,1984
8,Jeff Ruland,25,WSB,1.0,38.0,760,0.05,1984
9,Moses Malone,28,PHI,0.0,35.0,760,0.046,1984
10,Mark Aguirre,24,DAL,0.0,28.0,760,0.037,1984
11,Bill Laimbeer,26,DET,0.0,9.0,760,0.012,1984
12,Rickey Green,29,UTA,0.0,8.0,760,0.011,1984
13,World B. Free,30,CLE,0.0,1.0,760,0.001,1984
14,Marques Johnson,27,MIL,0.0,1.0,760,0.001,1984
