,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Michael Jordan,28,CHI,80.0,900.0,960,0.938,1992
1,Clyde Drexler,29,POR,12.0,561.0,960,0.584,1992
2,David Robinson,26,SAS,2.0,337.0,960,0.351,1992
3,Karl Malone,28,UTA,1.0,262.0,960,0.273,1992
4,Patrick Ewing,29,NYK,0.0,100.0,960,0.104,1992
5,Chris Mullin,28,GSW,0.0,81.0,960,0.084,1992
6,Mark Price,27,CLE,0.0,66.0,960,0.069,1992
7,Tim Hardaway,25,GSW,0.0,64.0,960,0.067,1992
8,Scottie Pippen,26,CHI,1.0,32.0,960,0.033,1992
9,Dennis Rodman,30,DET,0.0,26.0,960,0.027,1992
10,Brad Daugherty,26,CLE,0.0,24.0,960,0.025,1992
11,Charles Barkley,28,PHI,0.0,18.0,960,0.019,1992
12,John Stockton,29,UTA,0.0,18.0,960,0.019,1992
13,Larry Bird,35,BOS,0.0,3.0,960,0.003,1992
14,Kevin Johnson,25,PHO,0.0,2.0,960,0.002,1992
15,Danny Manning,25,LAC,0.0,1.0,960,0.001,1992
16,Detlef Schrempf,29,IND,0.0,1.0,960,0.001,1992
