,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Tim Duncan,25,SAS,57.0,954.0,1260,0.757,2002
1,Jason Kidd,28,NJN,45.0,897.0,1260,0.712,2002
2,Shaquille O'Neal,29,LAL,15.0,696.0,1260,0.552,2002
3,Tracy McGrady,22,ORL,7.0,390.0,1260,0.31,2002
4,Kobe Bryant,23,LAL,1.0,98.0,1260,0.078,2002
5,Gary Payton,33,SEA,1.0,54.0,1260,0.043,2002
6,Chris Webber,28,SAC,0.0,37.0,1260,0.029,2002
7,Dirk Nowitzki,23,DAL,0.0,31.0,1260,0.025,2002
8,Allen Iverson,26,PHI,0.0,29.0,1260,0.023,2002
9,Ben Wallace,27,DET,0.0,24.0,1260,0.019,2002
10,Paul Pierce,24,BOS,0.0,22.0,1260,0.017,2002
11,Kevin Garnett,25,MIN,0.0,17.0,1260,0.013,2002
12,Michael Jordan,38,WAS,0.0,16.0,1260,0.013,2002
13,Steve Nash,27,DAL,0.0,5.0,1260,0.004,2002
14,Jerry Stackhouse,27,DET,0.0,3.0,1260,0.002,2002
15,Mike Bibby,23,SAC,0.0,1.0,1260,0.001,2002
16,Elton Brand,22,LAC,0.0,1.0,1260,0.001,2002
17,Peja Stojaković,24,SAC,0.0,1.0,1260,0.001,2002
