,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Dirk Nowitzki,28,DAL,83.0,1138.0,1290,0.882,2007
1,Steve Nash,32,PHO,44.0,1013.0,1290,0.785,2007
2,Kobe Bryant,28,LAL,2.0,521.0,1290,0.404,2007
3,Tim Duncan,30,SAS,0.0,286.0,1290,0.222,2007
4,LeBron James,22,CLE,0.0,183.0,1290,0.142,2007
5,Tracy McGrady,27,HOU,0.0,110.0,1290,0.085,2007
6,Chris Bosh,22,TOR,0.0,43.0,1290,0.033,2007
7,Gilbert Arenas,25,WAS,0.0,31.0,1290,0.024,2007
8,Carlos Boozer,25,UTA,0.0,7.0,1290,0.005,2007
9,Kevin Garnett,30,MIN,0.0,7.0,1290,0.005,2007
10,Chauncey Billups,30,DET,0.0,4.0,1290,0.003,2007
11,Shaquille O'Neal,34,MIA,0.0,3.0,1290,0.002,2007
12,Dwyane Wade,25,MIA,0.0,3.0,1290,0.002,2007
13,Amar'e Stoudemire,24,PHO,0.0,2.0,1290,0.002,2007
14,Carmelo Anthony,22,DEN,0.0,1.0,1290,0.001,2007
15,Baron Davis,27,GSW,0.0,1.0,1290,0.001,2007
16,Tony Parker,24,SAS,0.0,1.0,1290,0.001,2007
