,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Larry Bird,29,BOS,73.0,765.0,780,0.981,1986
1,Dominique Wilkins,26,ATL,5.0,407.0,780,0.522,1986
2,Magic Johnson,26,LAL,0.0,205.0,780,0.263,1986
3,Hakeem Olajuwon,23,HOU,0.0,193.0,780,0.247,1986
4,Kareem Abdul-Jabbar,38,LAL,0.0,135.0,780,0.173,1986
5,Charles Barkley,22,PHI,0.0,133.0,780,0.171,1986
6,Sidney Moncrief,28,MIL,0.0,56.0,780,0.072,1986
7,Alex English,32,DEN,0.0,55.0,780,0.071,1986
8,Isiah Thomas,24,DET,0.0,28.0,780,0.036,1986
9,Moses Malone,30,PHI,0.0,21.0,780,0.027,1986
10,Terry Cummings,24,MIL,0.0,9.0,780,0.012,1986
11,James Worthy,24,LAL,0.0,7.0,780,0.009,1986
12,Kevin McHale,28,BOS,0.0,3.0,780,0.004,1986
13,Paul Pressey,27,MIL,0.0,3.0,780,0.004,1986
14,Alvin Robertson,23,SAS,0.0,3.0,780,0.004,1986
15,Adrian Dantley,30,UTA,0.0,2.0,780,0.003,1986
16,Buck Williams,25,NJN,0.0,2.0,780,0.003,1986
17,Dennis Johnson,31,BOS,0.0,1.0,780,0.001,1986
