,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Michael Jordan,32,CHI,109.0,1114.0,1130,0.986,1996
1,David Robinson,30,SAS,0.0,574.0,1130,0.508,1996
2,Anfernee Hardaway,24,ORL,2.0,360.0,1130,0.319,1996
3,Hakeem Olajuwon,33,HOU,1.0,238.0,1130,0.211,1996
4,Scottie Pippen,30,CHI,0.0,226.0,1130,0.2,1996
5,Gary Payton,27,SEA,0.0,98.0,1130,0.087,1996
6,Karl Malone,32,UTA,1.0,85.0,1130,0.075,1996
7,Shawn Kemp,26,SEA,0.0,73.0,1130,0.065,1996
8,Grant Hill,23,DET,0.0,63.0,1130,0.056,1996
9,Shaquille O'Neal,23,ORL,0.0,63.0,1130,0.056,1996
10,John Stockton,33,UTA,0.0,12.0,1130,0.011,1996
11,Charles Barkley,32,PHO,0.0,8.0,1130,0.007,1996
12,Magic Johnson,36,LAL,0.0,8.0,1130,0.007,1996
13,Alonzo Mourning,25,MIA,0.0,6.0,1130,0.005,1996
14,Dennis Rodman,34,CHI,0.0,4.0,1130,0.004,1996
15,Terrell Brandon,25,CLE,0.0,3.0,1130,0.003,1996
16,Mitch Richmond,30,SAC,0.0,3.0,1130,0.003,1996
