,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Steve Nash,30,PHO,65.0,1066.0,1270,0.839,2005
1,Shaquille O'Neal,32,MIA,58.0,1032.0,1270,0.813,2005
2,Dirk Nowitzki,26,DAL,0.0,349.0,1270,0.275,2005
3,Tim Duncan,28,SAS,1.0,328.0,1270,0.258,2005
4,Allen Iverson,29,PHI,2.0,240.0,1270,0.189,2005
5,LeBron James,20,CLE,0.0,93.0,1270,0.073,2005
6,Tracy McGrady,25,HOU,0.0,44.0,1270,0.035,2005
7,Dwyane Wade,23,MIA,0.0,43.0,1270,0.034,2005
8,Amar'e Stoudemire,22,PHO,1.0,41.0,1270,0.032,2005
9,Ray Allen,29,SEA,0.0,41.0,1270,0.032,2005
10,Kevin Garnett,28,MIN,0.0,15.0,1270,0.012,2005
11,Gilbert Arenas,23,WAS,0.0,4.0,1270,0.003,2005
12,Vince Carter,28,TOT,0.0,3.0,1270,0.002,2005
13,P.J. Brown,35,NOH,0.0,1.0,1270,0.001,2005
14,Marcus Camby,30,DEN,0.0,1.0,1270,0.001,2005
15,Shawn Marion,26,PHO,0.0,1.0,1270,0.001,2005
