,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Julius Erving,30,PHI,28.0,454.0,690,0.658,1981
1,Larry Bird,24,BOS,20.0,423.0,690,0.613,1981
2,Kareem Abdul-Jabbar,33,LAL,8.0,286.0,690,0.414,1981
3,Moses Malone,25,HOU,8.0,180.0,690,0.261,1981
4,George Gervin,28,SAS,1.0,83.0,690,0.12,1981
5,Marques Johnson,24,MIL,1.0,73.0,690,0.106,1981
6,Robert Parish,27,BOS,0.0,53.0,690,0.077,1981
7,Dennis Johnson,26,PHO,0.0,50.0,690,0.072,1981
8,Tiny Archibald,32,BOS,0.0,32.0,690,0.046,1981
9,Jamaal Wilkes,27,LAL,0.0,19.0,690,0.028,1981
10,Magic Johnson,21,LAL,0.0,18.0,690,0.026,1981
11,Adrian Dantley,25,UTA,1.0,15.0,690,0.022,1981
12,Phil Ford,24,KCK,1.0,15.0,690,0.022,1981
13,Bernard King,24,GSW,0.0,12.0,690,0.017,1981
14,Kelvin Ransey,22,POR,1.0,11.0,690,0.016,1981
15,Jack Sikma,25,SEA,0.0,11.0,690,0.016,1981
16,Otis Birdsong,25,KCK,0.0,7.0,690,0.01,1981
17,Micheal Ray Richardson,25,NYK,0.0,7.0,690,0.01,1981
18,Truck Robinson,29,PHO,0.0,6.0,690,0.009,1981
19,Reggie Theus,23,CHI,0.0,6.0,690,0.009,1981
20,Norm Nixon,25,LAL,0.0,5.0,690,0.007,1981
21,Artis Gilmore,31,CHI,0.0,4.0,690,0.006,1981
22,Bob Lanier,32,MIL,0.0,4.0,690,0.006,1981
23,Michael Cooper,24,LAL,0.0,3.0,690,0.004,1981
24,Walter Davis,26,PHO,0.0,3.0,690,0.004,1981
25,George Johnson,32,SAS,0.0,3.0,690,0.004,1981
26,Bobby Jones,29,PHI,0.0,3.0,690,0.004,1981
27,Mike Mitchell,25,CLE,0.0,3.0,690,0.004,1981
28,James Silas,31,SAS,0.0,3.0,690,0.004,1981
29,Quinn Buckner,26,MIL,0.0,1.0,690,0.001,1981
30,Caldwell Jones,30,PHI,0.0,1.0,690,0.001,1981
