,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Charles Barkley,29,PHO,59.0,835.0,980,0.852,1993
1,Hakeem Olajuwon,30,HOU,22.0,647.0,980,0.66,1993
2,Michael Jordan,29,CHI,13.0,565.0,980,0.577,1993
3,Patrick Ewing,30,NYK,4.0,359.0,980,0.366,1993
4,Dominique Wilkins,33,ATL,0.0,54.0,980,0.055,1993
5,David Robinson,27,SAS,0.0,33.0,980,0.034,1993
6,Shaquille O'Neal,20,ORL,0.0,30.0,980,0.031,1993
7,Karl Malone,29,UTA,0.0,10.0,980,0.01,1993
8,Mark Price,28,CLE,0.0,10.0,980,0.01,1993
9,Brad Daugherty,27,CLE,0.0,1.0,980,0.001,1993
10,Clyde Drexler,30,POR,0.0,1.0,980,0.001,1993
11,Joe Dumars,29,DET,0.0,1.0,980,0.001,1993
12,Shawn Kemp,23,SEA,0.0,1.0,980,0.001,1993
13,John Stockton,30,UTA,0.0,1.0,980,0.001,1993
