,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,LeBron James,28,MIA,120.0,1207.0,1210,0.998,2013
1,Kevin Durant,24,OKC,0.0,765.0,1210,0.632,2013
2,Carmelo Anthony,28,NYK,1.0,475.0,1210,0.393,2013
3,Chris Paul,27,LAC,0.0,289.0,1210,0.239,2013
4,Kobe Bryant,34,LAL,0.0,184.0,1210,0.152,2013
5,Tony Parker,30,SAS,0.0,86.0,1210,0.071,2013
6,Tim Duncan,36,SAS,0.0,65.0,1210,0.054,2013
7,James Harden,23,HOU,0.0,33.0,1210,0.027,2013
8,Russell Westbrook,24,OKC,0.0,9.0,1210,0.007,2013
9,Dwyane Wade,31,MIA,0.0,5.0,1210,0.004,2013
10,Stephen Curry,24,GSW,0.0,3.0,1210,0.002,2013
11,Kevin Garnett,36,BOS,0.0,1.0,1210,0.001,2013
12,Marc Gasol,28,MEM,0.0,1.0,1210,0.001,2013
13,Ty Lawson,25,DEN,0.0,1.0,1210,0.001,2013
14,David Lee,29,GSW,0.0,1.0,1210,0.001,2013
15,Joakim Noah,27,CHI,0.0,1.0,1210,0.001,2013
