,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Moses Malone,27,PHI,69.0,720.0,750,0.96,1983
1,Larry Bird,26,BOS,1.0,364.0,750,0.485,1983
2,Magic Johnson,23,LAL,2.0,304.5,750,0.406,1983
3,Sidney Moncrief,25,MIL,0.0,226.0,750,0.301,1983
4,Julius Erving,32,PHI,3.0,112.0,750,0.149,1983
5,Alex English,29,DEN,0.0,42.0,750,0.056,1983
6,Buck Williams,22,NJN,0.0,40.0,750,0.053,1983
7,Artis Gilmore,33,SAS,0.0,33.0,750,0.044,1983
8,George Gervin,30,SAS,0.0,30.0,750,0.04,1983
9,Kareem Abdul-Jabbar,35,LAL,0.0,15.0,750,0.02,1983
10,Jack Sikma,27,SEA,0.0,13.0,750,0.017,1983
11,Jeff Ruland,24,WSB,0.0,12.0,750,0.016,1983
12,Terry Cummings,21,SDC,0.0,10.0,750,0.013,1983
13,Maurice Lucas,30,PHO,0.0,9.0,750,0.012,1983
14,Alton Lister,24,MIL,0.0,5.0,750,0.007,1983
15,Bernard King,26,NYK,0.0,4.0,750,0.005,1983
16,Isiah Thomas,21,DET,0.0,4.0,750,0.005,1983
17,Larry Drew,24,KCK,0.0,3.0,750,0.004,1983
18,Gus Williams,29,SEA,0.0,3.0,750,0.004,1983
19,Dan Roundfield,29,ATL,0.0,2.0,750,0.003,1983
20,Marques Johnson,26,MIL,0.0,1.5,750,0.002,1983
21,Norm Nixon,27,LAL,0.0,1.0,750,0.001,1983
22,Kiki Vandeweghe,24,DEN,0.0,1.0,750,0.001,1983
