,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Magic Johnson,29,LAL,42.5,664.5,850,0.782,1989
1,Michael Jordan,25,CHI,27.5,598.8,850,0.704,1989
2,Karl Malone,25,UTA,5.0,362.0,850,0.426,1989
3,Patrick Ewing,26,NYK,8.0,200.0,850,0.235,1989
4,Hakeem Olajuwon,26,HOU,2.0,179.3,850,0.211,1989
5,Charles Barkley,25,PHI,0.0,94.3,850,0.111,1989
6,John Stockton,26,UTA,0.0,28.0,850,0.033,1989
7,Kevin Johnson,22,PHO,0.0,22.0,850,0.026,1989
8,Tom Chambers,29,PHO,0.0,20.0,850,0.024,1989
9,Mark Price,24,CLE,0.0,18.0,850,0.021,1989
10,Brad Daugherty,23,CLE,0.0,4.0,850,0.005,1989
11,Robert Parish,35,BOS,0.0,4.0,850,0.005,1989
12,Mark Eaton,32,UTA,0.0,3.0,850,0.004,1989
13,Moses Malone,33,ATL,0.0,3.0,850,0.004,1989
14,Chris Mullin,25,GSW,0.0,3.0,850,0.004,1989
15,Larry Nance,29,CLE,0.0,3.0,850,0.004,1989
16,Terry Cummings,27,MIL,0.0,1.0,850,0.001,1989
17,Joe Dumars,25,DET,0.0,1.0,850,0.001,1989
18,Isiah Thomas,27,DET,0.0,1.0,850,0.001,1989
