,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Steve Nash,31,PHO,57.0,924.0,1250,0.739,2006
1,LeBron James,21,CLE,16.0,688.0,1250,0.55,2006
2,Dirk Nowitzki,27,DAL,14.0,544.0,1250,0.435,2006
3,Kobe Bryant,27,LAL,22.0,483.0,1250,0.386,2006
4,Chauncey Billups,29,DET,15.0,430.0,1250,0.344,2006
5,Dwyane Wade,24,MIA,0.0,87.0,1250,0.07,2006
6,Elton Brand,26,LAC,1.0,50.0,1250,0.04,2006
7,Tim Duncan,29,SAS,0.0,33.0,1250,0.026,2006
8,Tony Parker,23,SAS,0.0,9.0,1250,0.007,2006
9,Allen Iverson,30,PHI,0.0,1.0,1250,0.001,2006
10,Shawn Marion,27,PHO,0.0,1.0,1250,0.001,2006
