,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,Allen Iverson,25,PHI,93.0,1121.0,1240,0.904,2001
1,Tim Duncan,24,SAS,18.0,706.0,1240,0.569,2001
2,Shaquille O'Neal,28,LAL,7.0,578.0,1240,0.466,2001
3,Chris Webber,27,SAC,5.0,521.0,1240,0.42,2001
4,Kevin Garnett,24,MIN,1.0,151.0,1240,0.122,2001
5,Tracy McGrady,21,ORL,0.0,64.0,1240,0.052,2001
6,Karl Malone,37,UTA,0.0,21.0,1240,0.017,2001
7,Jason Kidd,27,PHO,0.0,18.0,1240,0.015,2001
8,Kobe Bryant,22,LAL,0.0,11.0,1240,0.009,2001
9,David Robinson,35,SAS,0.0,8.0,1240,0.006,2001
10,Ray Allen,25,MIL,0.0,7.0,1240,0.006,2001
11,Vince Carter,24,TOR,0.0,7.0,1240,0.006,2001
12,Paul Pierce,23,BOS,0.0,5.0,1240,0.004,2001
13,Jerry Stackhouse,26,DET,0.0,3.0,1240,0.002,2001
14,Michael Finley,27,DAL,0.0,1.0,1240,0.001,2001
15,Anthony Mason,34,MIA,0.0,1.0,1240,0.001,2001
16,John Stockton,38,UTA,0.0,1.0,1240,0.001,2001
