,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,STAR,Year
0,Shareef Abdur-Rahim,PF,28.0,POR,54.0,49.0,34.6,6.2,12.4,0.503,0.3,0.7,0.385,6.0,11.7,0.51,0.514,4.1,4.7,0.866,2.3,5.0,7.3,2.1,0.9,0.5,2.2,2.8,16.8,False,2005
1,Cory Alexander,SG,31.0,CHA,16.0,1.0,12.6,1.0,3.1,0.327,0.5,1.2,0.421,0.5,1.9,0.267,0.408,0.6,0.8,0.75,0.5,1.3,1.8,2.3,0.6,0.1,1.2,1.8,3.1,False,2005
2,Malik Allen,PF,26.0,Traded,72.0,2.0,14.4,2.31,4.91,0.48,0.0,0.0,,2.31,4.91,0.48,0.48,0.71,0.78,0.93,1.09,1.62,2.76,0.5,0.27,0.61,0.5,1.49,5.38,False,2005
3,Ray Allen,SG,29.0,SEA,78.0,78.0,39.3,8.2,19.2,0.428,2.7,7.1,0.376,5.5,12.0,0.459,0.498,4.8,5.5,0.883,1.0,3.4,4.4,3.7,1.1,0.1,2.2,2.1,23.9,True,2005
4,Tony Allen,SG,23.0,BOS,77.0,34.0,16.4,2.4,5.0,0.475,0.2,0.4,0.387,2.2,4.6,0.483,0.491,1.5,2.0,0.737,1.1,1.8,2.9,0.8,1.0,0.3,1.0,2.0,6.4,False,2005
5,Rafer Alston,PG,28.0,TOR,80.0,78.0,34.0,5.0,12.2,0.414,1.7,4.9,0.357,3.3,7.3,0.451,0.485,2.4,3.2,0.74,0.5,3.0,3.5,6.4,1.5,0.1,2.1,2.7,14.2,False,2005
6,Chris Andersen,C,26.0,NOH,67.0,2.0,21.3,2.9,5.3,0.534,0.0,0.0,0.0,2.9,5.3,0.538,0.534,2.0,2.8,0.689,2.0,4.1,6.1,1.1,0.2,1.5,1.0,2.1,7.7,False,2005
7,Derek Anderson,SG,30.0,POR,47.0,32.0,26.4,3.2,8.3,0.389,1.2,3.2,0.384,2.0,5.1,0.392,0.463,1.5,1.9,0.805,0.5,2.2,2.7,3.0,0.8,0.1,1.5,1.9,9.2,False,2005
8,Kenny Anderson,PG,34.0,Traded,86.0,40.0,17.3,2.0,4.7,0.42,0.14,0.29,,1.81,4.37,0.42,0.44,0.62,0.86,,0.59,1.48,2.01,2.39,0.76,0.0,1.13,2.02,4.71,False,2005
9,Shandon Anderson,SF-SG,31.0,Traded,132.0,10.0,17.72,1.49,3.29,0.45,0.1,0.4,0.17,1.39,2.84,0.49,0.46,0.79,0.99,,0.6,2.28,2.89,1.09,0.6,0.2,0.8,2.1,3.87,False,2005
