pred_rank,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,VORP,pred
45,Jrue Holiday,33,57,56,32.4,6.76,14.57,0.46,2.39,6.03,0.36,4.6,8.56,0.51,0.53,2.43,2.83,0.85,1.04,3.92,4.97,7,1.13,0.39,2.69,1.82,18.35,18.04,0.57,0.4,0.18,3.47,12,7.95,33.02,1.57,0.88,14.98,24.99,3.11,2.47,4.82,0.11,2.18,-0.13,2.38,2.31,0
45,Desmond Bane,25,49,39,31.71,7.96,16.22,0.46,2.91,7.05,0.38,5.01,9.45,0.54,0.55,3.62,4.22,0.86,0.71,4.35,5.2,4.8,0.92,0.38,2.44,2.46,21.81,19.56,0.59,0.47,0.23,2.56,14.75,8.6,20.26,1.22,1.01,11.5,27.52,2.58,1.96,4.26,0.12,3.31,-0.12,3.19,1.52,0
45,Miles Bridges,24,67,71,34.8,7.52,15.08,0.48,2.04,5.87,0.35,5.61,10.04,0.56,0.54,3.49,4.58,0.81,1.04,5.56,6.81,3.97,0.83,0.74,1.94,2.26,20.46,18.27,0.58,0.39,0.25,3.03,17.71,10.42,16.5,1.32,2.04,9.91,24.53,4.44,2.65,6.41,0.13,1.99,-0.29,1.6,2.09,0
47,Karl-Anthony Towns,28,5,8,32.93,7.04,14.15,0.48,1.74,5.92,0.32,4.76,9.03,0.56,0.55,3.59,4.1,0.87,1.67,6.54,7.9,4.72,0.67,0.53,2.8,3.54,17.17,16.13,0.61,0.38,0.3,5.55,21.43,13.11,22.38,0.93,1.5,14.47,25.57,-0.33,0.41,-0.01,0.12,0.45,0.87,2.23,0.03,0
47,Pascal Siakam,29,69,68,35.86,8.4,17.35,0.47,1.39,4.39,0.33,7.05,13.65,0.51,0.5,4.91,6.18,0.77,1.72,5.66,7.28,5.57,0.82,0.49,2.35,2.98,23.24,19.65,0.55,0.24,0.37,5.09,19.28,11.76,25.12,1.17,1.24,10.12,26.82,4.2,2.14,6.76,0.13,2.98,-0.44,2.31,2.83,0
49,Kevin Porter Jr.,23,53,38,33.98,7.09,15.1,0.44,2.05,5.37,0.35,4.56,8.89,0.51,0.54,3.68,4.87,0.81,1.26,3.68,4.92,5.47,1.59,0.19,2.91,2.26,19.84,17.98,0.57,0.44,0.28,3.95,12.77,8.2,24.81,2.15,0.87,14.67,25.23,2.85,1.2,3.87,0.1,2.44,-0.44,2.15,1.85,0
49,Tyler Herro,24,61,83,32.92,7.1,16.27,0.43,2.8,7.78,0.34,4.07,8.44,0.51,0.52,2.71,2.8,0.89,0.42,4.48,5.02,4.13,0.88,0.3,2.41,1.56,19.04,15.6,0.55,0.49,0.19,1.39,17.06,9.02,18.97,1.3,0.92,11.39,25.58,1.49,1.99,3.7,0.07,1.86,-0.55,0.82,1.53,0
52,Kyle Kuzma,28,57,45,32.49,7.16,16.26,0.44,2.42,6.94,0.34,4.88,9.26,0.53,0.53,2.51,3.28,0.74,0.86,5.56,6.36,3.92,0.62,0.54,2.43,2.44,19.15,14.11,0.55,0.42,0.2,3.48,18.54,11.34,18.91,0.94,1.41,12.25,26.31,-0.51,2.24,1.66,0.04,-0.64,-1.25,-1.29,0.53,0
52,Fred VanVleet,29,62,53,34.92,6.32,15.07,0.4,2.8,8.07,0.33,2.98,7.1,0.47,0.49,3.68,4.13,0.87,0.47,3.46,4.06,7.04,1.74,0.49,2.08,2.76,18.89,16.38,0.54,0.55,0.26,1.43,12.03,6.44,28.33,2.31,1.13,10.97,22.94,3.15,2.24,5.4,0.1,1.44,0.23,1.4,2.37,0
52,Franz Wagner,22,70,63,34.76,7.54,16.08,0.47,1.7,4.9,0.37,5.83,10.51,0.53,0.53,4.09,4.75,0.82,0.78,3.07,3.83,3.73,1.07,0.15,2.43,2.18,21.99,17.27,0.58,0.34,0.29,2.62,11.75,7.17,17.62,1.51,0.45,12.28,26.48,3.19,1.86,4.9,0.09,1.82,-0.48,0.08,1.33,0
60,RJ Barrett,23,64,52,33.45,7.6,15.87,0.44,1.34,4.62,0.32,5.86,10.77,0.52,0.5,4.68,5.95,0.74,0.8,3.46,4.28,3.02,0.48,0.32,2.28,2.5,21.16,15.76,0.54,0.37,0.31,2.79,13.56,7.7,12.78,0.7,0.82,11.23,26.14,2.21,1.77,4.33,0.07,-0.3,-1.57,-0.82,0.1,0
60,Tyrese Maxey,23,56,25,30.51,7.3,15.68,0.46,2.65,6.29,0.4,4.69,9.27,0.48,0.55,3.49,3.99,0.82,0.47,2.42,2.86,2.95,0.85,0.04,1.51,2.14,20.59,17.77,0.59,0.42,0.22,1.86,9.17,5.29,16.55,1.33,0.24,8.34,25.72,3.56,1.48,6.17,0.14,2.26,-1.01,0.51,0.85,0
60,Bradley Beal,30,77,59,27.51,6.81,14.26,0.5,1.77,4.5,0.4,5.4,10.14,0.55,0.55,2.56,2.68,0.83,0.74,2.57,3.49,3.78,0.84,0.65,1.96,1.9,17.72,16.87,0.59,0.27,0.25,2.83,10.24,6.46,23.83,1.42,1.64,12.43,27.15,2.32,1.87,4.93,0.11,1.68,-0.64,1.18,1.98,0
60,D'Angelo Russell,27,57,51,30.39,5.5,11.95,0.48,2.43,5.97,0.41,3.06,5.77,0.55,0.58,2.34,2.69,0.83,0.52,2.51,2.99,5.37,0.99,0.45,2.42,1.88,15.86,15.45,0.61,0.52,0.21,1.78,9.12,5.51,25.87,1.42,1.21,16.19,21.49,1.98,1.76,4.59,0.11,1.51,-0.27,1.47,1.75,0
60,OG Anunoby,26,76,65,32.85,5.94,12.04,0.48,1.96,5.24,0.38,3.88,6.66,0.53,0.55,2.27,2.77,0.83,1.07,3.46,4.39,1.94,1.69,0.63,1.99,2.7,15.62,14.51,0.58,0.41,0.2,3.83,11.79,7.75,8.94,2.59,1.89,12.25,19.89,1.93,3.16,4.87,0.1,-0.21,0.66,0.36,1.45,0
60,Zach LaVine,28,64,66,34.72,7.93,16.79,0.47,2.31,6.44,0.36,5.54,10.22,0.53,0.54,4.32,5.23,0.83,0.6,3.83,4.46,4.22,0.93,0.2,2.48,2.15,22.11,17.26,0.58,0.4,0.31,2.07,12.56,7.34,18.48,1.3,0.72,11.22,27.25,2.23,3.12,5.93,0.12,1.62,-0.29,0.96,1.76,0
60,Bojan Bogdanović,34,44,40,24.16,6.27,13.4,0.45,2.37,5.72,0.39,4.11,7.48,0.51,0.55,3.92,4.25,0.88,0.47,3.11,3.67,2.39,0.61,0.14,2.03,1.82,19.02,15.17,0.6,0.41,0.32,1.82,11.66,6.57,14.44,0.95,0.51,11.38,25.77,1.57,0.05,2.21,0.06,1.57,-1.96,0.21,1.02,0
60,Klay Thompson,33,89,77,28.94,6.36,15.06,0.43,4.19,10.23,0.4,2.77,5.65,0.46,0.55,1.33,1.68,0.84,0.59,3.14,3.72,1.96,0.8,0.28,1.57,1.75,17.65,12.56,0.57,0.65,0.11,2.18,12.23,6.82,10.23,1.22,0.83,9.02,22.58,1.6,2.17,4.37,0.06,-0.3,-1.27,-1.85,1.3,0
60,Jordan Clarkson,31,41,73,31.3,6.69,14.81,0.45,2.44,7.19,0.37,4.42,7.99,0.51,0.53,3.2,3.98,0.83,1.06,2.96,4.17,4.11,0.43,0.22,2.84,1.87,18.45,13.8,0.56,0.45,0.25,3.73,9.59,6.66,21.34,0.88,0.6,14.37,24.62,1.17,0.44,1.44,0.05,0.65,-2.22,-1.33,0.8,0
60,Gary Trent Jr.,25,61,17,29.03,6.16,14.13,0.43,2.25,6.26,0.35,3.57,7.16,0.5,0.51,2.95,3.43,0.83,0.58,2.38,2.82,1.98,1.4,0.23,0.76,1.4,16.99,15.45,0.56,0.47,0.26,1.83,9.58,5.37,7.95,2.17,0.74,5.21,23.4,2.18,1.65,3.5,0.1,0.27,-0.19,0.11,0.73,0
60,Andrew Wiggins,28,30,20,30.82,6.75,13.46,0.47,2.29,6.02,0.37,4.32,8.03,0.52,0.55,1.09,1.7,0.62,1.58,3.46,4.83,2.2,1.14,0.71,1.32,2.86,16.23,14.57,0.55,0.45,0.14,5.62,11.73,8.84,11.44,1.88,1.96,7.95,21.21,1.04,0.6,2,0.09,-0.29,-0.44,-0.63,0.81,0
60,Scottie Barnes,22,70,60,32.47,6.28,13.79,0.43,0.99,3.24,0.32,5.27,11.16,0.48,0.47,2.78,3.8,0.78,2.22,4.14,6.27,5.41,1.1,0.76,2.29,2.11,16.26,15.62,0.51,0.25,0.26,6.94,15.45,10.61,20.6,1.47,2.06,11.92,22.03,1.94,2.56,4.7,0.09,1.16,-0.18,0.39,1.43,0
60,Jerami Grant,29,77,68,35.51,6.42,13.13,0.48,2.22,5.3,0.4,4.09,7.63,0.53,0.56,3.53,4.54,0.79,0.81,3.56,4.52,2.52,0.7,0.62,1.7,2.35,18.3,15.52,0.6,0.39,0.34,2.87,11.48,7.32,9.71,1.18,1.59,9.7,20.86,3.46,1.67,5.27,0.1,0.82,-1.19,-0.82,1.49,0
