     ,Player               ,Age,Tm ,G ,GS,MVP_Share,MVP_Rank,MP  ,FG  ,FGA ,FG%   ,3P ,3PA ,3P%   ,2P  ,2PA ,2P%   ,eFG%  ,FT ,FTA ,FT%   ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS ,Year,Tm_AGE,Tm_W,Tm_L,Tm_PW,Tm_PL,Tm_MOV,Tm_SOS,Tm_SRS,Tm_ORtg,Tm_DRtg,Tm_NRtg,Tm_PACE,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_TOV%,Tm_ORB%,Tm_FT/FGA,Tm_Op_eFG%,Tm_Op_TOV%,Tm_DRB%,Tm_Op_FT/FGA,Win%
10583,Tim Duncan           ,30 ,SAS,80,80,0.2217   ,4       ,34.1,7.7 ,14.1,0.5461,0  ,0.1 ,0     ,7.7 ,14  ,0.55  ,0.5461,4.5,7.1 ,0.6338,2.7,7.9 ,10.6,3.4 ,0.8,2.4,2.8,2.5,20  ,2007,31.4  ,56  ,26  ,55   ,27   ,4.79  ,0.31  ,5.1   ,107.2  ,101.8  ,5.4    ,88.8   ,0.276 ,0.251  ,0.543 ,0.504  ,12.6   ,23.4   ,0.21     ,0.477     ,12.8      ,77.1   ,0.201       ,0.683
5167 ,Patrick Ewing        ,32 ,NYK,79,79,0.219    ,4       ,37  ,9.2 ,18.4,0.5   ,0.1,0.3 ,0.3333,9.2 ,18.1,0.5083,0.5082,5.3,7.1 ,0.7465,2  ,9   ,11  ,2.7 ,0.9,2  ,3.2,3.4,23.9,1995,30.4  ,47  ,35  ,48   ,34   ,2.32  ,-0.08 ,2.24  ,106    ,103.5  ,2.5    ,91     ,0.306 ,0.201  ,0.55  ,0.509  ,14.9   ,25.5   ,0.232    ,0.476     ,14.8      ,71.1   ,0.251       ,0.573
2842 ,Hakeem Olajuwon      ,26 ,HOU,82,82,0.2109   ,5       ,36.9,9.6 ,19  ,0.5053,0  ,0.1 ,0     ,9.6 ,18.9,0.5079,0.5053,5.5,8   ,0.6875,4.1,9.4 ,13.5,1.8 ,2.6,3.4,3.4,4  ,24.8,1989,27.9  ,41  ,41  ,45   ,37   ,1.46  ,0.24  ,1.71  ,104.8  ,103.4  ,1.4    ,101.2  ,0.313 ,0.068  ,0.531 ,0.491  ,15.5   ,33.1   ,0.225    ,0.475     ,14.7      ,69.2   ,0.228       ,0.5
5612 ,Hakeem Olajuwon      ,33 ,HOU,72,72,0.2106   ,4       ,38.8,10.7,20.8,0.5144,0  ,0.2 ,0     ,10.6,20.6,0.5146,0.5096,5.5,7.6 ,0.7237,2.4,8.4 ,10.9,3.6 ,1.6,2.9,3.4,3.4,26.9,1996,30.8  ,57  ,25  ,54   ,28   ,4.48  ,-0.62 ,3.85  ,108.8  ,104    ,4.8    ,91.6   ,0.307 ,0.284  ,0.56  ,0.52   ,15.6   ,28.4   ,0.232    ,0.481     ,13.3      ,71.4   ,0.19        ,0.695
6391 ,Tim Hardaway         ,30 ,MIA,81,81,0.207    ,4       ,38.7,7.1 ,17.1,0.4152,2.5,7.3 ,0.3425,4.6 ,9.8 ,0.4694,0.4883,3.6,4.5 ,0.8   ,0.6,2.8 ,3.4 ,8.6 ,1.9,0.1,2.8,2  ,20.3,1997,28.1  ,55  ,27  ,56   ,26   ,4.93  ,0.16  ,5.09  ,107.6  ,102    ,5.6    ,87.9   ,0.329 ,0.244  ,0.538 ,0.494  ,14.5   ,31.5   ,0.243    ,0.452     ,14.2      ,69.6   ,0.257       ,0.671
7314 ,Tim Duncan           ,23 ,SAS,74,74,0.205    ,5       ,38.9,8.5 ,17.3,0.4913,0  ,0.1 ,0     ,8.5 ,17.2,0.4942,0.4913,6.2,8.1 ,0.7654,3.5,8.9 ,12.4,3.2 ,0.9,2.2,3.3,2.8,23.2,2000,29.5  ,58  ,24  ,63   ,19   ,7.76  ,0.16  ,7.92  ,106.6  ,98     ,8.6    ,89.6   ,0.374 ,0.175  ,0.541 ,0.496  ,13.6   ,27.1   ,0.267    ,0.444     ,12.9      ,73.7   ,0.182       ,0.707
15975,Damian Lillard       ,27 ,POR,73,73,0.205    ,4       ,36.6,8.5 ,19.4,0.4381,3.1,8.6 ,0.3605,5.4 ,10.8,0.5   ,0.518 ,6.8,7.4 ,0.9189,0.8,3.6 ,4.5 ,6.6 ,1.1,0.4,2.8,1.6,26.9,2018,26.2  ,53  ,29  ,51   ,31   ,4.2   ,0.24  ,4.43  ,114.7  ,110.5  ,4.2    ,99.1   ,0.258 ,0.339  ,0.568 ,0.528  ,12.1   ,26.6   ,0.21     ,0.516     ,11        ,77.9   ,0.195       ,0.646
5543 ,Scottie Pippen       ,30 ,CHI,77,77,0.2      ,5       ,36.7,7.3 ,15.8,0.462 ,1.9,5.2 ,0.3654,5.4 ,10.6,0.5094,0.5222,2.9,4.2 ,0.6905,2  ,4.5 ,6.4 ,5.9 ,1.7,0.7,2.7,2.6,19.4,1996,30.7  ,69  ,13  ,68   ,14   ,10.8  ,-0.11 ,10.7  ,114.4  ,102.4  ,12     ,90     ,0.267 ,0.203  ,0.547 ,0.511  ,12.5   ,35.9   ,0.199    ,0.471     ,14.8      ,69.3   ,0.196       ,0.841
9579 ,Allen Iverson        ,29 ,PHI,75,75,0.189    ,5       ,42.3,10.3,24.2,0.4256,1.4,4.5 ,0.3111,8.9 ,19.7,0.4518,0.4545,8.7,10.5,0.8286,0.7,3.3 ,4   ,7.9 ,2.4,0.1,4.6,1.9,30.7,2005,26.5  ,38  ,44  ,35   ,47   ,-1.95 ,-0.15 ,-2.1  ,106    ,108.1  ,-2.1   ,92.7   ,0.356 ,0.158  ,0.538 ,0.487  ,13.3   ,25.6   ,0.27     ,0.5       ,14.3      ,71.3   ,0.24        ,0.463
3553 ,Patrick Ewing        ,27 ,NYK,82,82,0.1761   ,5       ,38.6,11.2,20.4,0.549 ,0  ,0   ,0     ,11.2,20.4,0.549 ,0.549 ,6.1,7.9 ,0.7722,2.9,8   ,10.9,2.2 ,1  ,4  ,3.4,4  ,28.6,1990,28.1  ,39  ,43  ,40   ,42   ,-0.23 ,-0.2  ,-0.43 ,107.1  ,107.3  ,-0.2   ,95     ,0.315 ,0.082  ,0.544 ,0.498  ,15.1   ,31.1   ,0.242    ,0.489     ,13.4      ,68.5   ,0.205       ,0.476
