     ,Player               ,Age,Tm ,G ,GS,MVP_Share,MVP_Rank,MP  ,FG  ,FGA ,FG%   ,3P ,3PA ,3P%   ,2P  ,2PA ,2P%   ,eFG%  ,FT ,FTA ,FT%   ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS ,Year,Tm_AGE,Tm_W,Tm_L,Tm_PW,Tm_PL,Tm_MOV,Tm_SOS,Tm_SRS,Tm_ORtg,Tm_DRtg,Tm_NRtg,Tm_PACE,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_TOV%,Tm_ORB%,Tm_FT/FGA,Tm_Op_eFG%,Tm_Op_TOV%,Tm_DRB%,Tm_Op_FT/FGA,Win%
14847,Stephen Curry        ,27 ,GSW,79,79,1        ,1       ,34.2,10.2,20.2,0.505 ,5.1,11.2,0.4554,5.1 ,9   ,0.5667,0.6312,4.6,5.1 ,0.902 ,0.9,4.6 ,5.4 ,6.7 ,2.1,0.2,3.3,2  ,30.1,2016,28.2  ,67  ,15  ,67   ,15   ,11.63 ,-0.28 ,11.35 ,115.6  ,104    ,11.6   ,99.8   ,0.259 ,0.359  ,0.597 ,0.563  ,13.2   ,22.8   ,0.204    ,0.486     ,13.5      ,74.9   ,0.198       ,0.817
7710 ,Shaquille O'Neal     ,27 ,LAL,79,79,0.9975   ,1       ,40  ,12.1,21.1,0.5735,0  ,0   ,0     ,12.1,21.1,0.5735,0.5735,5.5,10.4,0.5288,4.3,9.4 ,13.6,3.8 ,0.5,3  ,2.8,3.2,29.7,2000,29.2  ,56  ,26  ,51   ,31   ,3.38  ,0.37  ,3.74  ,108.4  ,104.8  ,3.6    ,91.7   ,0.349 ,0.191  ,0.535 ,0.498  ,13.3   ,31.1   ,0.238    ,0.468     ,12.2      ,72.5   ,0.234       ,0.683
13183,LeBron James         ,28 ,MIA,76,76,0.9975   ,1       ,37.9,10.1,17.8,0.5674,1.4,3.3 ,0.4242,8.7 ,14.5,0.6   ,0.6067,5.3,7   ,0.7571,1.3,6.8 ,8   ,7.3 ,1.7,0.9,3  ,1.4,26.8,2013,30.6  ,54  ,28  ,54   ,28   ,4.76  ,-0.61 ,4.15  ,110.9  ,105.8  ,5.1    ,91.2   ,0.3   ,0.292  ,0.59  ,0.554  ,14.6   ,20.6   ,0.228    ,0.511     ,15.8      ,73     ,0.212       ,0.659
9309 ,Kevin Garnett        ,27 ,MIN,82,82,0.9911   ,1       ,39.4,9.8 ,19.6,0.5   ,0.1,0.5 ,0.2   ,9.7 ,19.1,0.5079,0.5026,4.5,5.7 ,0.7895,3  ,10.9,13.9,5   ,1.5,2.2,2.6,2.5,24.2,2004,29    ,44  ,38  ,45   ,37   ,1.45  ,0.28  ,1.73  ,108.2  ,106.6  ,1.6    ,89.1   ,0.275 ,0.173  ,0.534 ,0.489  ,12.7   ,28.6   ,0.219    ,0.472     ,11.2      ,71.4   ,0.208       ,0.537
5843 ,Michael Jordan       ,32 ,CHI,82,82,0.9858   ,1       ,37.7,11.2,22.6,0.4956,1.4,3.2 ,0.4375,9.8 ,19.4,0.5052,0.5265,6.7,8   ,0.8375,1.8,4.8 ,6.6 ,4.3 ,2.2,0.5,2.4,2.4,30.4,1996,30.7  ,69  ,13  ,68   ,14   ,10.8  ,-0.11 ,10.7  ,114.4  ,102.4  ,12     ,90     ,0.267 ,0.203  ,0.547 ,0.511  ,12.5   ,35.9   ,0.199    ,0.471     ,14.8      ,69.3   ,0.196       ,0.841
13625,Kevin Durant         ,25 ,OKC,81,81,0.9856   ,1       ,38.5,10.5,20.8,0.5048,2.4,6.1 ,0.3934,8.1 ,14.8,0.5473,0.5625,8.7,9.9 ,0.8788,0.7,6.7 ,7.4 ,5.5 ,1.3,0.7,3.5,2.1,32  ,2014,25.4  ,45  ,37  ,47   ,35   ,2.18  ,0.28  ,2.47  ,107.8  ,105.5  ,2.3    ,95.7   ,0.284 ,0.262  ,0.532 ,0.492  ,13.1   ,28.9   ,0.214    ,0.489     ,12.4      ,75.6   ,0.213       ,0.549
1923 ,Larry Bird           ,29 ,BOS,82,81,0.9808   ,1       ,38  ,9.7 ,19.6,0.4949,1  ,2.4 ,0.4167,8.7 ,17.2,0.5058,0.5204,5.4,6   ,0.9   ,2.3,7.5 ,9.8 ,6.8 ,2  ,0.6,3.2,2.2,25.8,1986,29.4  ,59  ,23  ,57   ,25   ,6.65  ,-0.08 ,6.57  ,113.5  ,106.8  ,6.7    ,98.6   ,0.305 ,0.08   ,0.577 ,0.532  ,14     ,29     ,0.247    ,0.471     ,12        ,67.6   ,0.217       ,0.72
12117,LeBron James         ,25 ,CLE,76,76,0.9797   ,1       ,39  ,10.1,20.1,0.5025,1.7,5.1 ,0.3333,8.4 ,15  ,0.56  ,0.5448,7.8,10.2,0.7647,0.9,6.4 ,7.3 ,8.6 ,1.6,1  ,3.4,1.6,29.7,2010,26.6  ,19  ,63  ,18   ,64   ,-9.01 ,0.14  ,-8.88 ,102.2  ,111.8  ,-9.6   ,93     ,0.312 ,0.224  ,0.518 ,0.472  ,13.4   ,24.2   ,0.233    ,0.524     ,12.7      ,73.3   ,0.211       ,0.232
12364,Derrick Rose         ,22 ,CHI,81,81,0.9769   ,1       ,37.4,8.8 ,19.7,0.4467,1.6,4.8 ,0.3333,7.2 ,15  ,0.48  ,0.4873,5.9,6.9 ,0.8551,1  ,3.1 ,4.1 ,7.7 ,1  ,0.6,3.4,1.7,25  ,2011,27.1  ,50  ,16  ,51   ,15   ,8.18  ,-0.76 ,7.43  ,107.4  ,98.3   ,9.1    ,89.1   ,0.255 ,0.205  ,0.523 ,0.49   ,13.2   ,32.6   ,0.184    ,0.45      ,12.8      ,74.3   ,0.175       ,0.758
11463,LeBron James         ,24 ,CLE,81,81,0.9686   ,1       ,37.7,9.7 ,19.9,0.4874,1.6,4.7 ,0.3404,8.1 ,15.2,0.5329,0.5276,7.3,9.4 ,0.7766,1.3,6.3 ,7.6 ,7.2 ,1.7,1.1,3  ,1.7,28.4,2009,28    ,61  ,21  ,59   ,23   ,6.52  ,-0.36 ,6.17  ,111.2  ,104.1  ,7.1    ,91.4   ,0.341 ,0.248  ,0.57  ,0.532  ,13.4   ,25.1   ,0.246    ,0.482     ,12.3      ,77.2   ,0.218       ,0.744
15526,James Harden         ,28 ,HOU,72,72,0.9554   ,1       ,35.4,9   ,20.1,0.4478,3.7,10  ,0.37  ,5.4 ,10.1,0.5347,0.5448,8.7,10.1,0.8614,0.6,4.8 ,5.4 ,8.8 ,1.8,0.7,4.4,2.3,30.4,2018,29.2  ,53  ,29  ,53   ,29   ,4.77  ,0.19  ,4.96  ,115.5  ,110.7  ,4.8    ,97.9   ,0.279 ,0.519  ,0.581 ,0.542  ,12     ,22.8   ,0.221    ,0.525     ,13.4      ,74.4   ,0.21        ,0.646
4068 ,Michael Jordan       ,28 ,CHI,80,80,0.9375   ,1       ,38.8,11.8,22.7,0.5198,0.3,1.3 ,0.2308,11.5,21.5,0.5349,0.5264,6.1,7.4 ,0.8243,1.1,5.3 ,6.4 ,6.1 ,2.3,0.9,2.5,2.5,30.1,1992,28.1  ,57  ,25  ,58   ,24   ,6.29  ,-0.1  ,6.19  ,112.9  ,106.1  ,6.8    ,92.5   ,0.271 ,0.093  ,0.535 ,0.499  ,12     ,36.3   ,0.199    ,0.493     ,15.4      ,68.7   ,0.239       ,0.695
6465 ,Michael Jordan       ,34 ,CHI,82,82,0.9345   ,1       ,38.8,10.7,23.1,0.4632,0.4,1.5 ,0.2667,10.4,21.5,0.4837,0.4762,6.9,8.8 ,0.7841,1.6,4.2 ,5.8 ,3.5 ,1.7,0.5,2.3,1.8,28.7,1998,28.6  ,13  ,37  ,9    ,41   ,-9.46 ,0.88  ,-8.58 ,92.4   ,103    ,-10.6  ,88.1   ,0.309 ,0.159  ,0.47  ,0.424  ,15.1   ,26.8   ,0.219    ,0.483     ,15.3      ,71.7   ,0.241       ,0.26
3717 ,Michael Jordan       ,27 ,CHI,82,82,0.9281   ,1       ,37  ,12.1,22.4,0.5402,0.4,1.1 ,0.3636,11.7,21.3,0.5493,0.5491,7  ,8.2 ,0.8537,1.4,4.6 ,6   ,5.5 ,2.7,1  ,2.5,2.8,31.5,1991,27.6  ,67  ,15  ,66   ,16   ,10.44 ,-0.37 ,10.07 ,115.5  ,104.5  ,11     ,94.4   ,0.297 ,0.063  ,0.556 ,0.518  ,11.8   ,35.1   ,0.221    ,0.476     ,14.1      ,69.3   ,0.219       ,0.817
14270,Stephen Curry        ,26 ,GSW,80,80,0.9215   ,1       ,32.7,8.2 ,16.8,0.4881,3.6,8.1 ,0.4444,4.6 ,8.7 ,0.5287,0.5952,3.9,4.2 ,0.9286,0.7,3.6 ,4.3 ,7.7 ,2  ,0.2,3.1,2  ,23.8,2015,27.4  ,73  ,9   ,65   ,17   ,10.76 ,-0.38 ,10.38 ,114.5  ,103.8  ,10.7   ,99.3   ,0.25  ,0.362  ,0.593 ,0.563  ,13.5   ,23.5   ,0.191    ,0.479     ,12.6      ,76     ,0.208       ,0.89
7821 ,Allen Iverson        ,25 ,PHI,71,71,0.904    ,1       ,42  ,10.7,25.5,0.4196,1.4,4.3 ,0.3256,9.4 ,21.2,0.4434,0.451 ,8.2,10.1,0.8119,0.7,3.1 ,3.8 ,4.6 ,2.5,0.3,3.3,2.1,31.1,2001,29    ,43  ,39  ,46   ,36   ,1.6   ,-0.33 ,1.27  ,102.1  ,100.3  ,1.8    ,88.9   ,0.327 ,0.111  ,0.507 ,0.452  ,14.6   ,31.7   ,0.255    ,0.46      ,14.2      ,72.1   ,0.208       ,0.524
13046,LeBron James         ,27 ,MIA,62,62,0.8876   ,1       ,37.5,10  ,18.9,0.5291,0.9,2.4 ,0.375 ,9.1 ,16.5,0.5515,0.5529,6.2,8.1 ,0.7654,1.5,6.4 ,7.9 ,6.2 ,1.9,0.8,3.4,1.5,27.1,2012,30.3  ,66  ,16  ,62   ,20   ,7.87  ,-0.84 ,7.03  ,112.3  ,103.7  ,8.6    ,90.7   ,0.297 ,0.285  ,0.588 ,0.552  ,13.7   ,22.2   ,0.224    ,0.487     ,14.8      ,73     ,0.2         ,0.805
10836,Dirk Nowitzki        ,28 ,DAL,78,78,0.8822   ,1       ,36.2,8.6 ,17.2,0.5   ,0.9,2.2 ,0.4091,7.7 ,15  ,0.5133,0.5262,6.4,7.1 ,0.9014,1.6,7.3 ,8.9 ,3.4 ,0.7,0.8,2.1,2.2,24.6,2007,28.9  ,51  ,31  ,54   ,28   ,4.54  ,0.16  ,4.7   ,111.1  ,106.1  ,5      ,90.2   ,0.318 ,0.215  ,0.554 ,0.502  ,12.3   ,26.7   ,0.259    ,0.474     ,11.7      ,75     ,0.252       ,0.622
5122 ,Hakeem Olajuwon      ,31 ,HOU,80,80,0.8802   ,1       ,41  ,11.2,21.2,0.5283,0.1,0.2 ,0.5   ,11.1,20.9,0.5311,0.5307,4.9,6.8 ,0.7206,2.9,9.1 ,11.9,3.6 ,1.6,3.7,3.4,3.6,27.3,1994,28.5  ,47  ,35  ,47   ,35   ,2.12  ,0.2   ,2.32  ,109.7  ,107.4  ,2.3    ,94.2   ,0.31  ,0.267  ,0.568 ,0.529  ,15     ,26.9   ,0.232    ,0.489     ,13.9      ,67.7   ,0.199       ,0.573
15227,Russell Westbrook    ,28 ,OKC,81,81,0.8792   ,1       ,34.6,10.2,24  ,0.425 ,2.5,7.2 ,0.3472,7.7 ,16.8,0.4583,0.4771,8.8,10.4,0.8462,1.7,9   ,10.7,10.4,1.6,0.4,5.4,2.3,31.6,2017,27.3  ,48  ,34  ,50   ,32   ,3.41  ,0     ,3.42  ,110.7  ,107.2  ,3.5    ,96.7   ,0.275 ,0.345  ,0.546 ,0.514  ,12.4   ,27.7   ,0.197    ,0.525     ,14.7      ,77.4   ,0.193       ,0.585
11093,Kobe Bryant          ,29 ,LAL,82,82,0.873    ,1       ,38.9,9.5 ,20.6,0.4612,1.8,5.1 ,0.3529,7.6 ,15.5,0.4903,0.5   ,7.6,9   ,0.8444,1.1,5.2 ,6.3 ,5.4 ,1.8,0.5,3.1,2.8,28.3,2008,27.4  ,65  ,17  ,61   ,21   ,7.66  ,-0.55 ,7.11  ,112.8  ,104.7  ,8.1    ,94.3   ,0.299 ,0.217  ,0.555 ,0.513  ,12.3   ,29.4   ,0.23     ,0.49      ,14.2      ,73     ,0.213       ,0.793
5381 ,David Robinson       ,29 ,SAS,81,81,0.8581   ,1       ,38  ,9.7 ,18.4,0.5272,0.1,0.2 ,0.5   ,9.7 ,18.1,0.5359,0.5353,8.1,10.5,0.7714,2.9,7.9 ,10.8,2.9 ,1.7,3.2,2.9,2.8,27.6,1995,29.4  ,59  ,23  ,58   ,24   ,6.3   ,-0.33 ,5.98  ,110.2  ,103.5  ,6.7    ,93.3   ,0.342 ,0.2    ,0.558 ,0.516  ,13.6   ,27.5   ,0.252    ,0.472     ,13.9      ,70     ,0.216       ,0.72
6328 ,Karl Malone          ,33 ,UTA,82,82,0.8574   ,1       ,36.6,10.5,19.2,0.5469,0  ,0.2 ,0     ,10.5,19  ,0.5526,0.5469,6.4,8.4 ,0.7619,2.4,7.5 ,9.9 ,4.5 ,1.4,0.6,2.8,2.6,27.4,1997,29.7  ,62  ,20  ,59   ,23   ,6.54  ,-0.81 ,5.73  ,112.7  ,105.4  ,7.3    ,89.2   ,0.433 ,0.11   ,0.569 ,0.51   ,14.8   ,32.3   ,0.334    ,0.471     ,13.5      ,71     ,0.271       ,0.756
4701 ,Charles Barkley      ,29 ,PHO,76,76,0.852    ,1       ,37.6,9.4 ,18.1,0.5193,0.9,2.9 ,0.3103,8.5 ,15.2,0.5592,0.5442,5.9,7.7 ,0.7662,3.1,9.1 ,12.2,5.1 ,1.6,1  ,3.1,2.6,25.6,1993,28.7  ,56  ,26  ,54   ,28   ,4.84  ,-0.17 ,4.68  ,111.7  ,106.8  ,4.9    ,96.7   ,0.325 ,0.147  ,0.548 ,0.509  ,13.9   ,35.2   ,0.236    ,0.493     ,13.5      ,69.3   ,0.202       ,0.683
9850 ,Steve Nash           ,30 ,PHO,75,75,0.8394   ,1       ,34.3,5.7 ,11.4,0.5   ,1.3,2.9 ,0.4483,4.5 ,8.5 ,0.5294,0.5658,2.8,3.2 ,0.875 ,0.8,2.6 ,3.3 ,11.5,1  ,0.1,3.3,1.8,15.5,2005,27.5  ,54  ,28  ,55   ,27   ,5.55  ,-0.07 ,5.48  ,111.5  ,105.8  ,5.7    ,95.8   ,0.206 ,0.293  ,0.568 ,0.537  ,12.2   ,22.1   ,0.166    ,0.49      ,13.2      ,72.1   ,0.2         ,0.659
6303 ,Michael Jordan       ,33 ,CHI,82,82,0.8322   ,2       ,37.9,11.2,23.1,0.4848,1.4,3.6 ,0.3889,9.9 ,19.5,0.5077,0.5195,5.9,7   ,0.8429,1.4,4.5 ,5.9 ,4.3 ,1.7,0.5,2  ,1.9,29.6,1997,31.7  ,62  ,20  ,61   ,21   ,7.11  ,0.13  ,7.24  ,107.7  ,99.8   ,7.9    ,89     ,0.295 ,0.141  ,0.516 ,0.473  ,13.3   ,35.7   ,0.219    ,0.457     ,14.7      ,70.6   ,0.22        ,0.756
2768 ,Michael Jordan       ,24 ,CHI,82,82,0.8313   ,1       ,40.4,13  ,24.4,0.5328,0.1,0.6 ,0.1667,13  ,23.7,0.5485,0.5389,8.8,10.5,0.8381,1.7,3.8 ,5.5 ,5.9 ,3.2,1.6,3.1,3.3,35  ,1988,26.4  ,47  ,35  ,45   ,37   ,1.44  ,0.69  ,2.13  ,109.1  ,107.7  ,1.4    ,97     ,0.302 ,0.076  ,0.553 ,0.507  ,14.4   ,30.7   ,0.238    ,0.487     ,13.5      ,69.5   ,0.239       ,0.573
9912 ,Shaquille O'Neal     ,32 ,MIA,73,73,0.8126   ,2       ,34.1,9   ,15  ,0.6   ,0  ,0   ,0     ,9   ,15  ,0.6   ,0.6   ,4.8,10.5,0.4571,3.5,6.9 ,10.4,2.7 ,0.5,2.3,2.8,3.6,22.9,2005,29.2  ,52  ,30  ,52   ,30   ,3.87  ,-0.27 ,3.59  ,108.7  ,104.5  ,4.2    ,91.6   ,0.363 ,0.227  ,0.556 ,0.517  ,13.9   ,26.7   ,0.254    ,0.477     ,12.4      ,76.4   ,0.251       ,0.634
9004 ,Tim Duncan           ,26 ,SAS,81,81,0.8084   ,1       ,39.3,8.8 ,17.2,0.5116,0.1,0.3 ,0.3333,8.7 ,16.9,0.5148,0.5145,5.6,7.8 ,0.7179,3.2,9.7 ,12.9,3.9 ,0.7,2.9,3.1,2.9,23.3,2003,27.3  ,57  ,25  ,62   ,20   ,7.22  ,0.29  ,7.51  ,102.2  ,94.1   ,8.1    ,89.2   ,0.322 ,0.177  ,0.511 ,0.473  ,14.1   ,29.5   ,0.219    ,0.433     ,14.8      ,74.6   ,0.215       ,0.695
10829,Steve Nash           ,32 ,PHO,76,76,0.7853   ,2       ,35.3,6.8 ,12.8,0.5312,2.1,4.5 ,0.4667,4.8 ,8.3 ,0.5783,0.6211,2.9,3.3 ,0.8788,0.4,3.1 ,3.5 ,11.6,0.8,0.1,3.8,1.5,18.6,2007,29.3  ,55  ,27  ,54   ,28   ,5.05  ,0.09  ,5.14  ,113.3  ,108.1  ,5.2    ,96.7   ,0.292 ,0.26   ,0.59  ,0.551  ,13.4   ,22.4   ,0.228    ,0.488     ,11.8      ,70.9   ,0.191       ,0.671
3125 ,Magic Johnson        ,29 ,LAL,77,77,0.7818   ,1       ,37.5,7.5 ,14.8,0.5068,0.8,2.4 ,0.3333,6.8 ,12.3,0.5528,0.5405,6.7,7.3 ,0.9178,1.4,6.4 ,7.9 ,12.8,1.8,0.3,4.1,2.2,22.5,1989,28.9  ,63  ,19  ,58   ,24   ,6.78  ,-0.04 ,6.74  ,114    ,107    ,7      ,96.3   ,0.345 ,0.12   ,0.562 ,0.512  ,13.2   ,32.8   ,0.271    ,0.479     ,12.8      ,68.5   ,0.219       ,0.768
8321 ,Tim Duncan           ,25 ,SAS,82,82,0.7571   ,1       ,40.6,9.3 ,18.3,0.5082,0  ,0.1 ,0     ,9.3 ,18.2,0.511 ,0.5082,6.8,8.5 ,0.8   ,3.3,9.4 ,12.7,3.7 ,0.7,2.5,3.2,2.6,25.5,2002,28.4  ,60  ,22  ,57   ,25   ,5.41  ,0.23  ,5.65  ,105.6  ,99.7   ,5.9    ,90     ,0.348 ,0.202  ,0.541 ,0.497  ,15.1   ,28.8   ,0.253    ,0.453     ,14.2      ,71.3   ,0.199       ,0.732
15432,James Harden         ,27 ,HOU,81,81,0.7455   ,2       ,36.4,8.3 ,18.9,0.4392,3.2,9.3 ,0.3441,5.1 ,9.6 ,0.5312,0.5238,9.2,10.9,0.844 ,1.2,7   ,8.1 ,11.2,1.5,0.5,5.7,2.7,29.1,2017,29.8  ,65  ,17  ,61   ,21   ,8.48  ,-0.27 ,8.21  ,114.7  ,106.1  ,8.6    ,97.6   ,0.298 ,0.502  ,0.59  ,0.551  ,12.7   ,21.3   ,0.233    ,0.521     ,13.4      ,79.9   ,0.171       ,0.793
10064,Steve Nash           ,31 ,PHO,79,79,0.7392   ,1       ,35.4,6.8 ,13.4,0.5075,1.9,4.3 ,0.4419,4.9 ,9   ,0.5444,0.5784,3.3,3.5 ,0.9429,0.6,3.6 ,4.2 ,10.5,0.8,0.2,3.5,1.5,18.8,2006,27.6  ,61  ,21  ,59   ,23   ,7.3   ,-0.03 ,7.28  ,113.9  ,106.4  ,7.5    ,95.6   ,0.267 ,0.287  ,0.59  ,0.551  ,13.4   ,22.7   ,0.215    ,0.492     ,13.6      ,71.9   ,0.206       ,0.744
12987,Kevin Durant         ,23 ,OKC,66,66,0.7347   ,2       ,38.6,9.7 ,19.7,0.4924,2  ,5.2 ,0.3846,7.7 ,14.4,0.5347,0.5431,6.5,7.6 ,0.8553,0.6,7.4 ,8   ,3.5 ,1.3,1.2,3.8,2  ,28  ,2012,26    ,60  ,22  ,64   ,18   ,9.21  ,-0.06 ,9.15  ,112.4  ,102.6  ,9.8    ,93.3   ,0.338 ,0.244  ,0.58  ,0.527  ,14.4   ,26.7   ,0.28     ,0.469     ,13.5      ,73.4   ,0.197       ,0.732
8917 ,Kevin Garnett        ,26 ,MIN,82,82,0.7319   ,2       ,40.5,9.1 ,18.1,0.5028,0.2,0.9 ,0.2222,8.8 ,17.2,0.5116,0.5028,4.6,6.1 ,0.7541,3  ,10.5,13.4,6   ,1.4,1.6,2.8,2.4,23  ,2003,29.7  ,58  ,24  ,57   ,25   ,5.49  ,0.37  ,5.86  ,105.9  ,99.7   ,6.2    ,89     ,0.265 ,0.137  ,0.528 ,0.486  ,12.4   ,26.7   ,0.207    ,0.444     ,12.9      ,72.5   ,0.215       ,0.707
15653,LeBron James         ,33 ,CLE,82,82,0.7307   ,2       ,36.9,10.5,19.3,0.544 ,1.8,5   ,0.36  ,8.6 ,14.3,0.6014,0.5855,4.7,6.5 ,0.7231,1.2,7.5 ,8.6 ,9.1 ,1.4,0.9,4.2,1.7,27.5,2018,25.2  ,19  ,63  ,19   ,63   ,-9.61 ,0.22  ,-9.39 ,107.7  ,117.6  ,-9.9   ,96.6   ,0.236 ,0.332  ,0.54  ,0.503  ,12.2   ,23.7   ,0.187    ,0.564     ,11.5      ,77     ,0.181       ,0.232
6775 ,Karl Malone          ,34 ,UTA,81,81,0.7259   ,2       ,37.4,9.6 ,18.2,0.5275,0  ,0.1 ,0     ,9.6 ,18.1,0.5304,0.5275,7.8,10.2,0.7647,2.3,8   ,10.3,3.9 ,1.2,0.9,3  ,2.9,27  ,1998,30.3  ,37  ,13  ,37   ,13   ,6.52  ,-0.99 ,5.54  ,105.8  ,98.4   ,7.4    ,87     ,0.417 ,0.107  ,0.545 ,0.485  ,16     ,30     ,0.32     ,0.441     ,14.4      ,70.4   ,0.242       ,0.74
5016 ,David Robinson       ,28 ,SAS,80,80,0.7228   ,2       ,40.5,10.5,20.7,0.5072,0.1,0.4 ,0.25  ,10.4,20.4,0.5098,0.5097,8.7,11.6,0.75  ,3  ,7.7 ,10.7,4.8 ,1.7,3.3,3.2,2.9,29.8,1994,29    ,62  ,20  ,57   ,25   ,5.96  ,-0.06 ,5.9   ,111.7  ,105.4  ,6.3    ,94.6   ,0.372 ,0.173  ,0.562 ,0.516  ,13.8   ,30.9   ,0.275    ,0.485     ,13        ,72.3   ,0.214       ,0.756
14169,James Harden         ,25 ,HOU,81,81,0.72     ,2       ,36.8,8   ,18.1,0.442 ,2.6,6.9 ,0.3768,5.4 ,11.3,0.4779,0.5138,8.8,10.2,0.8627,0.9,4.7 ,5.7 ,7   ,1.9,0.7,4  ,2.6,27.4,2015,27.8  ,41  ,41  ,42   ,40   ,0.2   ,0.14  ,0.34  ,108.3  ,108.1  ,0.2    ,97.6   ,0.352 ,0.37   ,0.553 ,0.516  ,14.2   ,25.7   ,0.244    ,0.516     ,14.7      ,72.8   ,0.219       ,0.5
13659,LeBron James         ,29 ,MIA,77,77,0.7128   ,2       ,37.7,10  ,17.6,0.5682,1.5,4   ,0.375 ,8.5 ,13.6,0.625 ,0.6108,5.7,7.6 ,0.75  ,1.1,5.9 ,6.9 ,6.3 ,1.6,0.3,3.5,1.6,27.1,2014,28.5  ,37  ,45  ,33   ,49   ,-2.6  ,-0.32 ,-2.92 ,103.9  ,106.7  ,-2.8   ,90.9   ,0.306 ,0.262  ,0.54  ,0.5    ,14.5   ,23.2   ,0.227    ,0.505     ,14.2      ,73.4   ,0.213       ,0.451
8359 ,Jason Kidd           ,28 ,NJN,82,82,0.7119   ,2       ,37.3,5.4 ,13.9,0.3885,1.4,4.4 ,0.3182,4   ,9.4 ,0.4255,0.4388,2.5,3   ,0.8333,1.6,5.7 ,7.3 ,9.9 ,2.1,0.2,3.5,1.7,14.7,2002,27.3  ,49  ,33  ,56   ,26   ,5.22  ,-0.8  ,4.42  ,103.8  ,98.1   ,5.7    ,91.6   ,0.333 ,0.158  ,0.518 ,0.468  ,13.8   ,28.7   ,0.252    ,0.46      ,15.7      ,73.1   ,0.225       ,0.598
10897,Chris Paul           ,22 ,NOH,80,80,0.7095   ,2       ,37.6,7.9 ,16.1,0.4907,1.2,3.1 ,0.3871,6.7 ,13  ,0.5154,0.528 ,4.2,4.9 ,0.8571,0.8,3.2 ,4   ,11.6,2.7,0.1,2.5,2.3,21.1,2008,28.2  ,49  ,33  ,46   ,36   ,1.55  ,-0.14 ,1.41  ,108.7  ,107    ,1.7    ,87.8   ,0.288 ,0.24   ,0.548 ,0.501  ,12.5   ,24.6   ,0.232    ,0.496     ,13.2      ,74.9   ,0.23        ,0.598
3128 ,Michael Jordan       ,25 ,CHI,81,81,0.7045   ,2       ,40.2,11.9,22.2,0.536 ,0.3,1.2 ,0.25  ,11.6,21  ,0.5524,0.5428,8.3,9.8 ,0.8469,1.8,6.2 ,8   ,8   ,2.9,0.8,3.6,3  ,32.5,1989,26.1  ,55  ,27  ,50   ,32   ,3.26  ,-0.51 ,2.74  ,112.3  ,109    ,3.3    ,96.7   ,0.302 ,0.094  ,0.559 ,0.516  ,13.4   ,31.9   ,0.235    ,0.508     ,15.2      ,68.1   ,0.262       ,0.671
7209 ,Karl Malone          ,35 ,UTA,49,49,0.7008   ,1       ,37.4,8   ,16.3,0.4908,0  ,0   ,0     ,8   ,16.2,0.4938,0.4908,7.7,9.8 ,0.7857,2.2,7.3 ,9.4 ,4.1 ,1.3,0.6,3.3,2.7,23.8,1999,31.5  ,55  ,27  ,54   ,28   ,4.46  ,0.05  ,4.52  ,107.3  ,102.3  ,5      ,89.6   ,0.337 ,0.134  ,0.54  ,0.49   ,14.3   ,29.5   ,0.26     ,0.477     ,15        ,73.2   ,0.256       ,0.671
3255 ,Magic Johnson        ,30 ,LAL,79,79,0.6913   ,1       ,37.2,6.9 ,14.4,0.4792,1.3,3.5 ,0.3714,5.6 ,10.9,0.5138,0.5243,7.2,8.1 ,0.8889,1.6,5   ,6.6 ,11.5,1.7,0.4,3.7,2.1,22.3,1990,28.4  ,58  ,24  ,59   ,23   ,6.74  ,-0.01 ,6.73  ,112.1  ,105    ,7.1    ,94.1   ,0.327 ,0.108  ,0.551 ,0.5    ,13.2   ,33     ,0.261    ,0.474     ,12.8      ,68.3   ,0.176       ,0.707
3468 ,Charles Barkley      ,26 ,PHI,79,79,0.6674   ,2       ,39.1,8.9 ,14.9,0.5973,0.3,1.2 ,0.25  ,8.7 ,13.7,0.635 ,0.6141,7.1,9.4 ,0.7553,4.6,6.9 ,11.5,3.9 ,1.9,0.6,3.1,3.2,25.2,1990,28.4  ,44  ,38  ,41   ,41   ,-0.18 ,-0.21 ,-0.39 ,107.9  ,108.1  ,-0.2   ,95.7   ,0.342 ,0.089  ,0.542 ,0.489  ,13.4   ,28.1   ,0.27     ,0.489     ,12.5      ,68.3   ,0.187       ,0.537
4589 ,Hakeem Olajuwon      ,30 ,HOU,82,82,0.6602   ,2       ,39.5,10.3,19.5,0.5282,0  ,0.1 ,0     ,10.3,19.5,0.5282,0.5282,5.4,7   ,0.7714,3.5,9.6 ,13  ,3.5 ,1.8,4.2,3.2,3.7,26.1,1993,28.1  ,58  ,24  ,53   ,29   ,4.32  ,-0.12 ,4.19  ,105.9  ,101.4  ,4.5    ,95     ,0.294 ,0.191  ,0.545 ,0.507  ,15     ,27.6   ,0.218    ,0.458     ,13.3      ,69.7   ,0.192       ,0.707
