,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
22,Joe Barry Carroll,C,32,PHO,2,0,7.5,2.0,4.0,.500,0.0,0.0,0,2.0,4.0,.500,.500,0.0,0.5,.000,0.0,0.5,0.5,1.0,0.0,0.5,0.5,0.0,4.0,13.8,.474,.000,.125,0.0,8.3,3.9,30.2,0.0,4.3,10.6,27.4,0.0,0.0,0.0,-0.066,0.5,0.8,1.3,0.0,1991
23,Bill Cartwright,C,33,CHI,17,17,30.1,4.1,7.9,.519,0.0,0.0,0,4.1,7.9,.519,.519,1.3,1.9,.688,1.5,3.2,4.7,1.9,0.5,0.4,1.2,3.2,9.5,11.1,.543,.000,.237,6.4,13.2,9.9,8.8,1.0,1.0,12.3,15.5,0.4,0.8,1.2,.110,-1.1,-0.1,-1.2,0.1,1991
24,Cedric Ceballos,SF,21,PHO,3,0,8.0,2.3,4.0,.583,0.0,0.0,0,2.3,4.0,.583,.583,0.7,2.0,.333,1.0,0.7,1.7,0.7,0.7,0.0,0.3,0.0,5.3,25.6,.546,.000,.500,13.5,10.4,12.0,20.0,4.2,0.0,6.4,28.3,0.0,0.0,0.1,.108,8.4,1.2,9.6,0.1,1991
25,Tom Chambers,PF,31,PHO,4,4,35.5,6.8,16.5,.409,0.0,1.3,.000,6.8,15.3,.443,.409,3.5,4.8,.737,0.5,5.3,5.8,2.5,1.8,1.3,3.0,3.0,17.0,11.2,.457,.076,.288,1.5,18.4,9.4,13.6,2.5,2.3,13.9,26.4,-0.4,0.2,-0.2,-0.053,-1.5,0.8,-0.7,0.0,1991
26,Maurice Cheeks*,PG,34,NYK,3,3,33.7,4.7,7.7,.609,0.3,1.0,.333,4.3,6.7,.650,.630,0.3,0.7,.500,1.0,2.0,3.0,5.3,1.0,0.3,2.7,3.0,10.0,11.8,.628,.130,.087,3.8,7.4,5.6,29.6,1.6,0.6,25.1,14.4,0.1,0.0,0.1,.042,0.5,1.3,1.9,0.1,1991
27,Lester Conner,PG,31,MIL,1,0,7.0,1.0,1.0,1.000,0.0,0.0,0,1.0,1.0,1.000,1.000,0.0,1.0,.000,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,12.9,.694,.000,1.000,16.5,0.0,8.9,43.1,0.0,0.0,41.0,15.5,0.0,0.0,0.0,.016,2.6,-2.9,-0.3,0.0,1991
28,Wayne Cooper,C,34,POR,3,0,4.3,0.3,0.7,.500,0.0,0.0,0,0.3,0.7,.500,.500,0.0,0.0,0,0.3,1.3,1.7,0.3,0.0,0.0,0.3,0.7,0.7,6.6,.500,.000,.000,8.8,37.7,22.8,10.5,0.0,0.0,33.3,9.9,0.0,0.0,0.0,.030,-3.9,1.3,-2.6,0.0,1991
29,Dave Corzine,C,34,SEA,2,0,6.0,1.0,1.5,.667,0.0,0.0,0,1.0,1.5,.667,.667,0.5,0.5,1.000,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,2.5,13.5,.727,.000,.333,0.0,10.1,5.0,0.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,.168,1.3,-1.5,-0.2,0.0,1991
30,Terry Cummings,PF,29,SAS,4,4,31.0,6.3,12.3,.510,0.0,0.3,.000,6.3,12.0,.521,.510,2.3,4.5,.500,3.5,5.8,9.3,1.0,0.8,0.5,2.3,3.3,14.8,13.6,.518,.020,.367,13.2,22.4,17.7,5.0,1.1,1.1,13.7,22.1,0.0,0.1,0.1,.031,-0.6,-1.1,-1.7,0.0,1991
31,Adrian Dantley*,SF,35,MIL,3,0,6.3,0.3,2.3,.143,0.0,0.0,0,0.3,2.3,.143,.143,1.0,1.3,.750,0.7,0.7,1.3,0.0,0.0,0.0,0.7,0.0,1.7,-1.4,.285,.000,.571,12.2,14.4,13.2,0.0,0.0,0.0,18.6,25.2,-0.1,0.0,-0.1,-0.272,-7.2,-6.4,-13.6,-0.1,1991
