,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
0,Kareem Abdul-Jabbar*,C,37,LAL,19,19,32.1,8.8,15.8,.560,0.0,0.0,0,8.8,15.8,.560,.560,4.2,5.4,.777,2.6,5.5,8.1,4.0,1.2,1.9,2.7,3.5,21.9,22.1,.602,.000,.343,9.8,17.1,13.8,16.2,1.7,3.1,13.1,25.2,1.5,1.0,2.5,.194,3.8,1.6,5.4,1.2,1985
1,Alvan Adams,PF,30,PHO,3,3,26.3,7.7,15.3,.500,0.0,0.0,0,7.7,15.3,.500,.500,1.7,2.0,.833,1.3,4.3,5.7,3.7,2.3,0.3,2.0,2.7,17.0,19.4,.524,.000,.130,5.8,21.0,13.0,21.3,3.9,0.7,11.0,26.6,0.0,0.0,0.0,.027,1.8,0.3,2.1,0.1,1985
2,Mark Aguirre,SF,25,DAL,4,4,41.0,11.0,22.3,.494,0.3,0.5,.500,10.8,21.8,.494,.500,6.8,8.0,.844,4.0,3.5,7.5,4.0,0.8,0.0,3.8,4.0,29.0,20.2,.563,.022,.360,10.5,10.0,10.3,17.5,0.9,0.0,12.7,30.2,0.3,0.0,0.3,.093,3.9,-2.4,1.5,0.1,1985
3,Danny Ainge,SG,25,BOS,21,21,32.7,4.6,9.9,.466,0.3,0.8,.438,4.3,9.1,.469,.483,1.4,1.9,.769,1.0,1.8,2.8,5.8,1.5,0.0,1.5,3.6,11.0,12.0,.513,.077,.188,3.3,6.1,4.7,23.2,2.2,0.1,12.4,15.1,0.7,0.7,1.3,.092,-0.4,1.1,0.7,0.5,1985
4,Ron Anderson,SF,26,CLE,2,0,4.5,0.0,1.5,.000,0.0,0.0,0,0.0,1.5,.000,.000,0.0,0.0,0,0.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,-3.4,.000,.000,.000,13.7,26.2,20.1,0.0,0.0,0.0,0.0,13.6,0.0,0.0,0.0,-0.213,-7.0,-5.3,-12.3,0.0,1985
5,John Bagley,PG,24,CLE,4,4,42.0,5.5,14.0,.393,0.0,0.8,.000,5.5,13.3,.415,.393,1.8,2.5,.700,0.3,3.8,4.0,10.0,2.5,0.0,4.3,1.8,12.8,10.2,.422,.054,.179,0.7,10.5,5.7,29.1,2.8,0.0,22.0,18.8,-0.2,0.2,-0.1,-0.024,-1.6,-1.0,-2.5,0.0,1985
6,Thurl Bailey,PF,23,UTA,10,10,37.5,6.2,15.2,.408,0.0,0.0,0,6.2,15.2,.408,.408,4.5,5.5,.818,2.1,7.1,9.2,2.7,0.5,1.8,2.1,3.0,16.9,13.0,.480,.000,.362,5.6,17.6,11.9,10.9,0.6,2.4,10.6,20.8,-0.1,0.6,0.5,.064,-0.9,0.4,-0.5,0.1,1985
7,Greg Ballard,SF,30,WSB,4,0,16.3,2.8,6.0,.458,0.0,0.5,.000,2.8,5.5,.500,.458,2.0,2.3,.889,1.0,2.5,3.5,1.5,0.8,0.0,1.3,1.8,7.5,15.2,.536,.083,.375,6.6,18.5,12.2,13.8,2.3,0.0,15.2,21.3,0.0,0.1,0.1,.105,0.6,1.7,2.3,0.1,1985
8,Gene Banks,SF,25,SAS,1,0,10.0,0.0,1.0,.000,0.0,0.0,0,0.0,1.0,.000,.000,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,-13.9,.000,.000,.000,0.0,0.0,0.0,11.7,0.0,0.0,66.7,12.3,-0.1,0.0,-0.1,-0.341,-14.8,-6.0,-20.8,0.0,1985
9,Charles Barkley*,PF,21,PHI,13,2,31.4,5.8,10.7,.540,0.3,0.5,.667,5.5,10.2,.534,.554,3.1,4.8,.635,4.0,7.1,11.1,2.0,1.8,1.2,2.7,3.8,14.9,19.6,.582,.043,.453,14.4,25.0,19.8,9.4,2.7,2.2,17.4,20.3,0.5,0.9,1.4,.170,2.7,1.7,4.4,0.7,1985
10,Kent Benson,C,30,DET,9,1,15.8,2.8,5.1,.543,0.0,0.0,0,2.8,5.1,.543,.543,1.4,1.7,.867,1.0,3.0,4.0,0.4,0.9,0.2,0.7,3.0,7.0,15.2,.599,.000,.326,6.4,21.0,13.4,3.7,2.6,0.8,10.2,16.1,0.3,0.2,0.4,.139,-0.9,2.1,1.2,0.1,1985
11,Larry Bird*,SF,28,BOS,20,20,40.8,9.8,21.3,.461,0.4,1.3,.280,9.5,20.0,.473,.469,6.1,6.8,.890,2.7,6.5,9.1,5.8,1.7,1.0,2.9,2.7,26.0,20.9,.536,.059,.320,7.3,17.5,12.4,21.3,2.0,1.3,10.5,26.8,1.5,1.1,2.6,.155,5.2,0.8,6.0,1.7,1985
12,Rolando Blackman,SG,25,DAL,4,4,42.3,11.8,23.0,.511,0.3,0.5,.500,11.5,22.5,.511,.516,9.0,9.5,.947,2.8,3.8,6.5,4.8,0.5,0.5,3.5,2.0,32.8,24.3,.602,.022,.413,7.0,10.4,8.6,20.5,0.6,0.7,11.4,30.5,0.6,0.0,0.6,.158,5.8,-1.2,4.6,0.2,1985
13,Sam Bowie,C,23,POR,9,9,28.8,2.9,6.6,.441,0.0,0.0,0,2.9,6.6,.441,.441,1.6,2.8,.560,1.8,6.7,8.4,2.3,0.4,2.3,1.3,4.0,7.3,11.0,.471,.000,.424,6.4,26.1,15.8,9.4,0.7,4.7,14.6,12.3,0.0,0.2,0.2,.039,-2.3,1.3,-1.0,0.1,1985
14,Dudley Bradley,SG,27,WSB,4,0,10.3,1.3,2.3,.556,0.3,1.3,.200,1.0,1.0,1.000,.611,0.8,1.0,.750,0.5,1.0,1.5,1.5,0.5,0.0,1.3,1.3,3.5,11.8,.651,.556,.444,5.2,11.7,8.3,20.4,2.4,0.0,31.7,16.2,0.0,0.1,0.1,.064,-1.1,2.6,1.5,0.0,1985
15,Randy Breuer,C,24,MIL,8,0,13.0,1.9,3.3,.577,0.0,0.0,0,1.9,3.3,.577,.577,1.8,2.6,.667,1.1,1.9,3.0,0.0,0.3,0.3,1.0,1.9,5.5,11.9,.624,.000,.808,10.7,16.5,13.7,0.0,0.9,1.1,18.5,17.2,0.1,0.1,0.2,.084,-1.2,-1.1,-2.2,0.0,1985
16,Ron Brewer,SG,29,NJN,3,0,31.0,5.0,10.0,.500,0.0,0.3,.000,5.0,9.7,.517,.500,2.0,2.7,.750,0.3,1.3,1.7,1.7,1.0,0.0,1.0,2.3,12.0,9.9,.537,.033,.267,1.1,4.5,2.8,6.9,1.5,0.0,8.2,15.8,0.0,0.0,0.0,.024,-1.1,-1.2,-2.3,0.0,1985
17,Wallace Bryant,C,25,DAL,2,1,18.0,0.0,0.5,.000,0.0,0.0,0,0.0,0.5,.000,.000,1.0,1.0,1.000,0.5,3.0,3.5,0.5,0.5,0.5,1.0,2.5,1.0,3.1,.532,.000,2.000,3.0,19.5,10.9,3.4,1.4,1.5,51.5,4.5,0.0,0.0,0.0,-0.018,-3.4,1.1,-2.3,0.0,1985
18,Quinn Buckner,PG,30,BOS,15,0,5.7,0.9,1.5,.591,0.0,0.0,0,0.9,1.5,.591,.591,0.3,0.5,.625,0.1,0.3,0.5,0.8,0.4,0.0,0.4,1.6,2.1,10.3,.607,.000,.364,2.6,6.4,4.5,18.6,3.3,0.0,19.0,14.8,0.1,0.1,0.2,.104,-5.0,3.3,-1.7,0.0,1985
