,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
0,Steven Adams,C,25,OKC,5,5,31.8,5.6,8.4,.667,0.0,0.2,.000,5.6,8.2,.683,.667,0.6,1.6,.375,2.4,4.8,7.2,1.4,1.0,1.0,1.8,2.6,11.8,15.7,.648,.024,.190,8.1,16.6,12.3,7.2,1.5,2.6,16.5,14.6,0.2,0.1,0.3,.103,-0.1,1.9,1.8,0.2,2019
1,LaMarcus Aldridge,C,33,SAS,7,7,34.9,7.9,17.3,.455,0.4,1.6,.273,7.4,15.7,.473,.467,3.9,4.7,.818,2.7,6.9,9.6,2.7,0.7,1.0,1.0,3.0,20.0,21.8,.517,.091,.273,8.4,21.1,14.8,13.1,1.1,2.3,4.9,27.0,0.5,0.2,0.7,.130,2.5,-0.2,2.3,0.3,2019
2,Grayson Allen,SG,23,UTA,2,0,7.0,1.0,3.5,.286,0.0,1.5,.000,1.0,2.0,.500,.286,2.5,3.5,.714,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,4.5,10.5,.446,.429,1.000,0.0,7.8,3.8,0.0,0.0,0.0,0.0,30.6,0.0,0.0,0.0,.003,-1.6,-3.5,-5.1,0.0,2019
3,Jarrett Allen,C,20,BRK,5,5,22.0,3.8,6.4,.594,0.0,0.0,0,3.8,6.4,.594,.594,3.4,4.0,.850,3.0,3.8,6.8,2.2,0.6,0.6,1.6,2.6,11.0,22.5,.674,.000,.625,13.0,19.3,15.9,15.9,1.3,2.0,16.4,18.0,0.4,0.0,0.4,.182,2.0,1.4,3.4,0.2,2019
4,Al-Farouq Aminu,PF,28,POR,16,16,24.9,2.4,6.8,.349,0.9,3.2,.294,1.4,3.6,.397,.417,1.7,2.3,.750,1.8,4.4,6.3,1.3,0.6,0.6,1.0,2.1,7.4,11.0,.473,.468,.330,7.7,18.9,13.3,7.5,1.1,2.1,11.4,15.3,0.1,0.3,0.4,.052,-0.8,-0.1,-0.9,0.1,2019
5,Giannis Antetokounmpo,PF,24,MIL,15,15,34.3,8.6,17.5,.492,1.2,3.7,.327,7.4,13.8,.536,.527,7.1,11.2,.637,2.5,9.8,12.3,4.9,1.1,2.0,3.3,3.2,25.5,26.5,.570,.210,.641,7.5,27.7,17.9,25.1,1.6,5.3,13.0,32.2,1.1,1.3,2.3,.219,5.0,3.3,8.4,1.4,2019
6,D.J. Augustin,PG,31,ORL,5,5,28.2,4.0,8.2,.488,2.0,4.2,.476,2.0,4.0,.500,.610,2.8,3.2,.875,0.2,1.4,1.6,3.8,0.4,0.2,1.4,1.4,12.8,16.7,.666,.512,.390,0.7,5.8,3.1,25.5,0.7,0.7,12.7,17.3,0.4,0.0,0.4,.138,3.2,0.4,3.5,0.2,2019
7,Will Barton,SF,28,DEN,14,3,23.4,3.4,9.6,.348,1.1,3.9,.273,2.3,5.7,.400,.404,1.3,1.9,.692,1.1,3.7,4.8,1.7,0.3,0.6,0.9,1.4,9.1,10.4,.434,.407,.193,4.7,16.9,10.7,11.0,0.6,2.2,8.2,21.6,-0.2,0.2,0.0,-0.002,-1.9,-1.2,-3.1,-0.1,2019
8,Aron Baynes,C,32,BOS,9,5,12.8,0.9,1.6,.571,0.2,0.7,.333,0.7,0.9,.750,.643,0.1,0.2,.500,0.7,2.1,2.8,0.3,0.3,0.3,0.6,2.2,2.1,6.7,.638,.429,.143,5.6,16.1,11.1,3.9,1.3,2.4,25.2,7.6,0.0,0.2,0.2,.100,-4.4,2.1,-2.3,0.0,2019
9,Malik Beasley,SG,22,DEN,14,0,20.1,2.6,6.6,.387,1.4,3.4,.404,1.2,3.3,.370,.489,1.6,2.2,.710,0.8,2.6,3.4,1.0,0.2,0.1,0.5,1.4,8.1,12.1,.530,.505,.333,4.0,14.1,9.0,7.3,0.6,0.3,6.2,18.0,0.3,0.1,0.4,.075,-0.8,-1.1,-1.9,0.0,2019
10,Marco Belinelli,SG,32,SAS,7,0,18.7,2.0,5.4,.368,1.1,3.0,.381,0.9,2.4,.353,.474,0.7,0.9,.833,0.0,1.9,1.9,1.1,0.0,0.3,0.3,1.0,5.9,8.8,.504,.553,.158,0.0,10.6,5.3,8.5,0.0,1.2,4.7,15.1,0.1,0.0,0.1,.026,-1.4,-1.4,-2.8,0.0,2019
