,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
0,Derek Anderson,SF,23,CLE,4,0,25.8,2.5,5.5,.455,0.0,0.0,0,2.5,5.5,.455,.455,5.8,6.5,.885,0.0,2.3,2.3,2.8,1.3,0.3,3.0,2.5,10.8,15.1,.643,.000,1.182,0.0,12.7,6.4,23.2,2.8,0.9,26.4,22.2,0.1,0.1,0.2,.097,0.1,2.6,2.7,0.1,1998
1,Greg Anderson,C,33,ATL,1,0,4.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,2.0,.000,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,-11.0,.000,0,0,0.0,64.9,31.9,0.0,0.0,19.3,53.2,23.6,-0.1,0.0,0.0,-0.531,-23.9,7.0,-16.9,0.0,1998
2,Shandon Anderson,SG,24,UTA,20,0,18.9,2.7,5.2,.515,0.2,0.6,.273,2.5,4.6,.543,.529,1.3,1.9,.676,1.3,1.9,3.2,1.0,0.3,0.1,1.5,1.5,6.7,11.6,.562,.107,.359,8.8,11.2,10.1,9.2,0.7,0.2,20.1,19.4,0.1,0.5,0.5,.065,-0.1,-0.8,-0.9,0.1,1998
3,Greg Anthony,PG,30,SEA,9,0,13.1,1.3,4.4,.300,0.6,2.1,.263,0.8,2.3,.333,.363,0.3,0.9,.375,0.3,0.8,1.1,1.1,0.6,0.1,1.2,1.9,3.6,2.5,.368,.475,.200,3.1,7.0,5.1,13.2,2.4,0.7,20.2,21.9,-0.4,0.0,-0.4,-0.161,-6.8,-3.2,-10.0,-0.2,1998
4,B.J. Armstrong,PG,30,CHH,9,0,16.2,1.8,4.7,.381,0.2,0.6,.400,1.6,4.1,.378,.405,0.3,0.4,.750,0.2,0.9,1.1,2.0,0.7,0.0,0.7,1.2,4.1,9.4,.423,.119,.095,1.7,6.7,4.3,21.2,2.4,0.0,12.1,17.2,-0.1,0.1,0.0,.002,-1.8,0.1,-1.7,0.0,1998
5,Keith Askins,SF,30,MIA,4,0,14.5,0.5,1.8,.286,0.3,1.3,.200,0.3,0.5,.500,.357,0.0,0.0,0,0.3,1.5,1.8,0.3,0.5,0.0,0.3,2.3,1.3,2.1,.357,.714,.000,2.1,12.5,7.4,2.9,1.9,0.0,12.5,6.9,-0.1,0.1,0.0,.011,-4.5,1.1,-3.4,0.0,1998
6,Stacey Augmon,SG,29,POR,4,0,7.0,0.5,1.0,.500,0.0,0.0,0,0.5,1.0,.500,.500,0.3,0.5,.500,0.3,0.5,0.8,0.3,0.5,0.3,0.5,0.5,1.3,8.2,.512,.000,.500,4.1,9.1,6.5,5.3,3.8,3.0,29.1,10.9,0.0,0.0,0.0,-0.025,-2.2,3.2,1.0,0.0,1998
7,Vin Baker,C,26,SEA,10,10,37.1,7.1,13.4,.530,0.0,0.0,0,7.1,13.4,.530,.530,1.6,3.8,.421,4.1,5.3,9.4,1.8,1.8,1.5,2.2,3.8,15.8,19.5,.524,.000,.284,13.5,16.9,15.2,8.8,2.7,3.3,12.7,22.1,0.5,0.2,0.6,.082,1.4,-0.2,1.3,0.3,1998
8,Charles Barkley*,PF,34,HOU,4,0,21.8,3.0,5.8,.522,0.0,0.5,.000,3.0,5.3,.571,.522,3.0,5.3,.571,1.3,4.0,5.3,1.0,1.3,0.0,1.5,3.0,9.0,16.2,.558,.087,.913,6.1,21.6,13.4,9.9,3.1,0.0,15.7,20.8,0.1,0.2,0.2,.120,-0.2,1.2,1.0,0.1,1998
9,Drew Barry,PG,24,ATL,2,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,0,.000,0.0,0.0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,.000,1.000,.000,0.0,25.9,12.8,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,-0.180,-12.5,-2.8,-15.4,0.0,1998
