,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
0,Mahmoud Abdul-Rauf,PG,24,DEN,12,12,28.3,4.8,12.8,.370,1.0,3.1,.324,3.8,9.8,.385,.409,2.4,2.6,.935,0.3,1.3,1.5,2.5,0.4,0.1,1.2,2.4,12.9,11.8,.462,.240,.201,1.1,5.0,3.1,18.0,0.8,0.2,7.7,24.8,0.2,0.1,0.3,.042,-0.8,-1.9,-2.7,-0.1,1994
1,Danny Ainge,SG,34,PHO,10,0,23.0,2.7,5.9,.458,1.7,4.0,.425,1.0,1.9,.526,.602,1.5,2.1,.714,0.7,1.6,2.3,2.1,0.6,0.1,0.5,2.6,8.6,14.7,.630,.678,.356,3.2,8.3,5.6,12.9,1.3,0.3,6.8,13.7,0.7,0.0,0.6,.135,1.9,0.6,2.6,0.3,1994
2,Kenny Anderson,PG,23,NJN,4,4,45.3,4.8,13.5,.352,0.8,2.5,.300,4.0,11.0,.364,.380,5.5,8.3,.667,0.5,2.5,3.0,6.8,2.3,0.0,2.3,2.8,15.8,13.1,.460,.185,.611,1.2,6.0,3.6,34.0,2.7,0.0,11.6,19.4,0.1,0.2,0.3,.075,1.5,0.2,1.7,0.2,1994
3,Nick Anderson,SG,26,ORL,3,3,40.0,4.3,11.3,.382,2.7,6.7,.400,1.7,4.7,.357,.500,3.0,4.0,.750,0.7,2.7,3.3,3.3,1.7,0.7,1.7,2.7,14.3,13.7,.547,.588,.353,2.0,8.2,5.0,14.7,2.3,1.2,11.3,16.3,0.2,0.0,0.3,.111,2.4,0.9,3.3,0.2,1994
4,Willie Anderson,SG,27,SAS,4,4,26.5,3.5,9.3,.378,0.3,0.3,1.000,3.3,9.0,.361,.392,1.0,1.8,.571,0.8,1.3,2.0,3.0,1.3,0.5,1.0,1.8,8.3,11.7,.412,.027,.189,2.9,5.8,4.2,20.0,2.6,1.3,9.1,18.7,0.0,0.0,0.0,.006,-0.8,0.7,-0.1,0.1,1994
5,Greg Anthony,PG,26,NYK,25,3,17.4,1.8,5.1,.352,0.7,2.4,.295,1.1,2.7,.403,.422,0.6,1.0,.583,0.4,0.7,1.1,2.4,0.8,0.3,1.2,2.2,4.9,8.6,.440,.477,.188,2.4,5.1,3.7,23.7,2.4,1.4,18.3,18.0,-0.2,0.6,0.4,.040,-2.1,1.4,-0.7,0.1,1994
6,B.J. Armstrong,PG,26,CHI,10,10,36.0,5.5,10.6,.519,0.7,1.2,.583,4.8,9.4,.511,.552,3.6,4.4,.818,0.2,2.2,2.4,2.5,0.8,0.0,0.9,2.1,15.3,16.7,.610,.113,.415,0.7,7.3,4.1,12.2,1.3,0.0,6.7,17.9,1.1,0.1,1.3,.168,1.9,-0.4,1.5,0.3,1994
7,Vincent Askew,SG,27,SEA,5,0,19.0,2.0,5.6,.357,0.0,0.2,.000,2.0,5.4,.370,.357,3.2,3.8,.842,0.4,0.8,1.2,1.8,0.4,0.0,0.4,2.0,7.2,12.9,.495,.036,.679,2.3,4.9,3.6,17.1,1.1,0.0,5.2,18.7,0.2,0.1,0.3,.127,0.1,-0.3,-0.1,0.0,1994
8,Keith Askins,SF,26,MIA,1,0,6.0,0.0,1.0,.000,0.0,0.0,0,0.0,1.0,.000,.000,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,-17.7,.000,.000,.000,18.0,0.0,9.2,0.0,0.0,0.0,66.7,22.2,-0.1,0.0,-0.1,-0.622,-15.9,-8.0,-23.9,0.0,1994
9,Stacey Augmon,SG,25,ATL,11,11,29.5,4.2,8.1,.517,0.0,0.0,0,4.2,8.1,.517,.517,2.5,3.5,.711,1.2,1.5,2.6,2.5,0.6,0.2,1.4,2.4,10.8,13.4,.563,.000,.427,4.4,5.7,5.1,14.8,1.2,0.5,12.4,17.1,0.5,0.2,0.8,.111,0.0,0.5,0.5,0.2,1994
10,Anthony Avent,PF,24,ORL,2,0,20.0,3.0,6.5,.462,0.0,0.0,0,3.0,6.5,.462,.462,3.5,4.0,.875,4.0,1.5,5.5,0.5,0.0,0.0,0.5,1.0,9.5,21.7,.575,.000,.615,23.6,9.2,16.6,4.8,0.0,0.0,5.7,19.3,0.2,0.0,0.2,.211,5.6,-2.6,3.0,0.1,1994
