,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
0,Arron Afflalo,SG,25,DEN,3,3,28.3,4.0,11.3,.353,1.0,4.0,.250,3.0,7.3,.409,.397,2.3,2.7,.875,0.0,3.0,3.0,2.3,0.0,0.0,1.0,3.3,11.3,7.9,.453,.353,.235,0.0,11.8,5.9,15.3,0.0,0.0,7.4,21.8,-0.1,0.0,-0.1,-0.030,-2.1,-0.6,-2.7,0.0,2011
1,LaMarcus Aldridge,PF,25,POR,6,6,43.0,8.8,19.2,.461,0.0,0.0,0,8.8,19.2,.461,.461,3.2,4.0,.792,2.7,4.8,7.5,1.3,1.3,1.7,1.5,3.2,20.8,19.2,.498,.000,.209,7.9,13.5,10.8,6.4,1.8,3.5,6.7,26.6,0.3,0.1,0.4,.073,1.4,-0.5,1.0,0.2,2011
2,Malik Allen,PF,32,ORL,1,0,7.0,0.0,1.0,.000,0.0,0.0,0,0.0,1.0,.000,.000,1.0,2.0,.500,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,-5.7,.266,.000,2.000,0.0,17.2,8.5,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,-0.047,-12.7,0.0,-12.7,0.0,2011
3,Ray Allen*,SG,35,BOS,9,9,40.1,6.3,12.1,.523,3.6,6.2,.571,2.8,5.9,.472,.670,2.7,2.8,.960,0.6,3.2,3.8,2.4,1.2,0.1,1.1,2.3,18.9,19.6,.708,.514,.229,1.8,9.3,5.8,10.5,1.6,0.2,7.7,17.2,1.3,0.3,1.7,.225,4.9,2.3,7.1,0.8,2011
4,Tony Allen,SG,29,MEM,13,13,26.9,3.3,7.8,.426,0.1,0.5,.143,3.2,7.2,.447,.431,2.1,3.2,.659,1.2,1.8,2.9,1.5,1.9,0.4,1.8,3.3,8.8,10.7,.479,.069,.406,4.8,7.7,6.2,9.3,3.8,1.2,16.8,18.6,-0.2,0.4,0.2,.030,-3.1,2.2,-0.9,0.1,2011
5,Chris Andersen,C,32,DEN,5,0,14.6,1.4,2.2,.636,0.0,0.0,0,1.4,2.2,.636,.636,2.0,2.8,.714,1.0,1.8,2.8,0.6,0.6,1.4,0.6,1.6,4.8,19.1,.699,.000,1.273,7.6,13.7,10.7,7.0,2.1,8.0,14.9,12.6,0.2,0.1,0.3,.195,1.6,4.8,6.4,0.2,2011
6,Ryan Anderson,PF,22,ORL,6,0,24.5,1.3,5.0,.267,1.0,3.3,.300,0.3,1.7,.200,.367,1.0,1.0,1.000,1.7,2.8,4.5,0.5,0.8,0.2,0.2,2.7,4.7,8.3,.429,.667,.200,8.0,13.9,10.9,3.5,1.9,0.5,3.0,10.9,0.1,0.2,0.4,.119,-1.0,0.0,-1.0,0.0,2011
7,Carmelo Anthony,SF,26,NYK,4,4,39.0,8.3,22.0,.375,2.3,6.5,.346,6.0,15.5,.387,.426,7.3,8.5,.853,3.3,7.0,10.3,4.8,1.3,0.8,3.3,4.0,26.0,22.5,.505,.295,.386,8.5,23.0,14.9,26.8,1.7,1.4,11.2,32.7,0.3,0.2,0.5,.149,6.1,0.5,6.6,0.3,2011
8,Joel Anthony,C,28,MIA,21,13,27.4,0.9,2.3,.367,0.0,0.0,0,0.9,2.3,.367,.367,1.0,1.5,.710,1.7,3.0,4.6,0.5,0.4,1.8,0.6,2.6,2.8,7.6,.463,.000,.633,7.6,12.7,10.2,2.7,0.8,5.5,17.2,6.4,0.2,0.8,0.9,.078,-2.5,1.9,-0.6,0.2,2011
9,Gilbert Arenas,PG,29,ORL,5,0,16.2,3.6,8.4,.429,0.6,2.4,.250,3.0,6.0,.500,.464,0.8,1.2,.667,0.8,2.0,2.8,2.4,0.2,0.2,1.2,2.8,8.6,15.9,.482,.286,.143,5.8,14.9,10.3,35.0,0.7,1.0,11.8,29.7,0.1,0.1,0.2,.108,0.1,1.2,1.3,0.1,2011
