,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
0,Cory Alexander,PG,22,SAS,9,0,7.8,1.1,2.7,.417,0.1,0.6,.200,1.0,2.1,.474,.438,0.6,0.8,.714,0.4,0.6,1.0,1.0,0.2,0.0,0.7,0.9,2.9,11.6,.480,.208,.292,7.1,8.4,7.8,22.2,1.6,0.0,18.1,22.8,0.0,0.0,0.0,-0.006,-1.4,-1.0,-2.5,0.0,1996
1,John Amaechi,PF,25,CLE,1,0,2.0,0.0,1.0,.000,0.0,0.0,0,0.0,1.0,.000,.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.0,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,0.0,0.0,0.0,-0.609,-21.3,-15.4,-36.7,0.0,1996
2,Greg Anderson,PF,31,SAS,6,0,5.7,0.0,0.8,.000,0.0,0.0,0,0.0,0.8,.000,.000,0.2,0.3,.500,0.3,1.2,1.5,0.0,0.3,0.2,0.7,0.8,0.2,-3.6,.085,.000,.400,7.3,24.2,16.0,0.0,3.3,2.1,40.5,14.0,-0.2,0.0,-0.2,-0.239,-12.3,-1.0,-13.3,-0.1,1996
3,Nick Anderson,SG,28,ORL,11,11,38.0,5.0,11.5,.433,1.6,5.7,.286,3.4,5.8,.578,.504,2.5,4.1,.622,1.5,3.5,5.0,1.9,1.9,0.5,1.9,2.0,14.2,14.6,.531,.496,.354,4.8,11.8,8.3,7.6,2.8,1.0,12.5,19.0,0.4,0.2,0.6,.072,1.2,0.5,1.7,0.4,1996
4,Willie Anderson,SG,29,NYK,4,0,16.0,1.8,5.5,.318,0.3,1.5,.167,1.5,4.0,.375,.341,1.5,1.8,.857,0.5,1.8,2.3,0.3,1.0,0.0,1.5,2.5,5.3,5.3,.419,.273,.318,4.2,12.3,8.6,2.8,3.5,0.0,19.3,24.0,-0.2,0.1,-0.1,-0.065,-5.6,1.6,-4.1,0.0,1996
5,Vincent Askew,SG,29,SEA,19,0,18.2,1.3,3.7,.343,0.3,1.2,.261,0.9,2.5,.383,.386,0.9,1.5,.607,0.3,1.9,2.2,1.4,0.7,0.4,1.5,2.6,3.7,4.8,.431,.329,.400,2.0,12.1,7.5,12.3,2.1,2.0,25.4,15.5,-0.6,0.5,-0.2,-0.023,-4.9,1.4,-3.5,-0.1,1996
6,Keith Askins,SF,28,MIA,3,0,16.0,1.3,3.7,.364,0.7,2.0,.333,0.7,1.7,.400,.455,1.0,1.0,1.000,1.0,1.7,2.7,0.7,0.3,0.0,1.3,3.0,4.3,6.2,.528,.545,.273,7.3,13.0,10.1,7.6,1.1,0.0,24.5,15.9,0.0,0.0,0.0,-0.043,-3.6,-0.2,-3.8,0.0,1996
7,Stacey Augmon,SF,27,ATL,10,10,31.4,3.5,7.2,.486,0.0,0.1,.000,3.5,7.1,.493,.486,3.3,4.0,.825,0.9,2.7,3.6,2.7,1.1,0.6,1.7,2.6,10.3,14.3,.575,.014,.556,3.4,10.9,7.1,14.8,2.0,1.5,15.9,16.4,0.5,0.1,0.5,.083,-0.8,0.8,0.0,0.2,1996
8,Charles Barkley*,PF,32,PHO,4,4,41.0,7.8,17.5,.443,0.8,3.0,.250,7.0,14.5,.483,.464,9.3,11.8,.787,4.5,9.0,13.5,3.8,1.0,1.0,1.5,3.8,25.5,27.5,.562,.171,.671,11.5,27.5,18.8,15.4,1.3,1.7,6.2,26.1,0.7,0.0,0.7,.197,7.4,0.6,8.0,0.4,1996
9,Mario Bennett,SF,22,PHO,2,0,4.0,1.0,2.0,.500,0.0,0.0,0,1.0,2.0,.500,.500,0.0,0.0,0,1.0,0.5,1.5,0.0,0.0,0.0,1.0,0.0,2.0,10.1,.500,.000,.000,26.1,15.7,21.4,0.0,0.0,0.0,33.3,33.2,0.0,0.0,0.0,-0.282,-4.0,-9.1,-13.1,0.0,1996
10,David Benoit,SF,27,UTA,14,5,18.5,2.4,5.0,.471,1.0,2.0,.500,1.4,3.0,.452,.571,0.5,0.6,.778,0.4,2.2,2.6,0.5,0.1,0.2,1.0,1.2,6.2,10.0,.588,.400,.129,2.9,15.4,9.1,4.5,0.2,1.1,15.9,16.4,0.1,0.3,0.4,.075,0.6,-0.5,0.1,0.1,1996
11,Travis Best,PG,23,IND,5,0,16.8,2.2,4.4,.500,0.2,1.2,.167,2.0,3.2,.625,.523,1.2,1.4,.857,0.6,1.6,2.2,1.8,1.2,0.0,2.0,2.0,5.8,13.6,.578,.273,.318,4.8,10.9,8.0,20.2,4.1,0.0,28.5,19.9,0.0,0.1,0.1,.076,-2.1,2.8,0.7,0.1,1996
12,Mookie Blaylock,PG,28,ATL,10,10,42.6,6.1,14.5,.421,3.3,8.4,.393,2.8,6.1,.459,.534,1.6,2.4,.667,1.3,3.0,4.3,6.4,2.2,0.8,2.9,1.5,17.1,18.1,.550,.579,.166,3.6,8.9,6.2,27.3,2.9,1.5,15.7,20.9,0.7,0.1,0.8,.094,4.0,0.6,4.6,0.7,1996
13,Anthony Bonner,PF,27,ORL,4,0,4.0,0.3,0.8,.333,0.0,0.0,0,0.3,0.8,.333,.333,0.3,0.5,.500,0.5,0.0,0.5,0.3,0.0,0.0,0.0,0.8,0.8,6.8,.387,.000,.667,15.8,0.0,7.9,8.6,0.0,0.0,0.0,11.5,0.0,0.0,0.0,.039,-4.3,-2.4,-6.6,0.0,1996
14,Anthony Bowie,SG,32,ORL,12,1,12.7,1.1,2.3,.481,0.0,0.0,0,1.1,2.3,.481,.481,0.3,0.3,1.000,0.3,1.2,1.4,1.2,0.3,0.2,0.4,1.3,2.5,9.3,.522,.000,.148,2.5,11.6,7.1,13.0,1.1,1.1,14.8,10.5,0.1,0.0,0.2,.049,-1.6,0.9,-0.8,0.0,1996
15,Donnie Boyce,SG,22,ATL,1,0,2.0,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,0,.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.7,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.3,0.0,0.0,0.0,-1.120,-29.7,-20.5,-50.2,0.0,1996
16,Terrell Brandon,PG,25,CLE,3,3,41.7,7.0,15.7,.447,1.0,3.0,.333,6.0,12.7,.474,.479,4.3,5.0,.867,0.3,2.7,3.0,8.0,1.3,0.3,3.7,3.3,19.3,18.2,.541,.191,.319,1.0,9.2,4.7,39.6,1.9,0.8,17.0,26.4,0.2,0.0,0.2,.080,2.9,-0.4,2.5,0.1,1996
17,Frank Brickowski,C,36,SEA,21,3,9.8,0.8,1.8,.421,0.3,1.0,.273,0.5,0.8,.625,.500,0.1,0.2,.750,0.1,1.3,1.4,0.5,0.3,0.2,1.0,2.6,2.0,2.7,.516,.579,.105,1.3,15.8,9.2,8.8,1.8,2.0,33.5,14.0,-0.4,0.3,-0.1,-0.018,-7.5,2.9,-4.6,-0.1,1996
