,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,STAR,Year
0,Kareem Abdul-Jabbar,C,35.0,LAL,79.0,79.0,32.3,9.1,15.5,0.588,0.0,0.0,0.0,9.1,15.5,0.589,0.588,3.5,4.7,0.749,2.1,5.4,7.5,2.5,0.8,2.2,2.5,2.8,21.8,True,1983
1,Alvan Adams,C,28.0,PHO,80.0,75.0,30.6,6.0,12.3,0.486,0.0,0.0,0.333,6.0,12.2,0.487,0.487,2.3,2.7,0.829,2.0,4.8,6.9,4.7,1.4,0.9,3.0,3.6,14.2,False,1983
2,Mark Aguirre,SF,23.0,DAL,81.0,75.0,34.4,9.5,19.6,0.483,0.2,0.9,0.211,9.3,18.7,0.496,0.488,5.3,7.3,0.728,2.4,3.9,6.3,4.1,1.0,0.3,3.2,3.0,24.4,False,1983
3,Danny Ainge,SG,23.0,BOS,80.0,76.0,25.6,4.5,9.0,0.496,0.1,0.4,0.172,4.4,8.6,0.509,0.499,0.9,1.2,0.742,1.0,1.6,2.7,3.1,1.4,0.1,1.2,3.2,9.9,False,1983
4,Dwight Anderson,PG,22.0,DEN,5.0,0.0,6.6,1.4,2.8,0.5,0.0,0.0,,1.4,2.8,0.5,0.5,1.4,2.0,0.7,0.0,0.4,0.4,0.6,0.2,0.0,1.0,1.4,4.2,False,1983
5,J.J. Anderson,SF,22.0,Traded,130.0,4.0,18.5,2.91,5.83,0.49,0.0,0.1,0.0,2.91,5.78,0.5,0.49,1.52,2.69,0.55,1.81,2.69,4.5,1.03,0.99,0.31,1.2,2.37,7.39,False,1983
6,Richard Anderson,C,22.0,SDC,78.0,5.0,16.3,2.2,5.5,0.404,0.1,0.2,0.368,2.1,5.3,0.405,0.412,0.6,0.9,0.696,1.4,2.1,3.5,1.5,0.7,0.3,1.2,2.2,5.2,False,1983
7,Tiny Archibald,PG,34.0,BOS,66.0,19.0,27.4,3.6,8.4,0.425,0.1,0.4,0.208,3.5,8.0,0.435,0.429,3.3,4.5,0.743,0.4,1.0,1.4,6.2,0.6,0.1,2.5,1.7,10.5,True,1983
8,John Bagley,PG,22.0,CLE,68.0,3.0,14.6,2.4,5.5,0.432,0.0,0.2,0.0,2.4,5.3,0.448,0.432,0.9,1.2,0.762,0.3,1.2,1.4,2.5,0.8,0.1,1.7,1.1,5.7,False,1983
9,James Bailey,PF,25.0,Traded,150.0,78.0,23.54,5.09,10.33,0.5,0.0,0.0,,5.09,10.28,0.5,0.5,2.98,4.28,0.71,2.27,4.0,6.32,0.88,0.58,0.82,2.63,3.6,13.27,False,1983
10,Greg Ballard,SF,28.0,WSB,78.0,78.0,36.4,7.7,16.3,0.473,0.2,0.5,0.351,7.6,15.9,0.477,0.478,2.3,3.0,0.781,1.6,4.9,6.5,3.4,1.7,0.3,2.0,2.3,18.0,False,1983
11,Gene Banks,PF,23.0,SAS,81.0,81.0,33.6,6.2,11.3,0.55,0.0,0.1,0.0,6.2,11.3,0.553,0.55,2.4,3.4,0.705,2.7,4.8,7.6,3.4,1.0,0.3,2.1,2.8,14.9,False,1983
12,Billy Ray Bates,SG,26.0,Traded,38.0,6.0,16.02,2.88,7.62,0.36,0.09,0.27,,2.79,7.4,0.36,0.37,0.61,1.17,0.5,0.61,0.4,1.01,0.71,0.74,0.18,0.62,1.01,6.51,False,1983
13,Dave Batton,C,26.0,WSB,54.0,5.0,10.3,1.6,3.5,0.445,0.0,0.1,0.0,1.6,3.5,0.452,0.445,0.1,0.3,0.471,0.8,1.4,2.2,0.5,0.3,0.2,0.5,1.0,3.3,False,1983
14,Kent Benson,C,28.0,DET,21.0,15.0,28.5,4.0,8.7,0.467,0.0,0.0,0.0,4.0,8.6,0.47,0.467,1.8,2.4,0.76,2.5,4.9,7.4,2.3,0.7,0.8,1.7,2.9,9.9,False,1983
15,Larry Bird,PF,26.0,BOS,79.0,79.0,37.7,9.5,18.7,0.504,0.3,1.0,0.286,9.2,17.8,0.516,0.512,4.4,5.3,0.84,2.4,8.6,11.0,5.8,1.9,0.9,3.0,2.5,23.6,True,1983
16,Otis Birdsong,SG,27.0,NJN,62.0,54.0,30.4,6.9,13.5,0.511,0.0,0.1,0.333,6.8,13.4,0.512,0.512,1.3,2.3,0.566,0.9,1.6,2.4,3.9,1.4,0.3,1.8,2.5,15.1,False,1983
17,Rolando Blackman,SG,23.0,DAL,75.0,62.0,31.3,6.8,13.9,0.492,0.0,0.2,0.2,6.8,13.7,0.497,0.494,4.0,5.1,0.78,1.4,2.5,3.9,2.5,0.5,0.4,1.6,1.5,17.7,False,1983
18,Charles Bradley,SG,23.0,BOS,51.0,5.0,10.4,1.4,3.5,0.392,0.0,0.1,0.0,1.4,3.4,0.399,0.392,0.9,1.8,0.511,0.6,0.9,1.5,0.5,0.6,0.5,0.8,1.6,3.6,False,1983
19,Dudley Bradley,SG,25.0,CHI,58.0,11.0,11.8,1.4,2.7,0.516,0.0,0.1,0.2,1.4,2.7,0.526,0.519,0.6,0.8,0.8,0.5,1.3,1.8,1.8,0.8,0.2,1.0,1.6,3.5,False,1983
20,Brad Branson,PF,24.0,IND,62.0,2.0,11.0,2.1,5.0,0.425,0.0,0.0,0.0,2.1,5.0,0.427,0.425,1.2,1.7,0.704,1.2,1.6,2.8,0.7,0.4,0.4,0.7,1.3,5.5,False,1983
21,Mike Bratz,PG,27.0,CHI,15.0,0.0,9.3,0.9,2.8,0.333,0.1,0.5,0.125,0.9,2.3,0.382,0.345,0.7,0.9,0.769,0.2,1.1,1.3,1.5,0.5,0.0,0.9,1.3,2.6,False,1983
22,Ron Brewer,SG,27.0,Traded,148.0,104.0,26.51,4.61,10.91,0.43,0.09,0.22,0.36,4.58,10.67,0.43,0.43,1.89,2.28,0.84,0.78,1.13,1.92,1.3,1.21,0.34,1.32,1.68,11.31,False,1983
23,Junior Bridgeman,SF,29.0,MIL,70.0,5.0,26.5,6.0,12.2,0.492,0.0,0.2,0.077,6.0,12.0,0.498,0.492,2.3,2.8,0.837,0.6,2.9,3.5,3.0,0.6,0.1,1.7,2.2,14.4,False,1983
24,Allan Bristow,SF,31.0,DAL,37.0,0.0,10.0,1.2,2.7,0.444,0.2,0.4,0.462,1.0,2.3,0.442,0.475,0.3,0.4,0.714,0.6,0.9,1.6,1.9,0.2,0.0,0.8,1.2,2.8,False,1983
25,Jim Brogan,SG,24.0,SDC,58.0,0.0,8.0,1.6,3.7,0.427,0.1,0.2,0.231,1.5,3.4,0.44,0.434,0.6,0.7,0.791,0.6,0.5,1.1,1.1,0.4,0.2,0.7,1.4,3.8,False,1983
26,Michael Brooks,SF,24.0,SDC,82.0,26.0,30.0,4.9,10.1,0.484,0.1,0.2,0.333,4.8,9.9,0.487,0.487,2.4,3.4,0.697,2.9,3.4,6.4,3.2,1.4,0.5,2.2,3.6,12.2,False,1983
27,Fred Brown,PG,34.0,SEA,80.0,1.0,17.9,4.6,8.9,0.52,0.2,0.4,0.438,4.5,8.5,0.523,0.529,0.7,0.9,0.806,0.4,0.8,1.2,3.0,0.7,0.2,1.4,1.2,10.2,False,1983
28,Rickey Brown,C,24.0,Traded,152.0,14.0,13.8,2.21,4.6,0.48,0.0,0.0,0.0,2.21,4.6,0.48,0.48,0.88,1.38,0.62,1.18,2.28,3.52,0.3,0.2,0.32,1.08,2.28,5.26,False,1983
29,Joe Bryant,SF,28.0,HOU,81.0,56.0,25.4,4.2,9.5,0.448,0.1,0.4,0.222,4.1,9.0,0.459,0.453,1.4,2.0,0.703,1.1,2.3,3.4,2.3,1.0,0.4,2.2,3.2,10.0,False,1983
30,Quinn Buckner,SG,28.0,BOS,72.0,56.0,21.7,3.4,7.8,0.442,0.0,0.1,0.0,3.4,7.7,0.445,0.442,1.0,1.6,0.632,0.9,1.7,2.6,3.8,1.5,0.1,2.2,2.7,7.9,False,1983
