,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,STAR,Year
0,Quincy Acy,SF,23.0,Traded,126.0,0.0,13.41,1.04,2.23,0.47,0.07,0.23,0.24,0.98,2.01,0.49,0.48,0.56,0.82,0.66,1.12,2.29,3.42,0.41,0.37,0.4,0.49,1.9,2.7,False,2014
1,Steven Adams,C,20.0,OKC,81.0,20.0,14.8,1.1,2.3,0.503,0.0,0.0,,1.1,2.3,0.503,0.503,1.0,1.7,0.581,1.8,2.3,4.1,0.5,0.5,0.7,0.9,2.5,3.3,False,2014
2,Jeff Adrien,PF,27.0,Traded,106.0,24.0,18.11,2.7,5.2,0.53,0.0,0.0,,2.7,5.2,0.53,0.53,1.43,2.23,0.62,1.92,3.82,5.79,0.71,0.48,0.7,0.71,2.02,6.82,False,2014
3,Arron Afflalo,SG,28.0,ORL,73.0,73.0,35.0,6.4,13.8,0.459,1.8,4.1,0.427,4.6,9.7,0.473,0.522,3.8,4.6,0.815,0.4,3.2,3.6,3.4,0.5,0.0,2.0,1.9,18.2,False,2014
4,Alexis Ajinça,C,25.0,NOP,56.0,30.0,17.0,2.4,4.4,0.546,0.0,0.0,0.0,2.4,4.4,0.548,0.546,1.0,1.2,0.836,1.7,3.3,4.9,0.7,0.4,0.8,1.1,3.3,5.9,False,2014
5,Cole Aldrich,C,25.0,NYK,46.0,2.0,7.2,0.7,1.3,0.541,0.0,0.0,,0.7,1.3,0.541,0.541,0.6,0.7,0.867,0.8,2.0,2.8,0.3,0.2,0.7,0.4,0.9,2.0,False,2014
6,LaMarcus Aldridge,PF,28.0,POR,69.0,69.0,36.2,9.4,20.6,0.458,0.0,0.2,0.2,9.4,20.4,0.461,0.459,4.3,5.2,0.822,2.4,8.7,11.1,2.6,0.9,1.0,1.8,2.1,23.2,False,2014
7,Lavoy Allen,PF,24.0,Traded,130.0,4.0,16.49,2.08,4.6,0.45,0.0,0.22,,2.03,4.42,0.46,0.45,0.49,0.79,0.66,1.82,3.0,4.78,1.1,0.37,0.49,0.7,1.94,4.7,False,2014
8,Ray Allen,SG,38.0,MIA,73.0,9.0,26.5,3.3,7.4,0.442,1.6,4.2,0.375,1.7,3.2,0.53,0.549,1.4,1.6,0.905,0.3,2.5,2.8,2.0,0.7,0.1,1.2,1.6,9.6,True,2014
9,Tony Allen,SG,32.0,MEM,55.0,28.0,23.2,3.7,7.5,0.494,0.2,0.9,0.234,3.5,6.7,0.527,0.507,1.4,2.2,0.628,1.4,2.3,3.8,1.7,1.6,0.3,1.6,2.2,9.0,False,2014
10,Al-Farouq Aminu,SF,23.0,NOP,80.0,65.0,25.6,2.9,6.2,0.474,0.2,0.6,0.271,2.8,5.6,0.496,0.487,1.1,1.7,0.664,1.6,4.6,6.2,1.4,1.0,0.5,1.1,1.8,7.2,False,2014
11,Lou Amundson,PF,31.0,Traded,38.0,0.0,9.71,0.83,1.7,,0.0,0.0,,0.83,1.7,,,0.29,1.27,,1.51,1.41,2.92,0.29,0.49,0.58,0.73,2.58,1.99,False,2014
12,Chris Andersen,C,35.0,MIA,72.0,0.0,19.4,2.5,3.8,0.644,0.0,0.2,0.25,2.4,3.7,0.662,0.649,1.7,2.3,0.71,1.8,3.5,5.3,0.3,0.4,1.3,0.7,2.3,6.6,False,2014
13,Alan Anderson,SF,31.0,BRK,78.0,26.0,22.7,2.5,6.2,0.4,1.1,3.2,0.339,1.4,3.0,0.464,0.487,1.2,1.5,0.78,0.5,1.7,2.2,1.0,0.6,0.1,0.8,1.9,7.2,False,2014
14,James Anderson,SG,24.0,PHI,80.0,62.0,28.9,3.9,9.0,0.431,1.4,4.4,0.328,2.4,4.6,0.53,0.511,1.0,1.3,0.726,0.7,3.0,3.8,1.9,0.9,0.4,1.3,1.9,10.1,False,2014
15,Ryan Anderson,PF,25.0,NOP,22.0,14.0,36.1,7.0,16.1,0.438,3.0,7.5,0.409,4.0,8.6,0.463,0.532,2.7,2.8,0.952,3.0,3.5,6.5,0.8,0.5,0.3,0.9,2.1,19.8,False,2014
16,Giannis Antetokounmpo,SF,19.0,MIL,77.0,23.0,24.6,2.2,5.4,0.414,0.5,1.5,0.347,1.7,3.9,0.44,0.463,1.8,2.6,0.683,1.0,3.4,4.4,1.9,0.8,0.8,1.6,2.2,6.8,False,2014
17,Carmelo Anthony,PF,29.0,NYK,77.0,77.0,38.7,9.6,21.3,0.452,2.2,5.4,0.402,7.5,15.9,0.469,0.503,6.0,7.0,0.848,1.9,6.2,8.1,3.1,1.2,0.7,2.6,2.9,27.4,False,2014
18,Joel Anthony,C,31.0,Traded,66.0,0.0,5.62,0.4,0.97,0.37,0.0,0.0,,0.4,0.97,0.37,0.37,0.12,0.23,0.54,0.48,0.71,1.19,0.08,0.08,0.38,0.1,0.5,0.81,False,2014
19,Pero Antić,C,31.0,ATL,50.0,26.0,18.5,2.5,5.9,0.418,1.1,3.4,0.327,1.3,2.5,0.545,0.514,1.0,1.3,0.758,1.1,3.0,4.2,1.2,0.4,0.2,1.1,2.5,7.0,False,2014
20,Trevor Ariza,SF,28.0,WAS,77.0,77.0,35.4,5.1,11.1,0.456,2.3,5.7,0.407,2.7,5.3,0.509,0.562,1.9,2.5,0.772,1.3,4.9,6.2,2.5,1.6,0.3,1.7,2.3,14.4,False,2014
21,Hilton Armstrong,C,29.0,GSW,15.0,1.0,6.5,0.6,1.3,0.474,0.0,0.0,,0.6,1.3,0.474,0.474,0.5,1.1,0.438,1.3,1.9,3.1,0.3,0.3,0.3,0.4,0.7,1.7,False,2014
22,Darrell Arthur,SF,25.0,DEN,68.0,1.0,17.1,2.4,6.0,0.395,0.4,0.9,0.375,2.0,5.1,0.399,0.424,0.8,0.9,0.855,0.8,2.3,3.1,0.9,0.6,0.7,0.9,2.7,5.9,False,2014
23,Ömer Aşık,C,27.0,HOU,48.0,19.0,20.2,2.1,4.0,0.532,0.0,0.0,,2.1,4.0,0.532,0.532,1.6,2.6,0.619,2.1,5.8,7.9,0.5,0.3,0.8,1.2,1.9,5.8,False,2014
24,D.J. Augustin,PG,26.0,Traded,142.0,18.0,27.29,4.21,10.12,0.41,1.9,4.7,0.38,2.31,5.41,0.43,0.5,2.82,3.19,0.89,0.19,1.6,1.83,4.42,0.74,0.0,1.78,2.09,13.1,False,2014
25,Gustavo Ayón,C,28.0,ATL,26.0,14.0,16.5,2.0,3.9,0.51,0.0,0.0,,2.0,3.9,0.51,0.51,0.3,0.8,0.4,1.6,3.2,4.8,1.1,1.0,0.4,1.1,1.8,4.3,False,2014
26,Jeff Ayres,PF,26.0,SAS,73.0,10.0,13.0,1.4,2.4,0.58,0.0,0.0,,1.4,2.4,0.58,0.58,0.5,0.8,0.691,1.2,2.3,3.5,0.8,0.2,0.3,0.9,2.0,3.3,False,2014
27,Chris Babb,SG,23.0,BOS,14.0,0.0,9.4,0.6,2.1,0.267,0.4,1.9,0.222,0.1,0.2,0.667,0.367,0.0,0.0,,0.3,0.9,1.2,0.2,0.4,0.0,0.2,0.9,1.6,False,2014
28,Luke Babbitt,PF,24.0,NOP,27.0,2.0,17.5,2.2,5.7,0.39,1.3,3.5,0.379,0.9,2.2,0.407,0.506,0.5,0.7,0.778,0.7,2.6,3.3,1.1,0.3,0.4,0.6,1.9,6.3,False,2014
29,Leandro Barbosa,PG,31.0,PHO,20.0,0.0,18.4,2.8,6.6,0.427,0.4,1.3,0.28,2.5,5.3,0.462,0.454,1.6,2.0,0.795,0.3,1.6,1.9,1.6,0.4,0.2,1.0,1.5,7.5,False,2014
30,J.J. Barea,PG,29.0,MIN,79.0,1.0,18.6,3.2,8.3,0.387,0.9,2.9,0.316,2.3,5.4,0.426,0.443,1.0,1.3,0.79,0.2,1.7,1.9,3.8,0.3,0.0,1.6,1.6,8.4,False,2014
31,Andrea Bargnani,C,28.0,NYK,42.0,39.0,29.9,5.3,12.0,0.442,0.7,2.6,0.278,4.6,9.4,0.487,0.472,2.0,2.4,0.824,1.6,3.6,5.3,1.1,0.3,1.2,1.4,2.4,13.3,False,2014
32,Harrison Barnes,SF,21.0,GSW,78.0,24.0,28.3,3.5,8.7,0.399,0.8,2.4,0.347,2.6,6.3,0.419,0.448,1.7,2.3,0.718,0.8,3.1,4.0,1.5,0.8,0.3,1.1,2.0,9.5,False,2014
33,Matt Barnes,SF,33.0,LAC,63.0,40.0,27.5,3.7,8.4,0.438,1.5,4.5,0.343,2.1,3.9,0.549,0.53,1.0,1.4,0.733,1.0,3.7,4.6,2.0,0.9,0.4,1.3,2.9,9.9,False,2014
34,Will Barton,SG,23.0,POR,41.0,0.0,9.4,1.6,3.8,0.417,0.2,0.8,0.303,1.3,3.0,0.447,0.449,0.6,0.8,0.813,0.4,1.4,1.8,0.8,0.2,0.2,0.4,0.8,4.0,False,2014
35,Brandon Bass,PF,28.0,BOS,82.0,73.0,27.6,4.3,8.8,0.486,0.0,0.1,0.333,4.3,8.8,0.487,0.487,2.5,2.9,0.858,2.0,3.8,5.7,1.1,0.4,0.9,1.2,2.3,11.1,False,2014
36,Shane Battier,SF,35.0,MIA,73.0,56.0,20.1,1.4,3.8,0.382,1.0,2.9,0.348,0.4,0.9,0.492,0.515,0.2,0.3,0.652,0.5,1.4,1.9,0.9,0.7,0.5,0.3,1.7,4.1,False,2014
