,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
14,Jim Brewer,PF,28,POR,3,0,22.3,3.3,3.3,1.0,0.0,0.0,0.0,3.3,3.3,1.0,1.0,0.3,1.0,0.333,2.0,3.3,5.3,1.0,1.7,0.7,0.3,2.0,7.0,22.8,0.928,0.0,0.3,9.9,17.5,13.6,6.4,3.8,1.7,8.1,7.9,0.3,0.1,0.4,0.265,5.5,4.3,9.8,0.2,1980
15,Ron Brewer,SG,24,POR,3,0,35.3,8.7,20.3,0.426,0.0,1.0,0.0,8.7,19.3,0.448,0.426,1.7,3.0,0.556,0.3,0.7,1.0,2.0,1.0,0.3,2.3,3.3,19.0,11.5,0.439,0.049,0.148,1.0,2.2,1.6,9.4,1.4,0.5,9.7,29.1,-0.1,0.0,-0.1,-0.035,-2.3,-1.7,-4.0,-0.1,1980
16,Junior Bridgeman,SF,26,MIL,5,0,24.8,4.0,11.2,0.357,0.0,0.2,0.0,4.0,11.0,0.364,0.357,2.2,3.0,0.733,0.8,3.0,3.8,3.4,1.0,0.4,2.8,3.4,10.2,8.6,0.407,0.018,0.268,3.7,13.4,8.6,20.8,2.0,0.9,18.3,25.9,-0.3,0.2,-0.1,-0.039,-3.0,-0.7,-3.7,-0.1,1980
17,Fred Brown,SG,31,SEA,15,0,20.9,5.3,12.1,0.44,0.7,2.3,0.294,4.7,9.9,0.473,0.467,1.2,1.4,0.857,1.1,1.5,2.5,2.1,0.1,0.1,1.5,1.5,12.5,14.8,0.492,0.187,0.115,5.5,7.8,6.6,17.7,0.3,0.2,10.7,28.1,0.3,0.2,0.5,0.072,2.8,-2.7,0.0,0.2,1980
18,John Brown,SF,28,ATL,5,0,11.6,0.8,2.6,0.308,0.0,0.2,0.0,0.8,2.4,0.333,0.308,0.4,0.4,1.0,0.4,1.6,2.0,0.2,0.2,0.2,1.0,1.8,2.0,0.6,0.36,0.077,0.154,3.6,16.3,9.6,2.5,0.9,1.1,26.5,14.0,-0.2,0.0,-0.1,-0.103,-7.2,-1.1,-8.3,-0.1,1980
19,Quinn Buckner,PG,25,MIL,7,0,23.6,2.6,7.6,0.34,0.0,0.1,0.0,2.6,7.4,0.346,0.34,1.0,1.6,0.636,0.9,1.4,2.3,4.4,2.1,0.0,1.9,2.9,6.1,9.8,0.372,0.019,0.208,4.2,6.7,5.5,26.4,4.5,0.0,18.4,18.0,-0.2,0.3,0.1,0.015,-2.1,1.9,-0.2,0.1,1980
20,Don Buse,PG,29,PHO,8,0,29.5,3.5,8.0,0.438,0.6,1.6,0.385,2.9,6.4,0.451,0.477,0.9,1.4,0.636,1.0,1.6,2.6,5.5,0.8,0.0,1.6,1.9,8.5,11.2,0.494,0.203,0.172,3.7,6.0,4.9,23.3,1.2,0.0,15.9,14.3,0.2,0.0,0.2,0.041,0.3,-1.2,-1.0,0.1,1980
21,Marty Byrnes,SF,23,LAL,4,0,2.0,0.3,0.8,0.333,0.0,0.0,0.0,0.3,0.8,0.333,0.333,1.0,1.5,0.667,0.3,0.0,0.3,0.3,0.0,0.0,0.3,0.0,1.5,19.5,0.532,0.0,2.0,13.6,0.0,6.7,15.6,0.0,0.0,15.1,32.7,0.0,0.0,0.0,0.141,5.5,-4.5,1.1,0.0,1980
22,M.L. Carr,SF,29,BOS,9,0,19.1,3.6,8.9,0.4,0.2,0.6,0.4,3.3,8.3,0.4,0.413,1.8,2.7,0.667,1.6,2.1,3.7,1.2,0.7,0.1,0.8,2.2,9.1,14.0,0.453,0.063,0.3,9.2,12.7,10.9,9.5,1.7,0.3,7.2,24.0,0.1,0.3,0.4,0.11,1.2,-1.0,0.2,0.1,1980
23,Harvey Catchings,C,28,MIL,6,0,10.7,0.3,1.0,0.333,0.0,0.0,0.0,0.3,1.0,0.333,0.333,0.3,0.7,0.5,0.8,2.7,3.5,0.3,0.0,1.3,0.3,2.2,1.0,8.0,0.387,0.0,0.667,9.0,27.6,18.5,4.0,0.0,7.2,20.5,6.4,0.0,0.1,0.1,0.089,-3.2,2.5,-0.7,0.0,1980
