,TEAM,SEASON,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,ARENA,ATTENDANCE,ATTENDANCE/G
20,CHI,1999,26.0,17,65,15,67,-9.4,0.17,-9.23,94.2,104.6,-10.4,89.4,0.33799999999999997,0.16699999999999998,0.49,0.44299999999999995,18.0,29.9,0.24,0.484,14.5,69.9,0.24,United Center,907064.0,
60,LAL,1999,29.2,67,15,64,18,8.55,-0.14,8.41,107.3,98.2,9.1,93.3,0.34600000000000003,0.153,0.525,0.484,12.7,30.6,0.24100000000000002,0.44299999999999995,13.4,73.1,0.222,STAPLES Center,771420.0,
100,BOS,1999,25.4,35,47,39,43,-0.76,-0.24,-1.0,104.8,105.6,-0.8,94.6,0.316,0.183,0.52,0.474,13.8,30.4,0.23600000000000002,0.498,15.8,73.8,0.306,FleetCenter,683608.0,
140,SEA,1999,28.5,45,37,44,38,0.95,0.22,1.17,105.6,104.6,1.0,93.4,0.282,0.23199999999999998,0.52,0.48700000000000004,12.9,28.5,0.196,0.483,14.0,69.6,0.193,KeyArena at Seattle Center,615730.0,
169,UTA,1999,31.5,55,27,54,28,4.46,0.05,4.52,107.3,102.3,5.0,89.6,0.337,0.134,0.54,0.49,14.3,29.5,0.26,0.47700000000000004,15.0,73.2,0.256,Delta Center,801268.0,
200,MIA,1999,29.2,52,30,50,32,3.11,-0.36,2.75,104.5,101.0,3.5,89.7,0.28300000000000003,0.18600000000000003,0.5329999999999999,0.495,14.5,28.2,0.20800000000000002,0.45299999999999996,13.3,72.9,0.22899999999999998,AmericanAirlines Arena,706725.0,
240,PHI,1999,27.1,49,33,45,37,1.34,-0.32,1.02,101.5,100.0,1.5,92.7,0.32899999999999996,0.095,0.501,0.457,14.2,31.4,0.233,0.466,16.2,69.9,0.22899999999999998,First Union Center,756956.0,
280,SAS,1999,30.9,53,29,58,24,5.94,-0.02,5.92,105.0,98.6,6.4,90.8,0.34600000000000003,0.138,0.535,0.488,14.3,27.8,0.258,0.451,13.5,73.0,0.188,Alamodome,884450.0,
320,WAS,1999,28.0,29,53,32,50,-3.28,-0.19,-3.47,103.5,107.0,-3.5,92.7,0.315,0.133,0.521,0.47600000000000003,14.8,30.6,0.23399999999999999,0.489,13.9,71.7,0.273,MCI Center,616593.0,
360,POR,1999,29.6,59,23,59,23,6.4,-0.04,6.36,107.9,100.8,7.1,89.9,0.316,0.175,0.546,0.501,14.5,30.3,0.24,0.461,13.8,72.4,0.217,Rose Garden Arena,835078.0,
