,TEAM,SEASON,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,ARENA,ATTENDANCE,ATTENDANCE/G
28,CHI,2007,25.7,33,49,32,50,-3.09,-0.11,-3.19,103.9,107.2,-3.3,93.0,0.29600000000000004,0.19,0.515,0.47,13.4,28.9,0.223,0.496,14.2,73.1,0.258,United Center,901502.0,21988.0
68,LAL,2007,26.7,57,25,59,23,7.26,0.09,7.34,113.0,105.5,7.5,95.6,0.33299999999999996,0.257,0.57,0.525,12.9,26.3,0.256,0.485,12.9,73.4,0.214,STAPLES Center,778877.0,18997.0
108,BOS,2007,27.9,66,16,67,15,10.26,-0.95,9.3,110.2,98.9,11.3,90.9,0.34600000000000003,0.249,0.569,0.522,14.7,26.6,0.267,0.457,15.2,74.4,0.253,TD Banknorth Garden,763584.0,18624.0
148,SEA,2007,25.4,20,62,19,63,-8.76,0.72,-8.04,100.5,109.5,-9.0,96.3,0.265,0.134,0.509,0.467,14.3,26.8,0.204,0.503,11.9,73.7,0.215,KeyArena at Seattle Center,547556.0,13355.0
177,UTA,2007,25.3,54,28,59,23,6.88,-0.01,6.86,113.8,106.5,7.3,93.2,0.349,0.166,0.573,0.528,13.6,29.5,0.265,0.501,15.0,74.1,0.294,EnergySolutions Arena,816211.0,19908.0
208,MIA,2007,27.4,15,67,18,64,-8.65,0.11,-8.53,100.5,110.0,-9.5,90.2,0.3,0.217,0.522,0.48200000000000004,14.4,22.1,0.218,0.51,13.6,71.9,0.245,AmericanAirlines Arena,798004.0,19464.0
248,PHI,2007,25.3,40,42,42,40,0.41,-0.23,0.19,106.4,106.0,0.4,90.4,0.321,0.14300000000000002,0.522,0.48200000000000004,13.4,31.8,0.22699999999999998,0.504,15.1,72.0,0.205,Wachovia Center,609675.0,14870.0
288,SAS,2007,31.4,56,26,55,27,4.79,0.31,5.1,107.2,101.8,5.4,88.8,0.276,0.251,0.5429999999999999,0.504,12.6,23.4,0.21,0.47700000000000004,12.8,77.1,0.201,AT&T Center,761149.0,18565.0
328,WAS,2007,27.2,43,39,40,42,-0.33,-0.28,-0.61,109.2,109.6,-0.4,89.5,0.297,0.24100000000000002,0.535,0.489,12.5,28.9,0.233,0.513,13.5,72.8,0.217,Verizon Center,736461.0,17962.0
368,POR,2007,24.1,41,41,38,44,-0.98,0.45,-0.52,107.3,108.4,-1.1,87.9,0.281,0.218,0.532,0.489,12.6,26.8,0.21600000000000003,0.491,12.1,71.8,0.212,Rose Garden Arena,801566.0,19550.0
402,SAC,2007,27.3,38,44,35,47,-2.26,0.4,-1.86,107.5,109.9,-2.4,94.7,0.34600000000000003,0.20800000000000002,0.556,0.503,14.8,25.2,0.276,0.51,13.9,71.7,0.256,ARCO Arena (II),580181.0,14151.0
442,HOU,2007,28.3,55,27,55,27,4.68,0.15,4.83,106.8,101.6,5.2,90.4,0.276,0.255,0.528,0.49200000000000005,13.0,29.1,0.2,0.465,12.8,74.8,0.214,Toyota Center,718524.0,17525.0
457,CHA,2007,26.3,32,50,29,53,-4.38,-0.11,-4.49,104.6,109.4,-4.8,91.8,0.32299999999999995,0.22,0.532,0.49200000000000005,13.9,25.6,0.23,0.505,13.4,71.0,0.235,Charlotte Bobcats Arena,603403.0,14717.0
476,TOR,2007,26.3,41,41,49,33,2.9,-0.44,2.47,110.2,107.0,3.2,90.2,0.247,0.217,0.551,0.511,11.4,23.4,0.2,0.505,13.5,75.0,0.205,Air Canada Centre,796835.0,19435.0
500,MEM,2007,24.5,22,60,25,57,-6.21,0.45,-5.76,105.0,111.4,-6.4,95.3,0.311,0.264,0.539,0.5,14.0,23.8,0.225,0.521,12.2,73.4,0.196,FedEx Forum,523578.0,12770.0
540,GSW,2007,25.5,48,34,47,35,2.21,0.17,2.38,111.8,109.5,2.3,98.8,0.276,0.295,0.5479999999999999,0.511,11.5,27.2,0.20800000000000002,0.509,14.7,70.3,0.258,Oracle Arena,804864.0,19631.0
580,DEN,2007,28.5,50,32,51,31,3.71,0.03,3.74,110.0,106.3,3.7,99.7,0.358,0.228,0.557,0.51,12.9,25.5,0.26899999999999996,0.499,14.1,72.1,0.203,Pepsi Center,711962.0,17365.0
620,ATL,2007,24.2,37,45,36,46,-1.82,-0.41,-2.23,106.9,108.9,-2.0,91.1,0.34,0.165,0.535,0.483,14.0,29.7,0.263,0.501,12.9,71.7,0.217,Philips Arena,667518.0,16281.0
669,ORL,2007,26.7,52,30,56,26,5.46,-0.68,4.79,111.3,105.5,5.8,93.4,0.355,0.322,0.575,0.537,13.6,23.4,0.256,0.484,12.3,74.8,0.217,Amway Arena,709346.0,17301.0
709,CLE,2007,27.1,45,37,40,42,-0.35,-0.17,-0.53,106.0,106.4,-0.4,90.2,0.308,0.231,0.52,0.48,13.1,30.4,0.221,0.494,12.9,75.9,0.24,Quicken Loans Arena,839074.0,20465.0
724,NOH,2007,27.1,56,26,56,26,5.28,0.18,5.46,111.5,105.7,5.8,89.9,0.251,0.239,0.5479999999999999,0.512,11.4,27.0,0.193,0.501,13.5,75.4,0.184,New Orleans Arena,581432.0,14181.0
763,NYK,2007,25.7,23,59,23,59,-6.61,0.06,-6.55,104.7,111.9,-7.2,91.6,0.31,0.215,0.518,0.475,13.4,28.6,0.226,0.518,12.1,72.7,0.22899999999999998,Madison Square Garden (IV),783739.0,19116.0
