,TEAM,SEASON,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,ARENA,ATTENDANCE,ATTENDANCE/G
2,CHI,1981,26.5,34,48,36,46,-2.02,0.45,-1.57,106.6,108.6,-2.0,99.0,0.37799999999999995,0.032,0.557,0.505,17.3,33.6,0.29,0.499,13.2,69.0,0.207,Chicago Stadium,372613.0,
42,LAL,1981,26.8,57,25,53,29,4.87,-0.5,4.37,110.2,105.5,4.7,103.1,0.285,0.012,0.551,0.518,14.7,35.8,0.204,0.493,14.8,66.3,0.187,The Forum,605236.0,
82,BOS,1981,27.3,63,19,57,25,6.38,-0.03,6.35,109.8,103.5,6.3,101.5,0.335,0.025,0.545,0.502,14.7,35.8,0.248,0.47200000000000003,14.6,67.6,0.22,Boston Garden,612711.0,
122,SEA,1981,26.4,52,30,52,30,4.13,-0.45,3.69,106.4,102.3,4.1,100.0,0.32899999999999996,0.021,0.535,0.491,14.1,31.3,0.243,0.46399999999999997,14.4,67.2,0.214,King County Domed Stadium,721049.0,
151,UTA,1981,24.9,25,57,27,55,-5.66,0.03,-5.63,106.2,111.7,-5.5,103.9,0.306,0.013000000000000001,0.5379999999999999,0.496,14.5,30.6,0.23,0.513,14.1,65.3,0.244,Salt Palace,311779.0,
222,PHI,1981,28.1,58,24,56,26,5.73,0.0,5.74,109.6,103.9,5.7,100.6,0.354,0.02,0.5660000000000001,0.521,15.5,30.5,0.265,0.48,16.5,65.0,0.261,The Spectrum,498901.0,
262,SAS,1981,26.1,48,34,47,35,2.3,-0.52,1.79,109.9,107.6,2.3,102.5,0.307,0.033,0.537,0.49,13.0,34.0,0.23800000000000002,0.48700000000000004,13.7,68.8,0.256,HemisFair Arena,434278.0,
302,WAS,1981,26.0,43,39,43,39,0.88,0.19,1.06,103.3,102.5,0.8,99.4,0.294,0.033,0.524,0.478,14.7,29.4,0.22699999999999998,0.46799999999999997,13.9,69.9,0.228,Capital Centre,379891.0,
342,POR,1981,24.7,42,40,43,39,0.6,-0.21,0.39,108.8,108.2,0.6,100.5,0.332,0.019,0.547,0.507,14.4,32.5,0.239,0.502,15.0,65.9,0.223,Memorial Coliseum,519306.0,
416,HOU,1981,28.3,46,36,41,41,-0.04,-0.36,-0.39,108.3,108.3,0.0,97.2,0.302,0.024,0.52,0.479,13.7,37.8,0.22,0.5,14.3,66.1,0.209,The Summit,480190.0,
490,KCK,1981,24.0,30,52,33,49,-3.1,-0.15,-3.25,104.2,107.2,-3.0,101.8,0.29600000000000004,0.018000000000000002,0.5329999999999999,0.49700000000000005,15.5,29.9,0.213,0.504,16.5,66.0,0.287,Kemper Arena,305665.0,
514,GSW,1981,25.1,45,37,44,38,1.04,-0.24,0.8,108.8,107.7,1.1,101.4,0.324,0.044000000000000004,0.541,0.502,14.5,34.8,0.233,0.493,14.1,68.8,0.256,Oakland-Alameda County Coliseum Arena,391726.0,
554,DEN,1981,27.0,46,36,42,40,0.52,-0.4,0.13,114.3,113.9,0.4,109.8,0.389,0.019,0.578,0.522,14.1,31.8,0.31,0.528,13.9,64.3,0.213,McNichols Sports Arena,456857.0,
594,ATL,1981,26.5,42,40,43,39,0.54,0.27,0.81,105.1,104.6,0.5,95.1,0.35200000000000004,0.019,0.529,0.47600000000000003,14.6,32.2,0.271,0.473,15.6,67.6,0.282,Omni Coliseum,314593.0,
683,CLE,1981,26.1,15,67,20,62,-8.51,0.74,-7.77,103.3,111.8,-8.5,99.3,0.297,0.019,0.51,0.466,13.7,32.0,0.222,0.515,14.7,65.9,0.271,Coliseum at Richfield,232421.0,
732,SDC,1981,25.4,17,65,23,59,-7.39,0.34,-7.05,106.6,113.8,-7.2,101.4,0.33,0.048,0.547,0.507,16.2,33.2,0.23800000000000002,0.529,13.9,68.0,0.28,San Diego Sports Arena,225036.0,
