,TEAM,SEASON,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,ARENA,ATTENDANCE,ATTENDANCE/G
39,CHI,2018,24.0,22,60,21,61,-8.41,0.1,-8.32,104.8,113.2,-8.4,99.0,0.235,0.295,0.541,0.505,12.7,19.4,0.184,0.541,11.9,77.3,0.188,United Center,823475.0,20085.0
79,LAL,2018,26.2,37,45,37,45,-1.72,0.39,-1.33,107.8,109.5,-1.7,103.2,0.257,0.342,0.5539999999999999,0.527,13.4,22.2,0.18,0.516,12.2,76.4,0.192,STAPLES Center,778877.0,18997.0
119,BOS,2018,25.7,49,33,52,30,4.44,-0.54,3.9,112.2,107.8,4.4,99.6,0.215,0.381,0.5670000000000001,0.534,11.5,21.6,0.17300000000000001,0.514,13.4,77.0,0.198,TD Garden,763584.0,18624.0
188,UTA,2018,27.3,50,32,54,28,5.26,0.03,5.28,110.9,105.7,5.2,100.3,0.295,0.39399999999999996,0.5720000000000001,0.5379999999999999,13.4,22.9,0.217,0.507,12.4,80.3,0.18899999999999997,Vivint Smart Home Arena,750546.0,18306.0
219,MIA,2018,27.0,39,43,40,42,-0.23,-0.22,-0.45,107.3,107.6,-0.3,98.2,0.247,0.368,0.542,0.515,13.1,24.8,0.172,0.51,12.7,77.6,0.201,AmericanAirlines Arena,805264.0,19641.0
259,PHI,2018,26.4,51,31,48,34,2.7,-0.44,2.25,112.6,110.0,2.6,101.6,0.312,0.342,0.574,0.532,12.9,24.5,0.24100000000000002,0.512,11.1,78.6,0.20600000000000002,Wells Fargo Center,838342.0,20447.0
299,SAS,2018,28.8,48,34,45,37,1.68,0.12,1.8,112.9,111.2,1.7,98.3,0.237,0.28600000000000003,0.5720000000000001,0.534,11.0,21.0,0.19399999999999998,0.528,11.0,79.4,0.17,AT&T Center,750616.0,18308.0
339,WAS,2018,26.5,32,50,34,48,-2.9,-0.4,-3.3,111.1,113.9,-2.8,101.4,0.266,0.37,0.5670000000000001,0.531,12.3,21.3,0.204,0.546,13.5,74.1,0.19899999999999998,Capital One Arena,716996.0,17448.0
379,POR,2018,26.2,53,29,51,31,4.2,0.24,4.43,114.7,110.5,4.2,99.1,0.258,0.33899999999999997,0.568,0.528,12.1,26.6,0.21,0.516,11.0,77.9,0.195,Moda Center,799345.0,19496.0
413,SAC,2018,24.8,39,43,38,44,-1.12,0.31,-0.81,110.4,111.5,-1.1,103.1,0.244,0.321,0.5539999999999999,0.524,11.5,23.1,0.177,0.5329999999999999,13.6,75.5,0.207,Golden 1 Center,700975.0,17097.0
453,HOU,2018,29.2,53,29,53,29,4.77,0.19,4.96,115.5,110.7,4.8,97.9,0.27899999999999997,0.519,0.581,0.542,12.0,22.8,0.221,0.525,13.4,74.4,0.21,Toyota Center,740392.0,18058.0
487,TOR,2018,27.3,58,24,56,26,6.09,-0.6,5.49,113.1,107.1,6.0,100.2,0.247,0.379,0.579,0.5429999999999999,12.4,21.9,0.198,0.509,13.1,77.1,0.19,Scotiabank Arena,812822.0,19825.0
