,TEAM,SEASON,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,ARENA,ATTENDANCE,ATTENDANCE/G
17,CHI,1996,30.7,69,13,68,14,10.8,-0.11,10.7,114.4,102.4,12.0,90.0,0.267,0.203,0.547,0.511,12.5,35.9,0.19899999999999998,0.47100000000000003,14.8,69.3,0.196,United Center,978457.0,
57,LAL,1996,26.5,56,26,53,29,4.27,-0.61,3.66,108.3,103.7,4.6,91.1,0.35100000000000003,0.226,0.535,0.496,13.7,31.6,0.243,0.478,15.1,68.5,0.231,Great Western Forum,697159.0,
97,BOS,1996,26.1,15,67,22,60,-7.33,0.71,-6.62,103.9,111.4,-7.5,95.8,0.316,0.191,0.52,0.474,14.5,29.4,0.237,0.539,15.8,68.5,0.243,FleetCenter,664022.0,18624.0
137,SEA,1996,30.0,57,25,62,20,7.68,-0.77,6.91,111.2,102.7,8.5,90.3,0.358,0.247,0.557,0.51,14.2,30.9,0.26899999999999996,0.49,17.7,69.1,0.242,KeyArena at Seattle Center,699952.0,
166,UTA,1996,29.6,64,18,64,18,8.79,-0.82,7.97,113.6,104.0,9.6,90.0,0.389,0.145,0.581,0.53,14.7,29.7,0.299,0.48,15.5,71.6,0.29,Delta Center,811439.0,
197,MIA,1996,27.2,61,21,57,25,5.49,0.07,5.56,106.8,100.6,6.2,88.2,0.324,0.299,0.546,0.507,15.5,29.2,0.233,0.465,15.6,70.6,0.248,Miami Arena,615160.0,
237,PHI,1996,25.5,22,60,24,58,-6.54,0.65,-5.89,104.6,111.4,-6.8,95.3,0.358,0.198,0.518,0.47,15.3,34.1,0.259,0.51,13.8,66.5,0.222,CoreStates Center,610974.0,
277,SAS,1996,29.9,20,62,19,63,-7.88,-0.05,-7.93,103.3,112.3,-9.0,87.3,0.302,0.185,0.512,0.47200000000000003,14.7,32.4,0.217,0.514,14.0,67.0,0.23600000000000002,Alamodome,706641.0,
317,WAS,1996,25.9,44,38,46,36,1.62,0.15,1.77,106.6,104.9,1.7,92.4,0.29600000000000004,0.15,0.54,0.505,14.6,30.2,0.21,0.491,15.3,70.3,0.226,US Airways Arena,700646.0,
357,POR,1996,26.4,49,33,53,29,4.17,-0.61,3.56,107.9,103.3,4.6,90.9,0.35,0.217,0.544,0.503,15.4,32.5,0.249,0.47100000000000003,14.3,72.4,0.268,Rose Garden Arena,852798.0,
391,SAC,1996,27.4,34,48,31,51,-3.38,-0.26,-3.64,105.0,108.7,-3.7,91.0,0.313,0.16,0.526,0.485,15.0,32.0,0.226,0.495,14.3,68.5,0.264,ARCO Arena (II),709993.0,
431,HOU,1996,30.8,57,25,54,28,4.48,-0.62,3.85,108.8,104.0,4.8,91.6,0.307,0.284,0.56,0.52,15.6,28.4,0.23199999999999998,0.48100000000000004,13.3,71.4,0.19,The Summit,667685.0,
465,TOR,1996,25.1,30,52,32,50,-3.12,0.57,-2.56,104.6,108.0,-3.4,90.6,0.303,0.245,0.521,0.48100000000000004,15.2,32.5,0.218,0.504,15.3,68.6,0.258,SkyDome,744550.0,
