,TEAM,SEASON,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,ARENA,ATTENDANCE,ATTENDANCE/G
24,CHI,2003,26.8,23,59,23,59,-6.35,-0.33,-6.69,96.6,103.4,-6.8,92.2,0.272,0.18600000000000003,0.486,0.446,14.9,28.1,0.19699999999999998,0.469,14.1,71.4,0.253,United Center,809177.0,19736.0
64,LAL,2003,29.8,56,26,52,30,3.9,0.45,4.35,105.5,101.3,4.2,92.3,0.35200000000000004,0.16699999999999998,0.522,0.48100000000000004,12.8,28.1,0.244,0.47100000000000003,14.3,73.3,0.222,STAPLES Center,777757.0,18970.0
104,BOS,2003,26.4,36,46,37,45,-1.45,-0.54,-1.99,102.1,103.7,-1.6,93.2,0.327,0.249,0.532,0.486,15.4,25.2,0.245,0.479,15.7,69.5,0.24,FleetCenter,664248.0,16201.0
144,SEA,2003,26.0,37,45,39,43,-0.63,0.66,0.02,107.3,108.0,-0.7,89.9,0.27,0.294,0.54,0.501,13.9,27.2,0.207,0.48700000000000004,13.9,68.5,0.237,KeyArena at Seattle Center,625474.0,15154.0
173,UTA,2003,24.9,42,40,37,45,-1.22,0.69,-0.53,101.9,103.3,-1.4,86.6,0.35600000000000004,0.127,0.509,0.456,16.1,34.1,0.266,0.46799999999999997,15.4,72.4,0.319,Delta Center,785330.0,19154.0
204,MIA,2003,26.4,42,40,43,39,0.52,-0.65,-0.13,102.2,101.7,0.5,88.0,0.298,0.21100000000000002,0.51,0.46299999999999997,13.5,27.4,0.22699999999999998,0.46299999999999997,14.5,73.4,0.26,AmericanAirlines Arena,624809.0,15239.0
244,PHI,2003,27.5,33,49,33,49,-2.49,-0.46,-2.95,99.1,101.9,-2.8,88.0,0.321,0.158,0.505,0.456,15.5,28.2,0.242,0.467,14.7,70.7,0.231,Wachovia Center,788128.0,19223.0
284,SAS,2003,27.3,57,25,62,20,7.22,0.29,7.51,102.2,94.1,8.1,89.2,0.322,0.177,0.511,0.473,14.1,29.5,0.21899999999999997,0.433,14.8,74.6,0.215,SBC Center,739706.0,18042.0
324,WAS,2003,24.4,25,57,25,57,-5.63,-0.48,-6.12,98.8,104.8,-6.0,92.2,0.337,0.19399999999999998,0.5,0.45399999999999996,16.0,30.7,0.24100000000000002,0.486,14.9,69.5,0.214,MCI Center,645363.0,15741.0
364,POR,2003,27.6,41,41,37,45,-1.27,0.69,-0.58,103.7,105.1,-1.4,86.2,0.267,0.17,0.515,0.478,14.4,31.2,0.195,0.48200000000000004,13.3,70.0,0.18600000000000003,Rose Garden Arena,684038.0,16684.0
398,SAC,2003,29.3,55,27,55,27,5.01,0.4,5.41,110.3,104.9,5.4,92.8,0.305,0.223,0.5539999999999999,0.507,13.0,26.0,0.242,0.483,13.7,69.8,0.193,ARCO Arena (II),709997.0,17317.0
438,HOU,2003,28.3,45,37,47,35,1.73,0.55,2.28,100.9,99.0,1.9,87.8,0.28600000000000003,0.22699999999999998,0.528,0.484,16.4,26.5,0.221,0.447,13.1,74.5,0.233,Toyota Center,640794.0,15629.0
472,TOR,2003,27.6,33,49,31,51,-3.01,-0.4,-3.42,97.0,100.4,-3.4,86.8,0.26,0.204,0.495,0.45399999999999996,14.1,23.8,0.195,0.449,14.1,70.1,0.24100000000000002,Air Canada Centre,750608.0,18308.0
496,MEM,2003,26.0,50,32,48,34,2.44,0.52,2.95,104.8,102.2,2.6,91.4,0.322,0.19699999999999998,0.522,0.479,13.9,29.5,0.23399999999999999,0.465,15.7,68.4,0.251,Pyramid Arena,622723.0,15188.0
536,GSW,2003,28.1,37,45,39,43,-0.73,0.66,-0.07,103.0,103.8,-0.8,89.8,0.311,0.19699999999999998,0.517,0.475,14.1,28.4,0.226,0.47600000000000003,13.3,72.1,0.21100000000000002,The Arena in Oakland,665648.0,16235.0
576,DEN,2003,25.6,43,39,44,38,1.07,0.58,1.65,103.9,102.7,1.2,93.3,0.319,0.146,0.517,0.467,14.2,30.5,0.245,0.48100000000000004,15.6,69.3,0.221,Pepsi Center,721476.0,17597.0
616,ATL,2003,26.2,28,54,28,54,-4.65,-0.36,-5.0,101.0,106.1,-5.1,90.8,0.303,0.191,0.514,0.465,15.4,28.6,0.235,0.47600000000000003,13.1,70.5,0.23399999999999999,Philips Arena,565728.0,13798.0
665,ORL,2003,25.8,21,61,22,60,-7.02,-0.23,-7.25,102.7,110.4,-7.7,90.8,0.29600000000000004,0.184,0.504,0.461,12.8,28.1,0.218,0.502,12.7,68.7,0.214,TD Waterhouse Centre,589144.0,14369.0
705,CLE,2003,24.9,35,47,33,49,-2.62,-0.44,-3.07,101.4,104.2,-2.8,90.8,0.301,0.11599999999999999,0.498,0.451,13.7,31.1,0.226,0.469,12.3,73.0,0.221,Gund Arena,749790.0,18288.0
722,NOH,2003,30.3,41,41,41,41,-0.1,-0.62,-0.72,102.3,102.4,-0.1,89.1,0.293,0.252,0.505,0.46,14.1,30.6,0.22,0.47600000000000003,15.0,71.3,0.218,New Orleans Arena,587613.0,14332.0
759,NYK,2003,29.6,39,43,36,46,-1.48,-0.49,-1.97,101.7,103.3,-1.6,89.5,0.266,0.171,0.518,0.474,15.1,28.0,0.21100000000000002,0.461,13.2,72.8,0.259,Madison Square Garden (IV),785739.0,19164.0
799,IND,2003,27.1,61,21,58,24,5.76,-0.82,4.93,103.8,97.2,6.6,87.5,0.319,0.203,0.52,0.47100000000000003,14.1,28.5,0.243,0.45899999999999996,15.7,73.9,0.218,Conseco Fieldhouse,678326.0,16545.0
839,MIL,2003,26.5,41,41,44,38,1.06,-0.64,0.42,106.5,105.4,1.1,91.6,0.33,0.172,0.528,0.47700000000000004,12.7,27.6,0.255,0.485,13.3,71.8,0.213,Bradley Center,690180.0,16834.0
874,LAC,2003,24.3,28,54,28,54,-4.59,0.84,-3.74,103.5,108.5,-5.0,91.0,0.35,0.156,0.512,0.45299999999999996,15.0,32.8,0.275,0.494,12.9,70.0,0.231,STAPLES Center,665396.0,16143.0
913,DAL,2003,27.4,52,30,53,29,4.44,0.42,4.86,112.1,107.4,4.7,93.2,0.256,0.201,0.536,0.495,11.1,31.4,0.204,0.498,13.9,71.6,0.214,American Airlines Center,825594.0,20136.0
953,PHO,2003,24.4,29,53,30,52,-3.74,0.8,-2.94,101.4,105.5,-4.1,92.6,0.28,0.18,0.515,0.475,14.3,26.6,0.209,0.48200000000000004,14.7,69.9,0.24,America West Arena,670385.0,16351.0
993,DET,2003,27.4,54,28,59,23,5.84,-0.81,5.04,102.0,95.4,6.6,87.9,0.32799999999999996,0.153,0.511,0.461,14.7,30.1,0.247,0.441,15.5,71.8,0.20199999999999999,The Palace of Auburn Hills,872902.0,21290.0
1023,MIN,2003,29.7,58,24,57,25,5.49,0.37,5.86,105.9,99.7,6.2,89.0,0.265,0.13699999999999998,0.528,0.486,12.4,26.7,0.207,0.444,12.9,72.5,0.215,Target Center,723071.0,17636.0
1063,NJN,2003,27.7,47,35,49,33,2.5,-0.63,1.88,100.8,98.0,2.8,89.4,0.29100000000000004,0.17600000000000002,0.515,0.47100000000000003,14.4,25.9,0.21899999999999997,0.46,15.7,73.9,0.221,Continental Airlines Arena,613051.0,14952.0
