,TEAM,SEASON,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,ARENA,ATTENDANCE,ATTENDANCE/G
15,CHI,1994,28.1,47,35,54,28,4.83,-0.51,4.32,109.5,104.3,5.2,92.0,0.308,0.177,0.546,0.509,14.5,32.9,0.22399999999999998,0.488,16.7,68.2,0.263,United Center,926218.0,
55,LAL,1994,25.9,48,34,40,42,-0.22,0.21,-0.01,109.1,109.4,-0.3,95.2,0.292,0.21,0.539,0.5,13.4,31.3,0.215,0.5,14.8,64.4,0.22399999999999998,Great Western Forum,591125.0,16760.0
95,BOS,1994,27.2,35,47,36,46,-1.88,-0.04,-1.92,108.6,110.6,-2.0,94.0,0.331,0.14400000000000002,0.537,0.491,14.3,33.1,0.249,0.512,13.6,68.6,0.235,Boston Garden,606070.0,14890.0
135,SEA,1994,28.7,57,25,61,21,8.18,-0.27,7.91,114.8,106.3,8.5,95.5,0.38,0.19399999999999998,0.575,0.527,14.1,32.6,0.28800000000000003,0.49200000000000005,16.1,68.7,0.278,Tacoma Dome,633604.0,17368.0
164,UTA,1994,29.6,60,22,61,21,7.99,-0.23,7.76,114.3,105.7,8.6,92.6,0.392,0.126,0.5870000000000001,0.535,14.8,29.1,0.306,0.496,15.5,72.5,0.292,Delta Center,811159.0,
195,MIA,1994,27.1,32,50,36,46,-1.63,-0.21,-1.85,108.2,109.9,-1.7,92.9,0.317,0.175,0.54,0.499,14.4,31.7,0.233,0.51,14.9,68.7,0.264,Miami Arena,598761.0,14259.0
235,PHI,1994,25.1,24,58,27,55,-5.07,0.01,-5.06,104.1,109.7,-5.6,91.0,0.32299999999999995,0.142,0.521,0.475,15.3,32.3,0.23800000000000002,0.5,14.6,66.1,0.235,CoreStates Spectrum,507806.0,
275,SAS,1994,29.0,62,20,57,25,5.96,-0.06,5.9,111.7,105.4,6.3,94.6,0.37200000000000005,0.17300000000000001,0.562,0.516,13.8,30.9,0.275,0.485,13.0,72.3,0.214,Alamodome,920413.0,33072.0
315,WAS,1994,24.5,21,61,26,56,-5.6,0.04,-5.56,105.4,111.3,-5.9,94.5,0.292,0.183,0.529,0.49200000000000005,14.3,29.3,0.21100000000000002,0.512,14.9,66.7,0.262,US Airways Arena,689463.0,
355,POR,1994,29.3,44,38,52,30,3.82,-0.02,3.8,109.7,105.7,4.0,93.8,0.313,0.177,0.521,0.483,13.0,37.1,0.218,0.491,14.8,73.5,0.27699999999999997,Memorial Coliseum,529759.0,12888.0
389,SAC,1994,26.4,39,43,38,44,-1.0,0.26,-0.74,105.5,106.5,-1.0,92.3,0.359,0.16,0.5379999999999999,0.496,16.2,32.1,0.255,0.48100000000000004,15.0,67.0,0.28,ARCO Arena (II),709997.0,
429,HOU,1994,28.5,47,35,47,35,2.12,0.2,2.32,109.7,107.4,2.3,94.2,0.31,0.267,0.568,0.529,15.0,26.9,0.23199999999999998,0.489,13.9,67.7,0.19899999999999998,The Summit,653389.0,16503.0
527,GSW,1994,26.0,26,56,27,55,-5.41,0.51,-4.9,106.7,112.2,-5.5,97.9,0.348,0.233,0.547,0.508,15.9,30.3,0.245,0.522,13.9,66.5,0.21600000000000003,Oakland-Alameda County Coliseum Arena,616025.0,
567,DEN,1994,26.6,41,41,43,39,0.84,0.11,0.96,109.1,108.2,0.9,91.5,0.35700000000000004,0.18,0.556,0.511,15.6,32.0,0.263,0.48700000000000004,13.2,70.2,0.257,McNichols Sports Arena,704011.0,
607,ATL,1994,28.2,42,40,45,37,1.28,-0.22,1.06,106.6,105.2,1.4,89.8,0.292,0.237,0.525,0.48700000000000004,13.9,31.6,0.21100000000000002,0.495,15.6,68.4,0.215,Omni Coliseum,504807.0,10291.0
638,CHO,1994,28.0,50,32,50,32,3.28,-0.41,2.87,109.6,106.1,3.5,91.2,0.317,0.21899999999999997,0.562,0.517,14.3,26.0,0.247,0.485,13.8,68.5,0.20199999999999999,Charlotte Coliseum,971618.0,23698.0
656,ORL,1994,26.6,57,25,59,23,7.06,-0.62,6.44,115.1,107.8,7.3,95.1,0.35700000000000004,0.205,0.569,0.539,14.0,34.0,0.239,0.49,13.3,68.4,0.22,Orlando Arena,656410.0,
696,CLE,1994,28.3,43,39,43,39,0.62,-0.07,0.55,105.3,104.6,0.7,84.8,0.317,0.165,0.52,0.47200000000000003,14.2,31.8,0.24100000000000002,0.493,15.0,72.4,0.22399999999999998,Gund Arena,833850.0,20562.0
750,NYK,1994,29.4,55,27,50,32,3.11,-0.33,2.78,107.2,103.8,3.4,91.2,0.331,0.226,0.55,0.508,15.1,28.6,0.243,0.46799999999999997,14.4,70.8,0.281,Madison Square Garden (IV),810283.0,19763.0
790,IND,1994,28.7,52,30,52,30,3.7,-0.34,3.35,109.6,105.6,4.0,90.0,0.38299999999999995,0.158,0.557,0.507,15.5,32.8,0.287,0.493,15.8,68.6,0.237,Market Square Arena,654428.0,14601.0
830,MIL,1994,25.7,34,48,29,53,-4.37,0.07,-4.3,106.2,110.9,-4.7,92.7,0.34299999999999997,0.205,0.537,0.496,15.5,31.3,0.244,0.53,15.3,68.3,0.23,Bradley Center,670720.0,
865,LAC,1994,24.9,17,65,18,64,-9.16,0.73,-8.43,101.5,111.1,-9.6,94.3,0.302,0.153,0.508,0.46799999999999997,14.6,29.6,0.214,0.526,16.6,65.7,0.29,Los Angeles Memorial Sports Arena,438244.0,
904,DAL,1994,24.3,36,46,33,49,-2.9,0.51,-2.39,107.6,110.6,-3.0,94.7,0.301,0.163,0.509,0.466,13.9,38.9,0.221,0.519,13.7,69.8,0.20800000000000002,Reunion Arena,678433.0,17502.0
944,PHO,1994,29.2,59,23,51,31,3.88,-0.02,3.86,114.5,110.4,4.1,95.9,0.33799999999999997,0.22699999999999998,0.5670000000000001,0.524,12.7,29.7,0.255,0.515,14.0,69.8,0.228,America West Arena,779943.0,
984,DET,1994,26.9,28,54,22,60,-7.29,0.21,-7.08,105.1,112.9,-7.8,93.2,0.293,0.21,0.5379999999999999,0.499,15.0,28.3,0.217,0.51,14.2,65.8,0.299,The Palace of Auburn Hills,719090.0,21454.0
1014,MIN,1994,25.4,21,61,18,64,-9.0,0.78,-8.22,102.6,112.4,-9.8,91.4,0.379,0.163,0.532,0.475,16.2,27.7,0.293,0.51,14.8,64.1,0.28,Target Center,603518.0,
1054,NJN,1994,27.5,30,52,32,50,-3.13,-0.14,-3.28,105.2,108.6,-3.4,92.3,0.342,0.192,0.519,0.467,14.4,33.3,0.26,0.493,12.4,70.9,0.217,Brendan Byrne Arena,684102.0,15409.0
