,TEAM,SEASON,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,ARENA,ATTENDANCE,ATTENDANCE/G
6,CHI,1985,26.6,30,52,31,51,-3.8,0.69,-3.12,108.6,112.4,-3.8,99.7,0.34600000000000003,0.044000000000000004,0.5379999999999999,0.48700000000000004,14.7,35.1,0.266,0.509,13.5,67.4,0.28,Chicago Stadium,469226.0,11445.0
46,LAL,1985,28.1,62,20,59,23,7.74,-0.91,6.84,113.3,105.8,7.5,102.7,0.317,0.055999999999999994,0.575,0.532,14.9,33.1,0.247,0.484,13.5,69.8,0.239,The Forum,691071.0,16839.0
86,BOS,1985,29.3,67,15,63,19,9.41,-0.36,9.06,111.8,102.6,9.2,101.2,0.307,0.054000000000000006,0.564,0.518,14.1,31.3,0.244,0.466,13.0,71.7,0.21600000000000003,Boston Garden,610571.0,14890.0
126,SEA,1985,26.6,31,51,41,41,-0.1,-0.37,-0.47,105.9,106.0,-0.1,97.4,0.33,0.042,0.53,0.478,15.1,33.2,0.257,0.49200000000000005,15.7,68.7,0.282,Seattle Center Coliseum,329296.0,9374.0
155,UTA,1985,26.3,42,40,40,42,-0.37,-0.3,-0.67,104.2,104.6,-0.4,103.3,0.38,0.024,0.536,0.49,15.5,29.8,0.272,0.47700000000000004,15.4,67.2,0.258,Salt Palace,477833.0,11030.0
226,PHI,1985,28.0,54,28,47,35,2.35,0.11,2.46,108.6,106.3,2.3,100.5,0.39799999999999996,0.032,0.546,0.49,16.1,37.3,0.302,0.499,15.6,66.7,0.21100000000000002,The Spectrum,513459.0,9803.0
266,SAS,1985,27.8,35,47,36,46,-1.85,-0.2,-2.06,106.5,108.2,-1.7,103.8,0.355,0.027999999999999997,0.555,0.509,16.5,31.7,0.265,0.499,15.2,67.6,0.26,HemisFair Arena,336369.0,6967.0
306,WAS,1985,27.1,39,43,36,46,-1.8,0.53,-1.28,103.0,104.8,-1.8,99.1,0.32,0.057,0.518,0.47100000000000003,14.2,29.1,0.23800000000000002,0.47200000000000003,14.2,66.1,0.22399999999999998,Capital Centre,373802.0,8465.0
346,POR,1985,26.6,40,42,44,38,1.06,-0.45,0.61,109.2,108.2,1.0,104.5,0.384,0.038,0.5539999999999999,0.501,15.2,32.8,0.294,0.507,16.4,66.3,0.275,Memorial Coliseum,519306.0,12666.0
380,SAC,1985,26.6,37,45,33,49,-3.07,-0.12,-3.19,106.2,109.2,-3.0,102.0,0.324,0.019,0.541,0.49200000000000005,15.7,32.7,0.252,0.499,14.4,67.5,0.273,ARCO Arena (I),423653.0,10333.0
420,HOU,1985,26.0,51,31,48,34,2.61,-0.51,2.1,110.1,107.6,2.5,103.5,0.317,0.04,0.536,0.496,13.6,35.5,0.23199999999999998,0.49700000000000005,14.8,67.2,0.243,The Summit,604644.0,13513.0
518,GSW,1985,26.8,30,52,33,49,-3.45,-0.14,-3.59,108.3,111.6,-3.3,104.2,0.33299999999999996,0.037000000000000005,0.536,0.488,13.9,33.5,0.253,0.524,14.9,66.7,0.24100000000000002,Oakland-Alameda County Coliseum Arena,401205.0,10901.0
558,DEN,1985,28.1,47,35,44,38,1.3,-0.42,0.89,107.1,105.9,1.2,106.7,0.307,0.039,0.527,0.475,13.0,30.9,0.245,0.495,16.9,64.1,0.266,McNichols Sports Arena,531824.0,12610.0
598,ATL,1985,25.3,50,32,47,35,2.37,0.22,2.59,107.9,105.6,2.3,100.0,0.385,0.024,0.542,0.493,15.3,34.9,0.282,0.48100000000000004,15.4,66.7,0.26899999999999996,Omni Coliseum,377351.0,9334.0
687,CLE,1985,27.0,29,53,34,48,-2.87,0.68,-2.19,105.5,108.3,-2.8,101.6,0.321,0.054000000000000006,0.535,0.49,14.6,30.3,0.24100000000000002,0.48,13.6,68.5,0.292,Coliseum at Richfield,391842.0,10450.0
741,NYK,1985,25.5,23,59,26,56,-5.61,0.79,-4.82,99.5,105.2,-5.7,98.6,0.318,0.034,0.505,0.466,15.2,29.5,0.218,0.484,17.1,65.0,0.315,Madison Square Garden (IV),592484.0,14452.0
781,IND,1985,25.0,26,56,32,50,-3.33,0.67,-2.66,102.6,105.9,-3.3,100.9,0.305,0.02,0.525,0.483,15.7,31.5,0.226,0.479,13.7,71.3,0.27699999999999997,Market Square Arena,460969.0,13168.0
821,MIL,1985,26.0,57,25,62,20,9.04,-0.35,8.69,111.4,102.7,8.7,102.1,0.369,0.052000000000000005,0.552,0.501,13.9,33.8,0.282,0.473,16.6,67.4,0.281,MECCA Arena,443064.0,10451.0
856,LAC,1985,27.0,32,50,24,58,-6.93,0.1,-6.83,105.4,112.1,-6.7,102.7,0.374,0.032,0.534,0.47700000000000004,15.3,32.0,0.28800000000000003,0.512,14.0,64.0,0.225,Los Angeles Memorial Sports Arena,337814.0,7663.0
