,TEAM,SEASON,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,ARENA,ATTENDANCE,ATTENDANCE/G
7,CHI,1986,25.4,40,42,43,39,0.89,0.37,1.26,108.6,107.6,1.0,95.8,0.315,0.042,0.528,0.478,13.4,35.0,0.245,0.491,13.8,70.0,0.251,Chicago Stadium,650818.0,
47,LAL,1986,27.8,65,17,62,20,9.3,-0.99,8.32,115.6,106.5,9.1,101.6,0.35200000000000004,0.062,0.5770000000000001,0.528,14.0,34.1,0.278,0.47600000000000003,13.8,66.3,0.23,The Forum,681207.0,
87,BOS,1986,29.4,59,23,57,25,6.65,-0.08,6.57,113.5,106.8,6.7,98.6,0.305,0.08,0.5770000000000001,0.532,14.0,29.0,0.247,0.47100000000000003,12.0,67.6,0.217,Boston Garden,611222.0,14890.0
127,SEA,1986,26.1,39,43,42,40,0.46,-0.39,0.08,110.7,110.3,0.4,101.8,0.345,0.077,0.5429999999999999,0.495,15.0,37.6,0.261,0.486,13.5,66.0,0.29600000000000004,Seattle Center Coliseum,356352.0,
156,UTA,1986,26.9,44,38,42,40,0.4,-0.36,0.04,104.1,103.7,0.4,103.2,0.318,0.06,0.516,0.473,14.1,31.2,0.231,0.466,15.7,65.2,0.26899999999999996,Salt Palace,491382.0,
227,PHI,1986,26.6,45,37,40,42,-0.2,0.31,0.11,108.3,108.5,-0.2,97.3,0.385,0.05,0.5489999999999999,0.49700000000000005,16.1,34.9,0.29,0.499,14.5,65.7,0.215,The Spectrum,587748.0,
267,SAS,1986,27.1,28,54,28,54,-5.1,0.01,-5.09,105.9,110.8,-4.9,101.7,0.307,0.054000000000000006,0.525,0.48200000000000004,14.2,34.3,0.228,0.514,14.5,68.1,0.244,HemisFair Arena,341132.0,
307,WAS,1986,25.9,42,40,37,45,-1.37,0.35,-1.02,105.7,107.0,-1.3,100.2,0.342,0.028999999999999998,0.511,0.457,13.3,34.5,0.262,0.48,14.6,63.4,0.222,Capital Centre,485316.0,
347,POR,1986,26.9,49,33,49,33,3.13,-0.57,2.57,111.5,108.6,2.9,105.0,0.40399999999999997,0.047,0.5660000000000001,0.51,15.3,34.1,0.313,0.493,14.8,66.6,0.265,Memorial Coliseum,519306.0,
381,SAC,1986,26.3,29,53,33,49,-3.22,-0.12,-3.34,108.9,112.1,-3.2,101.3,0.33399999999999996,0.040999999999999995,0.535,0.48,14.2,35.2,0.266,0.498,12.4,67.8,0.257,ARCO Arena (I),423653.0,
