,TEAM,SEASON,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,ARENA,ATTENDANCE,ATTENDANCE/G
11,CHI,1990,26.9,61,21,63,19,9.1,-0.53,8.57,114.6,105.2,9.4,95.6,0.29600000000000004,0.06,0.56,0.521,12.8,34.7,0.225,0.488,15.3,68.8,0.226,Chicago Stadium,757745.0,
51,LAL,1990,28.4,58,24,59,23,6.74,-0.01,6.73,112.1,105.0,7.1,94.1,0.327,0.10800000000000001,0.551,0.5,13.2,33.0,0.261,0.474,12.8,68.3,0.17600000000000002,Great Western Forum,682024.0,17505.0
91,BOS,1990,28.2,56,26,56,26,5.82,-0.6,5.22,112.6,106.7,5.9,98.5,0.27699999999999997,0.048,0.565,0.52,14.0,33.0,0.228,0.465,11.7,69.3,0.217,Boston Garden,611537.0,
131,SEA,1990,26.2,41,41,44,38,1.23,0.08,1.31,109.7,108.5,1.2,96.2,0.301,0.06,0.542,0.501,14.8,36.3,0.226,0.503,16.0,66.3,0.27699999999999997,Seattle Center Coliseum,501250.0,
160,UTA,1990,28.7,54,28,50,32,3.33,-0.15,3.18,108.6,105.1,3.5,95.3,0.37799999999999995,0.07,0.5589999999999999,0.503,14.6,27.6,0.298,0.473,13.7,69.2,0.23,Salt Palace,514751.0,
191,MIA,1990,24.0,24,58,25,57,-5.99,0.08,-5.91,102.0,108.1,-6.1,99.3,0.32299999999999995,0.065,0.512,0.469,16.0,34.3,0.231,0.491,15.3,66.2,0.28600000000000003,Miami Arena,615328.0,
231,PHI,1990,28.4,44,38,41,41,-0.18,-0.21,-0.39,107.9,108.1,-0.2,95.7,0.342,0.08900000000000001,0.542,0.489,13.4,28.1,0.27,0.489,12.5,68.3,0.187,The Spectrum,624582.0,
271,SAS,1990,26.0,55,27,53,29,4.51,-0.21,4.3,107.8,103.3,4.5,98.6,0.35200000000000004,0.043,0.544,0.494,15.2,33.3,0.26899999999999996,0.46299999999999997,13.2,70.3,0.228,HemisFair Arena,651965.0,
311,WAS,1990,26.5,30,52,28,54,-4.98,0.14,-4.84,103.0,108.1,-5.1,97.5,0.27899999999999997,0.039,0.509,0.47,14.3,32.2,0.203,0.478,13.1,66.0,0.242,Capital Centre,443683.0,
351,POR,1990,27.9,63,19,62,20,8.68,-0.21,8.47,112.8,104.3,8.5,100.5,0.344,0.12300000000000001,0.5539999999999999,0.509,13.4,33.8,0.259,0.473,14.4,70.4,0.25,Memorial Coliseum,528244.0,12884.0
385,SAC,1990,25.9,25,57,23,59,-6.78,0.51,-6.27,102.0,109.1,-7.1,94.7,0.309,0.085,0.512,0.46799999999999997,14.1,28.8,0.226,0.48100000000000004,14.3,65.6,0.306,ARCO Arena (II),697604.0,
425,HOU,1990,27.3,52,30,50,32,3.5,-0.23,3.27,107.4,103.9,3.5,98.5,0.302,0.136,0.53,0.489,14.5,34.4,0.22399999999999998,0.469,14.7,66.9,0.22,The Summit,613230.0,
523,GSW,1990,26.5,44,38,45,37,1.63,0.09,1.72,111.9,110.3,1.6,103.6,0.376,0.109,0.5589999999999999,0.504,13.7,31.0,0.294,0.49700000000000005,15.2,64.1,0.289,Oakland-Alameda County Coliseum Arena,616025.0,
563,DEN,1990,26.5,20,62,19,63,-10.91,0.6,-10.31,105.2,114.7,-9.5,113.7,0.255,0.11900000000000001,0.498,0.457,11.9,33.1,0.195,0.524,14.1,67.1,0.299,McNichols Sports Arena,438103.0,
603,ATL,1990,29.0,43,39,43,39,0.77,-0.05,0.72,110.9,110.1,0.8,98.6,0.35200000000000004,0.11599999999999999,0.54,0.48200000000000004,12.9,33.1,0.282,0.509,13.7,69.1,0.22,Omni Coliseum,529161.0,
634,CHO,1990,25.5,26,56,27,55,-5.24,0.3,-4.95,105.0,110.4,-5.4,97.3,0.315,0.059000000000000004,0.526,0.47700000000000004,13.9,29.0,0.245,0.504,15.0,65.7,0.272,Charlotte Coliseum,978141.0,
652,ORL,1990,26.1,31,51,31,51,-3.98,0.18,-3.79,105.9,109.9,-4.0,99.5,0.337,0.10400000000000001,0.521,0.473,14.3,33.0,0.251,0.493,12.8,68.9,0.26,Orlando Arena,617668.0,
692,CLE,1990,26.8,33,49,34,48,-2.46,0.14,-2.33,106.1,108.7,-2.6,95.1,0.317,0.07,0.534,0.48700000000000004,14.1,29.7,0.243,0.49700000000000005,13.3,68.0,0.20600000000000002,Coliseum at Richfield,623735.0,
746,NYK,1990,28.1,39,43,40,42,-0.23,-0.2,-0.43,107.1,107.3,-0.2,95.0,0.315,0.08199999999999999,0.544,0.498,15.1,31.1,0.242,0.489,13.4,68.5,0.205,Madison Square Garden (IV),654962.0,
786,IND,1990,26.4,41,41,40,42,-0.39,0.02,-0.37,111.7,112.1,-0.4,99.4,0.354,0.107,0.5660000000000001,0.511,14.4,30.6,0.287,0.503,13.1,66.4,0.254,Market Square Arena,465650.0,
826,MIL,1990,29.3,48,34,48,34,2.48,-0.15,2.33,109.7,107.2,2.5,96.1,0.32299999999999995,0.10800000000000001,0.55,0.499,14.3,31.8,0.258,0.5,16.4,66.1,0.259,Bradley Center,673687.0,
861,LAC,1990,25.1,31,51,32,50,-3.45,0.29,-3.16,103.0,106.5,-3.5,99.9,0.311,0.059000000000000004,0.511,0.47100000000000003,14.7,33.3,0.218,0.48100000000000004,13.7,69.2,0.266,Los Angeles Memorial Sports Arena,522111.0,
900,DAL,1990,30.6,28,54,29,53,-4.57,0.31,-4.27,105.5,110.3,-4.8,94.2,0.28800000000000003,0.087,0.528,0.485,13.3,28.3,0.21899999999999997,0.495,12.6,67.9,0.245,Reunion Arena,683927.0,
940,PHO,1990,26.9,55,27,57,25,6.55,-0.06,6.49,112.6,106.1,6.5,101.0,0.37200000000000005,0.06,0.5579999999999999,0.506,13.5,33.0,0.287,0.474,13.1,68.5,0.22699999999999998,Arizona Veterans Memorial Coliseum,589591.0,
980,DET,1990,30.5,50,32,50,32,3.27,-0.19,3.08,108.2,104.6,3.6,91.9,0.322,0.064,0.523,0.474,13.1,34.7,0.245,0.46399999999999997,12.8,71.0,0.248,The Palace of Auburn Hills,879614.0,
1010,MIN,1990,26.2,29,53,30,52,-3.93,0.18,-3.75,106.7,110.9,-4.2,92.3,0.28600000000000003,0.052000000000000005,0.499,0.456,11.5,34.9,0.21,0.502,13.8,65.9,0.248,Target Center,779530.0,
1050,NJN,1990,26.2,26,56,29,53,-4.51,-0.02,-4.53,102.9,107.4,-4.5,99.3,0.301,0.079,0.5,0.455,14.4,35.7,0.222,0.478,14.9,64.6,0.267,Brendan Byrne Arena,480786.0,
