,TEAM,SEASON,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,ARENA,ATTENDANCE,ATTENDANCE/G
3,CHI,1982,24.5,28,54,29,53,-4.89,0.48,-4.41,103.4,108.0,-4.6,106.1,0.365,0.027999999999999997,0.532,0.483,16.9,34.0,0.26899999999999996,0.498,14.3,67.9,0.237,Chicago Stadium,296411.0,
43,LAL,1982,26.9,58,24,55,27,5.55,-0.49,5.06,110.5,105.2,5.3,103.8,0.27,0.013000000000000001,0.561,0.528,15.9,36.3,0.19899999999999998,0.494,15.5,65.3,0.191,The Forum,598739.0,13763.0
83,BOS,1982,27.3,56,26,55,27,5.35,-0.01,5.34,106.9,101.8,5.1,104.0,0.311,0.025,0.536,0.494,15.2,34.7,0.22899999999999998,0.473,16.0,68.1,0.23600000000000002,Boston Garden,621829.0,15320.0
123,SEA,1982,27.4,48,34,49,33,3.21,-0.33,2.88,105.9,102.8,3.1,103.2,0.33799999999999997,0.019,0.539,0.496,15.5,32.5,0.247,0.46399999999999997,14.3,66.2,0.21,King County Domed Stadium,539622.0,
152,UTA,1982,25.8,30,52,30,52,-4.2,-0.03,-4.22,101.2,105.1,-3.9,107.3,0.332,0.025,0.531,0.483,16.7,29.0,0.251,0.48100000000000004,15.2,63.9,0.20800000000000002,Salt Palace,355219.0,
223,PHI,1982,26.7,65,17,60,22,7.67,-0.14,7.53,108.3,100.9,7.4,102.7,0.36700000000000005,0.015,0.5489999999999999,0.501,16.3,37.1,0.273,0.46399999999999997,15.8,66.2,0.217,The Spectrum,612203.0,17072.0
263,SAS,1982,27.2,53,29,50,32,3.66,-0.56,3.1,110.1,106.6,3.5,103.3,0.336,0.042,0.556,0.51,15.1,35.3,0.257,0.489,14.4,69.1,0.228,HemisFair Arena,379876.0,
303,WAS,1982,25.8,42,40,41,41,-0.13,0.33,0.2,99.1,99.3,-0.2,99.4,0.292,0.034,0.511,0.473,16.6,30.4,0.20600000000000002,0.47100000000000003,16.2,68.6,0.214,Capital Centre,368281.0,
343,POR,1982,25.5,46,36,47,35,2.13,-0.25,1.88,106.0,103.9,2.1,101.0,0.353,0.021,0.535,0.488,15.4,33.3,0.26,0.49,16.0,67.9,0.218,Memorial Coliseum,483974.0,
417,HOU,1982,29.0,14,68,14,68,-11.6,0.48,-11.12,97.0,108.3,-11.3,102.2,0.26,0.036000000000000004,0.491,0.45299999999999996,15.9,30.8,0.188,0.505,15.4,65.4,0.24600000000000002,The Summit,291315.0,
491,KCK,1982,24.5,45,37,45,37,1.45,-0.41,1.04,106.2,104.9,1.3,106.6,0.33799999999999997,0.028999999999999998,0.542,0.5,16.4,34.3,0.24600000000000002,0.49,16.8,65.8,0.29100000000000004,Kemper Arena,309597.0,
515,GSW,1982,24.7,30,52,32,50,-3.62,0.14,-3.48,103.9,107.4,-3.5,104.0,0.293,0.02,0.526,0.485,15.9,33.9,0.21600000000000003,0.513,16.9,64.6,0.24100000000000002,Oakland-Alameda County Coliseum Arena,341365.0,
