,TEAM,SEASON,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,ARENA,ATTENDANCE,ATTENDANCE/G
12,CHI,1991,27.6,67,15,66,16,10.44,-0.37,10.07,115.5,104.5,11.0,94.4,0.297,0.063,0.556,0.518,11.8,35.1,0.221,0.47600000000000003,14.1,69.3,0.21899999999999997,Chicago Stadium,759980.0,
52,LAL,1991,28.3,43,39,38,44,-1.1,0.15,-0.95,107.7,108.9,-1.2,92.5,0.327,0.064,0.516,0.465,12.0,32.7,0.25,0.493,13.8,64.0,0.187,Great Western Forum,699240.0,
92,BOS,1991,29.2,51,31,51,31,3.62,-0.21,3.41,110.8,107.0,3.8,95.8,0.266,0.05,0.544,0.5,12.7,31.9,0.215,0.469,11.9,68.7,0.22,Boston Garden,610776.0,14890.0
132,SEA,1991,27.3,47,35,46,36,1.88,-0.02,1.86,110.7,108.8,1.9,95.4,0.317,0.091,0.5379999999999999,0.489,14.0,36.5,0.249,0.491,14.2,66.8,0.26899999999999996,Seattle Center Coliseum,588928.0,
161,UTA,1991,28.5,55,27,57,25,6.39,-0.69,5.7,112.2,105.6,6.6,95.5,0.363,0.067,0.557,0.504,13.7,32.7,0.28600000000000003,0.475,13.0,68.9,0.214,Delta Center,806663.0,
192,MIA,1991,24.4,38,44,30,52,-4.21,0.27,-3.94,106.7,110.9,-4.2,97.7,0.33,0.106,0.532,0.479,14.6,33.0,0.26,0.508,13.9,67.6,0.235,Miami Arena,613583.0,
232,PHI,1991,27.6,35,47,37,45,-1.27,-0.07,-1.34,108.3,109.7,-1.4,93.7,0.335,0.10099999999999999,0.539,0.488,13.8,30.9,0.26,0.496,13.0,66.4,0.192,The Spectrum,574137.0,
272,SAS,1991,27.3,47,35,50,32,3.32,-0.51,2.81,107.5,104.1,3.4,96.2,0.317,0.057,0.528,0.485,13.9,34.2,0.233,0.469,13.5,69.8,0.22399999999999998,HemisFair Arena,658337.0,16057.0
312,WAS,1991,26.1,25,57,29,53,-4.46,0.11,-4.35,103.9,108.4,-4.5,97.7,0.268,0.07400000000000001,0.514,0.47100000000000003,13.3,28.9,0.20800000000000002,0.493,14.0,66.2,0.235,Capital Centre,505988.0,
352,POR,1991,28.1,57,25,59,23,7.27,-0.33,6.94,111.4,104.2,7.2,99.0,0.335,0.128,0.541,0.495,13.6,35.6,0.253,0.47100000000000003,14.3,69.9,0.251,Memorial Coliseum,528408.0,12888.0
386,SAC,1991,25.1,29,53,26,56,-6.06,0.44,-5.63,103.9,109.9,-6.0,99.6,0.301,0.094,0.525,0.48200000000000004,14.3,28.5,0.225,0.493,13.9,64.2,0.233,ARCO Arena (II),697574.0,
426,HOU,1991,28.0,42,40,36,46,-1.72,-0.22,-1.94,106.2,108.0,-1.8,95.1,0.293,0.139,0.537,0.499,15.0,30.9,0.21600000000000003,0.47700000000000004,12.5,66.4,0.209,The Summit,592790.0,15021.0
524,GSW,1991,25.5,55,27,50,32,3.9,-0.14,3.77,113.6,109.9,3.7,103.4,0.35100000000000003,0.10300000000000001,0.568,0.524,13.6,31.8,0.262,0.499,14.9,64.2,0.256,Oakland-Alameda County Coliseum Arena,616025.0,
564,DEN,1991,25.7,24,58,21,61,-7.87,0.28,-7.59,100.7,108.6,-7.9,98.6,0.28,0.057,0.493,0.451,14.9,34.8,0.207,0.494,14.7,68.0,0.27899999999999997,McNichols Sports Arena,534323.0,
