,TEAM,SEASON,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,ARENA,ATTENDANCE,ATTENDANCE/G
9,CHI,1988,26.4,47,35,45,37,1.44,0.69,2.13,109.1,107.7,1.4,97.0,0.302,0.076,0.5529999999999999,0.507,14.4,30.7,0.23800000000000002,0.48700000000000004,13.5,69.5,0.239,Chicago Stadium,736962.0,
49,LAL,1988,29.5,57,25,58,24,7.17,-0.79,6.38,113.8,106.7,7.1,100.1,0.35100000000000003,0.09300000000000001,0.57,0.518,14.0,33.0,0.282,0.48200000000000004,13.0,68.9,0.205,Great Western Forum,717349.0,
89,BOS,1988,28.5,42,40,44,38,1.16,0.1,1.26,110.8,109.6,1.2,98.1,0.32899999999999996,0.043,0.5479999999999999,0.498,14.0,34.7,0.258,0.493,12.7,70.0,0.248,Boston Garden,611537.0,
129,SEA,1988,26.3,47,35,48,34,2.9,-0.46,2.44,111.5,108.6,2.9,100.1,0.318,0.10400000000000001,0.539,0.496,14.1,38.3,0.237,0.498,16.0,65.3,0.271,Seattle Center Coliseum,456765.0,
158,UTA,1988,27.4,51,31,55,27,5.02,-1.01,4.01,106.6,101.5,5.1,98.0,0.41600000000000004,0.057999999999999996,0.55,0.491,16.4,32.0,0.32,0.447,13.9,68.1,0.24600000000000002,Salt Palace,509501.0,
189,MIA,1988,25.2,15,67,15,67,-11.23,0.1,-11.13,97.8,109.0,-11.2,99.1,0.29600000000000004,0.042,0.498,0.45899999999999996,17.7,35.6,0.20800000000000002,0.499,16.0,65.0,0.292,Miami Arena,612754.0,
229,PHI,1988,27.0,46,36,45,37,1.5,0.18,1.68,113.0,111.5,1.5,98.5,0.348,0.09,0.552,0.5,12.8,32.2,0.27399999999999997,0.513,13.4,67.2,0.215,The Spectrum,531715.0,
269,SAS,1988,25.6,21,61,23,59,-7.28,-0.17,-7.45,100.9,107.9,-7.0,104.1,0.319,0.04,0.512,0.47200000000000003,16.8,34.5,0.223,0.5,17.2,63.5,0.294,HemisFair Arena,323573.0,
309,WAS,1988,26.2,40,42,35,47,-2.16,0.39,-1.77,106.4,108.5,-2.1,100.8,0.305,0.032,0.516,0.467,13.0,33.1,0.23600000000000002,0.493,14.2,67.5,0.267,Capital Centre,253980.0,
349,POR,1988,26.9,39,43,45,37,1.46,-0.55,0.92,109.4,108.0,1.4,103.9,0.31,0.083,0.53,0.488,13.9,36.7,0.23,0.501,15.7,67.4,0.264,Memorial Coliseum,527008.0,
