,TEAM,SEASON,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,ARENA,ATTENDANCE,ATTENDANCE/G
0,CHI,1979,25.9,30,52,34,48,-2.71,0.08,-2.63,104.3,107.0,-2.7,101.8,0.373,0.04,0.545,0.489,17.2,32.2,0.29100000000000004,0.5,15.7,68.0,0.251,Chicago Stadium,,18508.0
40,LAL,1979,26.2,60,22,55,27,5.9,-0.51,5.4,109.5,103.9,5.6,104.1,0.284,0.013999999999999999,0.569,0.53,16.5,32.6,0.22,0.475,14.0,66.9,0.18100000000000002,The Forum,582882.0,17505.0
80,BOS,1979,27.3,61,21,60,22,7.79,-0.42,7.37,109.4,101.9,7.5,102.6,0.332,0.057,0.55,0.501,15.4,34.8,0.258,0.475,16.5,67.8,0.23399999999999999,Boston Garden,596349.0,14664.0
120,SEA,1979,27.0,56,26,53,29,4.66,-0.42,4.24,105.8,101.2,4.6,101.8,0.298,0.025,0.52,0.474,14.9,36.4,0.22899999999999998,0.46299999999999997,15.4,67.9,0.221,King County Domed Stadium,,28726.0
149,UTA,1979,26.1,24,58,25,57,-6.01,0.31,-5.71,104.2,110.4,-6.2,97.6,0.285,0.027000000000000003,0.547,0.5,16.7,29.7,0.23,0.5,13.5,67.1,0.237,Salt Palace,,12327.0
220,PHI,1979,27.0,59,23,52,30,4.22,-0.18,4.04,105.0,101.0,4.0,103.0,0.34,0.017,0.544,0.494,17.2,33.5,0.262,0.46,15.5,66.7,0.217,The Spectrum,,
260,SAS,1979,26.9,41,41,40,42,-0.38,0.13,-0.24,108.6,109.0,-0.4,109.5,0.327,0.027000000000000003,0.5529999999999999,0.502,15.2,31.8,0.262,0.506,14.4,66.8,0.21600000000000003,HemisFair Arena,,
300,WAS,1979,29.0,39,43,34,48,-2.55,0.28,-2.27,103.2,105.7,-2.5,102.6,0.263,0.031,0.504,0.46299999999999997,13.7,33.3,0.19899999999999998,0.469,12.3,69.5,0.218,Capital Centre,,9518.0
340,POR,1979,26.3,38,44,39,43,-0.82,-0.05,-0.87,103.4,104.3,-0.9,98.6,0.293,0.018000000000000002,0.519,0.47700000000000004,16.1,35.5,0.218,0.48200000000000004,15.3,67.9,0.245,Memorial Coliseum,,
414,HOU,1979,27.3,41,41,41,41,0.17,0.1,0.27,108.1,108.0,0.1,101.2,0.31,0.051,0.5329999999999999,0.48700000000000004,15.5,37.6,0.23800000000000002,0.499,16.1,63.2,0.23,The Summit,,13656.0
488,KCK,1979,25.5,47,35,49,33,3.13,-0.32,2.82,104.0,101.0,3.0,103.2,0.3,0.015,0.522,0.48,14.5,31.0,0.223,0.479,17.9,68.1,0.273,Kemper Arena,,
512,GSW,1979,26.3,24,58,29,53,-4.39,0.2,-4.2,102.0,106.3,-4.3,100.5,0.262,0.017,0.52,0.484,15.5,31.1,0.193,0.498,15.5,69.8,0.273,Oakland-Alameda County Coliseum Arena,,13257.0
552,DEN,1979,27.1,30,52,30,52,-4.41,0.2,-4.22,103.4,107.6,-4.2,103.9,0.34,0.034,0.517,0.469,15.1,33.6,0.25,0.49700000000000005,14.4,67.8,0.22399999999999998,McNichols Sports Arena,,17298.0
592,ATL,1979,26.1,50,32,49,33,2.91,-0.09,2.83,105.2,102.3,2.9,98.9,0.376,0.011000000000000001,0.523,0.465,15.4,36.9,0.29,0.461,17.1,65.6,0.29100000000000004,Omni Coliseum,,
681,CLE,1979,27.4,37,45,42,40,0.34,0.09,0.43,106.7,106.4,0.3,105.6,0.27399999999999997,0.023,0.519,0.47600000000000003,13.2,33.1,0.212,0.505,16.3,65.9,0.21600000000000003,Coliseum at Richfield,,15443.0
730,SDC,1979,27.6,35,47,30,52,-4.15,0.18,-3.97,105.7,109.8,-4.1,101.4,0.289,0.07200000000000001,0.522,0.48200000000000004,14.6,34.2,0.213,0.503,14.2,65.4,0.215,San Diego Sports Arena,,8503.0
735,NYK,1979,24.1,39,43,38,44,-1.15,0.19,-0.96,106.5,107.5,-1.0,106.5,0.29600000000000004,0.025,0.539,0.498,15.7,33.7,0.221,0.498,16.4,64.0,0.263,Madison Square Garden (IV),,19591.0
775,IND,1979,25.3,37,45,39,43,-0.7,0.16,-0.54,105.5,106.2,-0.7,104.4,0.303,0.040999999999999995,0.523,0.479,14.8,35.4,0.228,0.493,17.0,62.5,0.23,Market Square Arena,,
815,MIL,1979,25.3,49,33,51,31,3.94,-0.37,3.57,106.8,102.9,3.9,102.4,0.278,0.021,0.532,0.491,15.0,35.2,0.212,0.467,16.2,63.8,0.22899999999999998,MECCA Arena,,
929,PHO,1979,26.5,55,27,50,32,3.6,-0.35,3.25,105.6,102.2,3.4,104.8,0.341,0.039,0.5479999999999999,0.498,16.4,30.4,0.263,0.483,16.5,66.9,0.213,Arizona Veterans Memorial Coliseum,,
969,DET,1979,24.7,16,66,22,60,-8.24,0.67,-7.57,101.2,108.8,-7.6,107.1,0.28300000000000003,0.028999999999999998,0.523,0.483,16.9,32.3,0.209,0.499,15.2,64.7,0.239,Pontiac Silverdome,,11138.0
1039,NJN,1979,26.1,34,48,38,44,-1.17,0.19,-0.98,101.5,102.5,-1.0,106.1,0.321,0.04,0.518,0.466,16.6,32.1,0.251,0.47200000000000003,16.5,66.4,0.263,Rutgers Athletic Center,,7364.0
