,TEAM,SEASON,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,ARENA,ATTENDANCE,ATTENDANCE/G
27,CHI,2006,26.0,49,33,55,27,5.01,-0.49,4.52,104.9,99.6,5.3,93.6,0.313,0.18600000000000003,0.534,0.493,14.7,28.6,0.22899999999999998,0.473,16.2,74.3,0.252,United Center,912364.0,22253.0
67,LAL,2006,25.3,42,40,41,41,-0.07,0.32,0.24,108.6,108.6,0.0,93.5,0.33299999999999996,0.259,0.5539999999999999,0.511,14.3,26.1,0.249,0.5,13.5,72.3,0.262,STAPLES Center,778415.0,18986.0
107,BOS,2006,23.5,24,58,31,51,-3.41,-0.29,-3.7,103.2,106.9,-3.7,92.0,0.337,0.19899999999999998,0.53,0.479,15.4,27.0,0.259,0.502,14.5,73.8,0.28,TD Banknorth Garden,690576.0,16843.0
147,SEA,2006,25.9,31,51,33,49,-2.89,0.45,-2.45,107.2,110.3,-3.1,91.8,0.28800000000000003,0.21899999999999997,0.544,0.499,14.5,27.8,0.228,0.515,14.1,70.9,0.243,KeyArena at Seattle Center,654163.0,15955.0
176,UTA,2006,25.9,51,31,49,33,2.87,0.2,3.06,110.1,107.0,3.1,91.6,0.38,0.163,0.551,0.502,14.5,31.7,0.28300000000000003,0.496,14.4,75.1,0.314,EnergySolutions Arena,802214.0,19566.0
207,MIA,2006,29.3,44,38,38,44,-0.91,-0.29,-1.21,104.3,105.3,-1.0,89.9,0.321,0.245,0.541,0.506,14.3,24.9,0.222,0.485,13.8,73.3,0.23199999999999998,AmericanAirlines Arena,808541.0,19721.0
247,PHI,2006,26.2,35,47,32,50,-3.02,-0.23,-3.26,103.6,106.9,-3.3,90.7,0.33299999999999996,0.128,0.53,0.48,14.6,27.2,0.255,0.501,14.7,70.8,0.221,Wachovia Center,608603.0,14844.0
287,SAS,2006,30.4,58,24,64,18,8.43,-0.08,8.35,109.2,99.9,9.3,89.8,0.313,0.247,0.561,0.521,13.6,24.2,0.235,0.47100000000000003,14.0,75.7,0.201,AT&T Center,764823.0,18654.0
327,WAS,2006,26.8,41,41,40,42,-0.51,-0.28,-0.8,110.1,110.6,-0.5,94.1,0.35600000000000004,0.237,0.542,0.491,12.6,28.1,0.272,0.517,14.4,71.0,0.249,Verizon Center,753283.0,18373.0
367,POR,2006,24.4,32,50,29,53,-4.29,0.51,-3.78,105.1,109.9,-4.8,88.3,0.314,0.193,0.53,0.483,14.5,28.2,0.24100000000000002,0.508,13.5,73.0,0.267,Rose Garden Arena,670778.0,16360.0
401,SAC,2006,27.3,33,49,36,46,-1.8,0.46,-1.35,106.2,108.0,-1.8,94.8,0.379,0.23199999999999998,0.545,0.491,13.5,23.1,0.289,0.513,14.9,72.5,0.24,ARCO Arena (II),709997.0,17317.0
